Example,Page,Class,Function,Source File
">>> list(everygrams(sent))
[('a',), ('a', 'b'), ('a', 'b', 'c'), ('b',), ('b', 'c'), ('c',)]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,everygrams,nltk\nltk\util.py
">>> sorted(everygrams(sent), key=len)
[('a',), ('b',), ('c',), ('a', 'b'), ('b', 'c'), ('a', 'b', 'c')]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,everygrams,nltk\nltk\util.py
">>> list(everygrams(sent, max_len=2))
[('a',), ('a', 'b'), ('b',), ('b', 'c'), ('c',)]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,everygrams,nltk\nltk\util.py
">>> from nltk.util import flatten
>>> flatten(1, 2, ['b', 'a' , ['c', 'd']], 3)
[1, 2, 'b', 'a', 'c', 'd', 3]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,flatten,nltk\nltk\util.py
"locale.setlocale(locale.LC_ALL, '')
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,N/A,N/A
">>> from nltk.util import ngrams
>>> list(ngrams([1,2,3,4,5], 3))
[(1, 2, 3), (2, 3, 4), (3, 4, 5)]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,ngrams,nltk\nltk\util.py
">>> list(ngrams([1,2,3,4,5], 2, pad_right=True))
[(1, 2), (2, 3), (3, 4), (4, 5), (5, None)]
>>> list(ngrams([1,2,3,4,5], 2, pad_right=True, right_pad_symbol=''))
[(1, 2), (2, 3), (3, 4), (4, 5), (5, '')]
>>> list(ngrams([1,2,3,4,5], 2, pad_left=True, left_pad_symbol=''))
[('', 1), (1, 2), (2, 3), (3, 4), (4, 5)]
>>> list(ngrams([1,2,3,4,5], 2, pad_left=True, pad_right=True, left_pad_symbol='', right_pad_symbol=''))
[('', 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, '')]",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,ngrams,nltk\nltk\util.py
">>> list(pad_sequence([1,2,3,4,5], 2, pad_left=True, pad_right=True, left_pad_symbol='', right_pad_symbol=''))
['', 1, 2, 3, 4, 5, '']
>>> list(pad_sequence([1,2,3,4,5], 2, pad_left=True, left_pad_symbol=''))
['', 1, 2, 3, 4, 5]
>>> list(pad_sequence([1,2,3,4,5], 2, pad_right=True, right_pad_symbol=''))
[1, 2, 3, 4, 5, '']
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,pad_sequence,nltk\nltk\util.py
">>> sent = ""Insurgents killed in ongoing fighting"".split()
>>> list(skipgrams(sent, 2, 2))
[('Insurgents', 'killed'), ('Insurgents', 'in'), ('Insurgents', 'ongoing'), ('killed', 'in'), ('killed', 'ongoing'), ('killed', 'fighting'), ('in', 'ongoing'), ('in', 'fighting'), ('ongoing', 'fighting')]
>>> list(skipgrams(sent, 3, 2))
[('Insurgents', 'killed', 'in'), ('Insurgents', 'killed', 'ongoing'), ('Insurgents', 'killed', 'fighting'), ('Insurgents', 'in', 'ongoing'), ('Insurgents', 'in', 'fighting'), ('Insurgents', 'ongoing', 'fighting'), ('killed', 'in', 'ongoing'), ('killed', 'in', 'fighting'), ('killed', 'ongoing', 'fighting'), ('in', 'ongoing', 'fighting')]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,skip_grams,nltk\nltk\util.py
">>> from nltk.util import trigrams
>>> list(trigrams([1,2,3,4,5]))
[(1, 2, 3), (2, 3, 4), (3, 4, 5)]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,trigrams,nltk\nltk\util.py
">>> import nltk
>>> from nltk.util import unweighted_minimum_spanning_tree as mst
>>> wn=nltk.corpus.wordnet
>>> from pprint import pprint
>>> pprint(mst(wn.synset('bound.a.01'), lambda s:s.also_sees()))
[Synset('bound.a.01'),
 [Synset('unfree.a.02'),
  [Synset('confined.a.02')],
  [Synset('dependent.a.01')],
  [Synset('restricted.a.01'), [Synset('classified.a.02')]]]]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,unweighted_minimum_spanning_tree,nltk\nltk\util.py
">>> lesk(['I', 'went', 'to', 'the', 'bank', 'to', 'deposit', 'money', '.'], 'bank', 'n')
Synset('savings_bank.n.02')
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html,N/A,lesk,nltk\nltk\wsd.py
lexicon.fromstring( string>),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.ccg.html,N/A,fromstring,nltk\nltk\ccg\lexicon.py
"parser = chart.CCGChartParser(, )",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.ccg.html,CCGChartParser,__init__,nltk\nltk\ccg\chart.py
parser.parse(.split()),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.ccg.html,CCGChartParser,parse,nltk\nltk\ccg\chart.py
chart.printCCGDerivation( tree extracted from list>),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.ccg.html,N/A,printCCGDerivation,nltk\nltk\ccg\chart.py
apply(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.ccg.html,BackwardTypeRaiseRule,apply,nltk\nltk\ccg\chart.py
tokens[self.start():self.end()],https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.ccg.html,N/A,N/A,N/A
"(s, e)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.ccg.html,N/A,N/A,N/A
labels(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,ClassifierI,labels,nltk\nltk\classify\api.py
classify(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,ClassifierI,classify,nltk\nltk\classify\api.py
classify_many(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,ClassifierI,classify_many,nltk\nltk\classify\api.py
prob_classify(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,ClassifierI,prob_classify,nltk\nltk\classify\api.py
prob_classify_many(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,ClassifierI,prob_classify_many,nltk\nltk\classify\api.py
self.classify(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,ClassifierI,classify_many,nltk\nltk\classify\api.py
self.prob_classify(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,ClassifierI,prob_classify_many,nltk\nltk\classify\api.py
train(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,BinaryMaxentFeatureEncoding,train,nltk\nltk\classify\maxent.py
"is_unseen(fname, fval)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
"(index, value)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
"self.encode(fs,l)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,BinaryMaxentFeatureEncoding,encode,nltk\nltk\classify\maxent.py
"(featureset, label)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
"encoding.encode(fs,l)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,TypedMaxentFeatureEncoding,encode,nltk\nltk\classify\maxent.py
"sum([val for (id,val) in vector])",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
train_maxent_classifier(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
config_megam(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,config_megam,nltk\nltk\classify\megam.py
"(fname,fval)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
"map(feature_func, toks)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,apply_features,nltk\nltk\classify\util.py
feature_func(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
"(tok,label)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
"(tok, label)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
"(token, label)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
contains-word(library)',https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
"(featuredict, label)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
"|  joint_feat(fs, l) = { 1 if (l == label)
|                      {
|                      { 0 otherwise
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
"                          dotprod(weights, encode(fs,label))
prob(fs|label) = ---------------------------------------------------
                 sum(dotprod(weights, encode(fs,l)) for l in labels)
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
"dotprod(a,b) = sum(x*y for (x,y) in zip(a,b))
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
"ffreq_empirical[i]
       =
SUM[fs,l] (classifier.prob_classify(fs).prob(l) *
           feature_vector(fs,l)[i] *
           exp(delta[i] * nf(feature_vector(fs,l))))
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
">>> from nltk.classify import megam
>>> megam.config_megam() # pass path to megam if not found in PATH 
[Found megam: ...]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,config_megam,nltk\nltk\classify\megam.py
">>> def features(sentence):
...     words = sentence.lower().split()
...     return dict(('contains(%s)' % w, True) for w in words)
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
">>> positive_featuresets = map(features, sports_sentences)
>>> unlabeled_featuresets = map(features, various_sentences)
>>> classifier = PositiveNaiveBayesClassifier.train(positive_featuresets,
...                                                 unlabeled_featuresets)
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,PositiveNaiveBayesClassifier,train,nltk\nltk\classify\positivenaivebayes.py
">>> classifier.classify(features('The cat is on the table'))
False
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,NaiveBayesClassifier,classify,nltk\nltk\classify\naivebayes.py
">>> classifier.classify(features('My team lost the game'))
True
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,NaiveBayesClassifier,classify,nltk\nltk\classify\naivebayes.py
">>> from sklearn.svm import LinearSVC
>>> from nltk.classify.scikitlearn import SklearnClassifier
>>> classif = SklearnClassifier(LinearSVC())
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,SklearnClassifier,__init__,nltk\nltk\classify\scikitlearn.py
">>> from sklearn.feature_extraction.text import TfidfTransformer
>>> from sklearn.feature_selection import SelectKBest, chi2
>>> from sklearn.naive_bayes import MultinomialNB
>>> from sklearn.pipeline import Pipeline
>>> pipeline = Pipeline([('tfidf', TfidfTransformer()),
...                      ('chi2', SelectKBest(chi2, k=1000)),
...                      ('nb', MultinomialNB())])
>>> classif = SklearnClassifier(pipeline)
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,SklearnClassifier,__init__,nltk\nltk\classify\scikitlearn.py
">>> from nltk.classify import Senna
>>> pipeline = Senna('/usr/share/senna-v3.0', ['pos', 'chk', 'ner'])
>>> sent = 'Dusseldorf is an international business center'.split()
>>> [(token['word'], token['chk'], token['ner'], token['pos']) for token in pipeline.tag(sent)] 
[('Dusseldorf', 'B-NP', 'B-LOC', 'NNP'), ('is', 'B-VP', 'O', 'VBZ'), ('an', 'B-NP', 'O', 'DT'),
('international', 'I-NP', 'O', 'JJ'), ('business', 'I-NP', 'O', 'NN'), ('center', 'I-NP', 'O', 'NN')]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,Senna,__init__,nltk\nltk\classify\senna.py
"[feature_func(tok) for tok in toks]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
"[(feature_func(tok), label) for (tok, label) in toks]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
">>> # Define a feature detector function.
>>> def document_features(document):
...     return dict([('contains-word(%s)' % w, True) for w in document])
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
">>> # Classify each Gutenberg document.
>>> from nltk.corpus import gutenberg
>>> for fileid in gutenberg.fileids(): 
...     doc = gutenberg.words(fileid) 
...     print(fileid, classifier.classify(document_features(doc))) 
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,ClassifierI,classify,nltk\nltk\classify\api.py
">>> def wsd_features(sentence, index):
...     featureset = {}
...     for i in range(max(0, index-3), index):
...         featureset['left-context(%s)' % sentence[i]] = True
...     for i in range(index, max(index+3, len(sentence))):
...         featureset['right-context(%s)' % sentence[i]] = True
...     return featureset
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.classify.html,N/A,N/A,N/A
nltk.corpus.brown.words(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.corpus.html,N/A,N/A,N/A
">>> from nltk.corpus import brown
>>> print("", "".join(brown.words()))
The, Fulton, County, Grand, Jury, said, ...
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.corpus.html,N/A,N/A,N/A
"(left, top, width, height)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,N/A,N/A,N/A
get(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,N/A,N/A,N/A
insert(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,N/A,N/A,N/A
show_column(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,N/A,N/A,N/A
self.see(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,MultiListbox,see,nltk\nltk\draw\table.py
hide_column(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,MultiListbox,hide_column,nltk\nltk\draw\table.py
rowconfig(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,MultiListbox,rowconfig,nltk\nltk\draw\table.py
columnconfig(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,MultiListbox,columnconfig,nltk\nltk\draw\table.py
itemconfig(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,MultiListbox,itemconfig,nltk\nltk\draw\table.py
grid(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,Table,grid,nltk\nltk\draw\table.py
pack(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,Table,pack,nltk\nltk\draw\table.py
bind(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,Table,bind,nltk\nltk\draw\table.py
__getitem__(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,N/A,N/A,N/A
__setitem__(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,N/A,N/A,N/A
__nonzero__(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,N/A,N/A,N/A
MultiListbox.bind_to_columns(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,MultiListbox,bind_to_columns,nltk\nltk\draw\table.py
MultiListbox.bind_to_labels(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,MultiListbox,bind_to_labels,nltk\nltk\draw\table.py
MultiListbox.bind_to_listboxes(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,MultiListbox,bind_to_listboxes,nltk\nltk\draw\table.py
MultiListbox.columnconfigure(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,MultiListbox,columnconfigure,nltk\nltk\draw\table.py
Tkinter.Frame.grid(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,N/A,N/A,N/A
MultiListbox.hide_column(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,MultiListbox,hide_column,nltk\nltk\draw\table.py
MultiListbox.itemconfigure(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,MultiListbox,itemconfigure,nltk\nltk\draw\table.py
Tkinter.Frame.pack(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,N/A,N/A,N/A
MultiListbox.rowconfigure(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,MultiListbox,rowconfigure,nltk\nltk\draw\table.py
MultiListbox.select(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,MultiListbox,select,nltk\nltk\draw\table.py
table[table.selected_row()],https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,Table,selected_row,nltk\nltk\draw\table.py
MultiListbox.show_column(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,MultiListbox,show_column,nltk\nltk\draw\table.py
sort_by(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,Table,sort_by,nltk\nltk\draw\table.py
tree.children()[i1].children()[i2]....children()[in],https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,N/A,N/A,N/A
(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,N/A,N/A,N/A
parent.update(self),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,N/A,N/A,N/A
">>> mlb = MultiListbox(master, 5)
>>> mlb.configure(label_foreground='red')
>>> mlb.configure(listbox_foreground='red')
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,MultiListbox,configure,nltk\nltk\draw\table.py
">>> print(table[3, 'First Name'])
John
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,N/A,N/A,N/A
">>> from nltk.draw.util import TextWidget
>>> cn = TextWidget(c, 'test', color='red')
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.draw.html,TextWidget,__init__,nltk\nltk\classify\util.py
Prover.prove(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.inference.html,Prover,prove,nltk\nltk\inference\api.py
readings(filter=True),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.inference.html,DiscourseTester,readings,nltk\nltk\inference\discourse.py
"(rid, reading)",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.inference.html,N/A,N/A,N/A
"s0 readings:

s0-r1: some x.(boxer(x) & walk(x))
s0-r0: some x.(boxerdog(x) & walk(x))
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.inference.html,N/A,N/A,N/A
">>> from nltk.metrics.agreement import AnnotationTask
>>> import os.path
>>> t = AnnotationTask(data=[x.split() for x in open(os.path.join(os.path.dirname(__file__), ""artstein_poesio_example.txt""))])
>>> t.avg_Ao()
0.88
>>> t.pi()
0.7995322418977615...
>>> t.S()
0.8199999999999998...",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,AnnotationTask,__init__,nltk\nltk\metrics\agreement.py
">>> align('θin', 'tenwis') 
[[('θ', 't'), ('i', 'e'), ('n', 'n'), ('-', 'w'), ('-', 'i'), ('-', 's')]]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,align,nltk\nltk\metrics\aline.py
"bigram_score_fn(n_ii, (n_ix, n_xi), n_xx)
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,N/A,N/A
"score_fn(count_of_ngram,
         (count_of_n-1gram_1, ..., count_of_n-1gram_j),
         (count_of_n-2gram_1, ..., count_of_n-2gram_k),
         ...,
         (count_of_1gram_1, ..., count_of_1gram_n),
         count_of_total_words)
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,N/A,N/A
"trigram_score_fn(n_iiii,
                (n_iiix, n_iixi, n_ixii, n_xiii),
                (n_iixx, n_ixix, n_ixxi, n_xixi, n_xxii, n_xiix),
                (n_ixxx, n_xixx, n_xxix, n_xxxi),
                n_all)
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,N/A,N/A
"trigram_score_fn(n_iii,
                 (n_iix, n_ixi, n_xii),
                 (n_ixx, n_xix, n_xxi),
                 n_xxx)
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,N/A,N/A
">>> from nltk.metrics import ConfusionMatrix
>>> ref  = 'DET NN VB DET JJ NN NN IN DET NN'.split()
>>> test = 'DET VB VB DET NN NN NN IN DET NN'.split()
>>> cm = ConfusionMatrix(ref, test)
>>> print(cm['NN', 'NN'])
3
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,ConfusionMatrix,__init__,nltk\nltk\metrics\confusionmatrix.py
">>> from nltk.metrics import binary_distance
>>> binary_distance(1,1)
0.0
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,binary_distance,nltk\nltk\metrics\distance.py
">>> binary_distance(1,3)
1.0
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,binary_distance,nltk\nltk\metrics\distance.py
">>> from nltk.metrics import interval_distance
>>> interval_distance(1,10)
81
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,interval_distance,nltk\nltk\metrics\distance.py
">>> winkler_examples = [(""billy"", ""billy""), (""billy"", ""bill""), (""billy"", ""blily""),
... (""massie"", ""massey""), (""yvette"", ""yevett""), (""billy"", ""bolly""), (""dwayne"", ""duane""),
... (""dixon"", ""dickson""), (""billy"", ""susan"")]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,N/A,N/A
">>> for (s1, s2), jscore, wscore, p in zip(winkler_examples, jaro_scores, winkler_scores, p_factors):
...     assert round(jaro_similarity(s1, s2), 3) == jscore
...     assert round(jaro_winkler_similarity(s1, s2, p=p), 3) == wscore
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,jaro_similarity,nltk\nltk\metrics\distance.py
">>> for (s1, s2), jscore, wscore, p in zip(winkler_examples, jaro_scores, winkler_scores, p_factors):
...     assert round(jaro_similarity(s1, s2), 3) == jscore
...     assert round(jaro_winkler_similarity(s1, s2, p=p), 3) == wscore
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,jaro_winkler_similarity,nltk\nltk\metrics\distance.py
">>> winkler_examples = [('SHACKLEFORD', 'SHACKELFORD'), ('DUNNINGHAM', 'CUNNIGHAM'),
... ('NICHLESON', 'NICHULSON'), ('JONES', 'JOHNSON'), ('MASSEY', 'MASSIE'),
... ('ABROMS', 'ABRAMS'), ('HARDIN', 'MARTINEZ'), ('ITMAN', 'SMITH'),
... ('JERALDINE', 'GERALDINE'), ('MARHTA', 'MARTHA'), ('MICHELLE', 'MICHAEL'),
... ('JULIES', 'JULIUS'), ('TANYA', 'TONYA'), ('DWAYNE', 'DUANE'), ('SEAN', 'SUSAN'),
... ('JON', 'JOHN'), ('JON', 'JAN'), ('BROOKHAVEN', 'BRROKHAVEN'),
... ('BROOK HALLOW', 'BROOK HLLW'), ('DECATUR', 'DECATIR'), ('FITZRUREITER', 'FITZENREITER'),
... ('HIGBEE', 'HIGHEE'), ('HIGBEE', 'HIGVEE'), ('LACURA', 'LOCURA'), ('IOWA', 'IONA'), ('1ST', 'IST')]
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,N/A,N/A
">>> for (s1, s2), jscore, wscore, p in zip(winkler_examples, jaro_scores, winkler_scores, p_factors):
...     if (s1, s2) in [('JON', 'JAN'), ('1ST', 'IST')]:
...         continue  # Skip bad examples from the paper.
...     assert round(jaro_similarity(s1, s2), 3) == jscore
...     assert round(jaro_winkler_similarity(s1, s2, p=p), 3) == wscore
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,jaro_similarity,nltk\nltk\metrics\distance.py
">>> for (s1, s2), jscore, wscore, p in zip(winkler_examples, jaro_scores, winkler_scores, p_factors):
...     if (s1, s2) in [('JON', 'JAN'), ('1ST', 'IST')]:
...         continue  # Skip bad examples from the paper.
...     assert round(jaro_similarity(s1, s2), 3) == jscore
...     assert round(jaro_winkler_similarity(s1, s2, p=p), 3) == wscore
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,jaro_winkler_similarity,nltk\nltk\metrics\distance.py
">>> round(jaro_winkler_similarity('TANYA', 'TONYA', p=0.1, max_l=100), 3)
0.88
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,jaro_winkler_similarity,nltk\nltk\metrics\distance.py
">>> from nltk.metrics import masi_distance
>>> masi_distance(set([1, 2]), set([1, 2, 3, 4]))
0.665
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,masi_distance,nltk\nltk\metrics\distance.py
">>> # Same examples as Kulyukin C++ implementation
>>> ghd('1100100000', '1100010000', 1.0, 1.0, 0.5)
0.5
>>> ghd('1100100000', '1100000001', 1.0, 1.0, 0.5)
2.0
>>> ghd('011', '110', 1.0, 1.0, 0.5)
1.0
>>> ghd('1', '0', 1.0, 1.0, 0.5)
1.0
>>> ghd('111', '000', 1.0, 1.0, 0.5)
3.0
>>> ghd('000', '111', 1.0, 2.0, 0.5)
6.0
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,ghd,nltk\nltk\metrics\segmentation.py
">>> '%.2f' % pk('0100'*100, '1'*400, 2)
'0.50'
>>> '%.2f' % pk('0100'*100, '0'*400, 2)
'0.50'
>>> '%.2f' % pk('0100'*100, '0100'*100, 2)
'0.00'
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,pk,nltk\nltk\metrics\segmentation.py
">>> s1 = ""000100000010""
>>> s2 = ""000010000100""
>>> s3 = ""100000010000""
>>> '%.2f' % windowdiff(s1, s1, 3)
'0.00'
>>> '%.2f' % windowdiff(s1, s2, 3)
'0.30'
>>> '%.2f' % windowdiff(s2, s3, 3)
'0.80'
",https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.metrics.html,N/A,windowdiff,nltk\nltk\metrics\segmentation.py
parse(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.parse.html,ParserI,parse,nltk\nltk\parse\api.py
parse_sents(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.parse.html,ParserI,parse_sents,nltk\nltk\parse\api.py
grammar(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.parse.html,ParserI,grammar,nltk\nltk\parse\api.py
self.parse(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.parse.html,ParserI,parse,nltk\nltk\parse\api.py
bllipparser.RerankingParser.get_unified_model_parameters(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.parse.html,N/A,N/A,N/A
bllipparser.RerankingParser.RerankingParser.load_parser_options(),https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.parse.html,N/A,N/A,N/A
