Example,Signature,Extracted,Linked
height(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
label(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
leaf_treeposition(index),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('Tree.leaf_treeposition', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': ['index'], 'opt_args': []})"", ""('Tree.leaf_treeposition', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': ['index'], 'opt_args': []})"", ""('Tree.leaf_treeposition', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': ['index'], 'opt_args': []})"", ""('Tree.leaf_treeposition', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': ['index'], 'opt_args': []})""]",[]
leaves(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
"pformat(margin=70, indent=0, nodesep='', parens='()', quotes=False)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('Tree.pformat', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['quotes', 'parens', 'nodesep', 'indent', 'margin']})"", ""('Tree.pformat', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['quotes', 'parens', 'nodesep', 'indent', 'margin']})"", ""('Tree.pformat', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['quotes', 'parens', 'nodesep', 'indent', 'margin']})"", ""('Tree.pformat', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['quotes', 'parens', 'nodesep', 'indent', 'margin']})""]",[]
pformat_latex_qtree(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
pos(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
pprint(**kwargs),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('Tree.pprint', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['kwargs']})"", ""('Tree.pprint', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['kwargs']})"", ""('Tree.pprint', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['kwargs']})"", ""('Tree.pprint', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['kwargs']})""]",[]
"pretty_print(sentence=None, highlight=(), stream=None, **kwargs)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('Tree.pretty_print', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['stream', 'highlight', 'sentence', 'kwargs']})"", ""('Tree.pretty_print', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['stream', 'highlight', 'sentence', 'kwargs']})"", ""('Tree.pretty_print', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['stream', 'highlight', 'sentence', 'kwargs']})"", ""('Tree.pretty_print', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['stream', 'highlight', 'sentence', 'kwargs']})""]",[]
productions(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
set_label(label),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""[('TreeSegmentWidget.set_label', {'source_file': 'nltk\\\\nltk\\\\draw\\\\tree.py', 'req_args': ['label'], 'opt_args': []}), ('Tree.set_label', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': ['label'], 'opt_args': []})]"", ""[('TreeSegmentWidget.set_label', {'source_file': 'nltk\\\\nltk\\\\draw\\\\tree.py', 'req_args': ['label'], 'opt_args': []}), ('Tree.set_label', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': ['label'], 'opt_args': []})]"", ""[('TreeSegmentWidget.set_label', {'source_file': 'nltk\\\\nltk\\\\draw\\\\tree.py', 'req_args': ['label'], 'opt_args': []}), ('Tree.set_label', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': ['label'], 'opt_args': []})]"", ""[('TreeSegmentWidget.set_label', {'source_file': 'nltk\\\\nltk\\\\draw\\\\tree.py', 'req_args': ['label'], 'opt_args': []}), ('Tree.set_label', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': ['label'], 'opt_args': []})]""]",[]
subtrees(filter=None),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('Tree.subtrees', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['filter']})"", ""('Tree.subtrees', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['filter']})"", ""('Tree.subtrees', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['filter']})"", ""('Tree.subtrees', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['filter']})""]",[]
"treeposition_spanning_leaves(start, end)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('Tree.treeposition_spanning_leaves', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': ['end', 'start'], 'opt_args': []})"", ""('Tree.treeposition_spanning_leaves', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': ['end', 'start'], 'opt_args': []})"", ""('Tree.treeposition_spanning_leaves', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': ['end', 'start'], 'opt_args': []})"", ""('Tree.treeposition_spanning_leaves', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': ['end', 'start'], 'opt_args': []})""]",[]
treepositions(order='preorder'),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('Tree.treepositions', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['order']})"", ""('Tree.treepositions', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['order']})"", ""('Tree.treepositions', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['order']})"", ""('Tree.treepositions', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['order']})""]",[]
"un_chomsky_normal_form(expandUnary=True, childChar='|', parentChar='^', unaryChar='+')","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""[('nltk.un_chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['unaryChar', 'parentChar', 'childChar', 'expandUnary']}), ('Tree.un_chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['unaryChar', 'parentChar', 'childChar', 'expandUnary']})]"", ""[('nltk.un_chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['unaryChar', 'parentChar', 'childChar', 'expandUnary']}), ('Tree.un_chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['unaryChar', 'parentChar', 'childChar', 'expandUnary']})]"", ""[('nltk.un_chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['unaryChar', 'parentChar', 'childChar', 'expandUnary']}), ('Tree.un_chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['unaryChar', 'parentChar', 'childChar', 'expandUnary']})]"", ""[('nltk.un_chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['unaryChar', 'parentChar', 'childChar', 'expandUnary']}), ('Tree.un_chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\tree.py', 'req_args': [], 'opt_args': ['unaryChar', 'parentChar', 'childChar', 'expandUnary']})]""]",[]
nltk.tree.bracket_parse(s),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('nltk.bracket_parse', {'source_file': 'nltk\\\\nltk\\\\tree\\\\parsing.py', 'req_args': ['s'], 'opt_args': []})"", ""('nltk.bracket_parse', {'source_file': 'nltk\\\\nltk\\\\tree\\\\parsing.py', 'req_args': ['s'], 'opt_args': []})"", ""('nltk.bracket_parse', {'source_file': 'nltk\\\\nltk\\\\tree\\\\parsing.py', 'req_args': ['s'], 'opt_args': []})"", ""('nltk.bracket_parse', {'source_file': 'nltk\\\\nltk\\\\tree\\\\parsing.py', 'req_args': ['s'], 'opt_args': []})""]",[]
nltk.tree.sinica_parse(s),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('nltk.sinica_parse', {'source_file': 'nltk\\\\nltk\\\\tree\\\\parsing.py', 'req_args': ['s'], 'opt_args': []})"", ""('nltk.sinica_parse', {'source_file': 'nltk\\\\nltk\\\\tree\\\\parsing.py', 'req_args': ['s'], 'opt_args': []})"", ""('nltk.sinica_parse', {'source_file': 'nltk\\\\nltk\\\\tree\\\\parsing.py', 'req_args': ['s'], 'opt_args': []})"", ""('nltk.sinica_parse', {'source_file': 'nltk\\\\nltk\\\\tree\\\\parsing.py', 'req_args': ['s'], 'opt_args': []})""]",[]
"nltk.treetransforms.chomsky_normal_form(tree, factor='right', horzMarkov=None, vertMarkov=0, childChar='|', parentChar='^')","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('nltk.chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['parentChar', 'childChar', 'vertMarkov', 'horzMarkov', 'factor']})"", ""('nltk.chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['parentChar', 'childChar', 'vertMarkov', 'horzMarkov', 'factor']})"", ""('nltk.chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['parentChar', 'childChar', 'vertMarkov', 'horzMarkov', 'factor']})"", ""('nltk.chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['parentChar', 'childChar', 'vertMarkov', 'horzMarkov', 'factor']})""]",[]
"nltk.treetransforms.collapse_unary(tree, collapsePOS=False, collapseRoot=False, joinChar='+')","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('nltk.collapse_unary', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['joinChar', 'collapseRoot', 'collapsePOS']})"", ""('nltk.collapse_unary', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['joinChar', 'collapseRoot', 'collapsePOS']})"", ""('nltk.collapse_unary', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['joinChar', 'collapseRoot', 'collapsePOS']})"", ""('nltk.collapse_unary', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['joinChar', 'collapseRoot', 'collapsePOS']})""]",[]
"nltk.treetransforms.un_chomsky_normal_form(tree, expandUnary=True, childChar='|', parentChar='^', unaryChar='+')","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('nltk.un_chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['unaryChar', 'parentChar', 'childChar', 'expandUnary']})"", ""('nltk.un_chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['unaryChar', 'parentChar', 'childChar', 'expandUnary']})"", ""('nltk.un_chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['unaryChar', 'parentChar', 'childChar', 'expandUnary']})"", ""('nltk.un_chomsky_normal_form', {'source_file': 'nltk\\\\nltk\\\\tree\\\\transforms.py', 'req_args': ['tree'], 'opt_args': ['unaryChar', 'parentChar', 'childChar', 'expandUnary']})""]",[]
class nltk.util.Index(pairs),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('Index.__init__', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['pairs'], 'opt_args': []})"", ""('Index.__init__', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['pairs'], 'opt_args': []})"", ""('Index.__init__', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['pairs'], 'opt_args': []})"", ""('Index.__init__', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['pairs'], 'opt_args': []})""]",[]
"nltk.util.acyclic_branches_depth_first(tree, children= function iter>, depth=-1, cut_mark=None, traversed=None)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html']","['N/A', 'N/A']",[]
"nltk.util.acyclic_breadth_first(tree, children= function iter>, maxdepth=-1)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html']","['N/A', 'N/A']",[]
"nltk.util.acyclic_depth_first(tree, children= function iter>, depth=-1, cut_mark=None, traversed=None)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html']","['N/A', 'N/A']",[]
"nltk.util.acyclic_dic2tree(node, dic)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html']","[""('nltk.acyclic_dic2tree', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['dic', 'node'], 'opt_args': []})"", ""('nltk.acyclic_dic2tree', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['dic', 'node'], 'opt_args': []})""]",[]
"nltk.util.bigrams(sequence, **kwargs)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('nltk.bigrams', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['sequence'], 'opt_args': ['kwargs']})"", ""('nltk.bigrams', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['sequence'], 'opt_args': ['kwargs']})"", ""('nltk.bigrams', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['sequence'], 'opt_args': ['kwargs']})"", ""('nltk.bigrams', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['sequence'], 'opt_args': ['kwargs']})""]",[]
"nltk.util.binary_search_file(file, key, cache={}, cacheDepth=- 1)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html']","[""('nltk.binary_search_file', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['key', 'file'], 'opt_args': ['cacheDepth', 'cache']})"", ""('nltk.binary_search_file', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['key', 'file'], 'opt_args': ['cacheDepth', 'cache']})""]",[]
"nltk.util.breadth_first(tree, children= function iter>, maxdepth=-1)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html']","['N/A', 'N/A']",[]
"nltk.util.choose(n, k)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('nltk.choose', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['k', 'n'], 'opt_args': []})"", ""('nltk.choose', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['k', 'n'], 'opt_args': []})"", ""('nltk.choose', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['k', 'n'], 'opt_args': []})"", ""('nltk.choose', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['k', 'n'], 'opt_args': []})""]",[]
nltk.util.clean_html(html),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('nltk.clean_html', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['html'], 'opt_args': []})"", ""('nltk.clean_html', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['html'], 'opt_args': []})"", ""('nltk.clean_html', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['html'], 'opt_args': []})"", ""('nltk.clean_html', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['html'], 'opt_args': []})""]",[]
nltk.util.clean_url(url),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('nltk.clean_url', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['url'], 'opt_args': []})"", ""('nltk.clean_url', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['url'], 'opt_args': []})"", ""('nltk.clean_url', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['url'], 'opt_args': []})"", ""('nltk.clean_url', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['url'], 'opt_args': []})""]",[]
"nltk.util.elementtree_indent(elem, level=0)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('nltk.elementtree_indent', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['elem'], 'opt_args': ['level']})"", ""('nltk.elementtree_indent', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['elem'], 'opt_args': ['level']})"", ""('nltk.elementtree_indent', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['elem'], 'opt_args': ['level']})"", ""('nltk.elementtree_indent', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['elem'], 'opt_args': ['level']})""]",[]
"nltk.util.everygrams(sequence, min_len=1, max_len=- 1, pad_left=False, pad_right=False, **kwargs)","['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html']","[""('nltk.everygrams', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['sequence'], 'opt_args': ['pad_right', 'pad_left', 'max_len', 'min_len', 'kwargs']})"", ""('nltk.everygrams', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['sequence'], 'opt_args': ['pad_right', 'pad_left', 'max_len', 'min_len', 'kwargs']})""]",[]
nltk.util.filestring(f),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('nltk.filestring', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['f'], 'opt_args': []})"", ""('nltk.filestring', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['f'], 'opt_args': []})"", ""('nltk.filestring', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['f'], 'opt_args': []})"", ""('nltk.filestring', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['f'], 'opt_args': []})""]",[]
nltk.util.flatten(*args),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
nltk.util.guess_encoding(data),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","[""('nltk.guess_encoding', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['data'], 'opt_args': []})"", ""('nltk.guess_encoding', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['data'], 'opt_args': []})"", ""('nltk.guess_encoding', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['data'], 'opt_args': []})"", ""('nltk.guess_encoding', {'source_file': 'nltk\\\\nltk\\\\util.py', 'req_args': ['data'], 'opt_args': []})""]",[]
nltk.util.in_idle(),"['https://web.archive.org/web/20210415060141/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210224173550/http://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20210506225856/https://www.nltk.org/api/nltk.html', 'https://web.archive.org/web/20200414120240/http://www.nltk.org/api/nltk.html']","['N/A', 'N/A', 'N/A', 'N/A']",[]
