id,session_key,library_name,years_experience,familiar,general_rating,task_list,code_examples_methods,code_examples_classes,text_readability,code_readability,consistency,navigability,usefulness,where_see,matching,general_feedback
162,sfulpjgrbxgu4enoyucykrn5og47x95m,requests,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,sfulpjgrbxgu4enoyucykrn5og47x95m,Typescript,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
164,9cgsyftwal22z7je6vfux9exdc8hfps8,requests,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,sfulpjgrbxgu4enoyucykrn5og47x95m,pytest,10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,sw7f2cgu8zlrmnynqfldfuwuk9gko6ch,numpy,3,1,2,2,2,2,2,2,1,2,2,readme,1,Most of the documentation quality metrics are 0 star which seems pretty strange and inaccurate to me. The documented library tasks section also seems quite limited and I feel a google search would be more effective.
167,sw7f2cgu8zlrmnynqfldfuwuk9gko6ch,pytest,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
168,hzgw50xg17yrxlasbbqrx2h8d67u30tv,React,3,0,5,2,5,5,3,4,3,2,4,readme,NULL,NULL
169,hzgw50xg17yrxlasbbqrx2h8d67u30tv,numpy,3,0,4,5,5,5,2,5,4,1,4,readme,NULL,NULL
170,0xq9lkjnur4i59lekyqccdbaw365kmdg,JSON-java,3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
171,vb3d8pxid37izghrk60b9fpufalp4q6u,numpy,NULL,NULL,4,5,5,4,4,4,4,4,5,readme,NULL,NULL
172,tys67a58krqhgfw6oadq8lbf5uq01lfn,JSON-java,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,bxev19qq07htoobqcnchuq6hpauo4s4w,requests,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
174,2cqcltzgqlyeis2hht41mwg2td9mk03m,requests,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175,r833esheg5hdwim6v4migrpepszpkxlh,numpy,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
