Paragraph,Tasks
trace (int) – The trace level. A trace level of 0 will generate no tracing output; and higher trace levels will produce more verbose tracing output.,"Generate tracing output
Produce more verbose"
"A bottom-up parser for PCFG grammars that tries edges in descending order of the inside probabilities of their trees. The “inside probability” of a tree is simply the probability of the entire tree, ignoring its context. In particular, the inside probability of a tree generated by production p with children c[1], c[2], …, c[n] is P(p)P(c[1])P(c[2])…P(c[n]); and the inside probability of a token is 1 if it is present in the text, and 0 if it is absent.",Ignore context
"Sort the given queue of edges, in descending order of the inside probabilities of the edges’ trees.",Sort given queue of edges
queue (list(Edge)) – The queue of Edge objects to sort. Each edge in this queue is an edge that could be added to the chart by the fundamental rule; but that has not yet been added.,
chart (Chart) – The chart being used to parse the text. This chart can be used to provide extra information for sorting the queue.,"Provide extra information for sorting
Sort queue"
"Sort the given queue of Edge objects, placing the edge that should be tried first at the beginning of the queue. This method will be called after each Edge is added to the queue.","Sort given queue of Edge objects
Add edge to queue"
queue (list(Edge)) – The queue of Edge objects to sort. Each edge in this queue is an edge that could be added to the chart by the fundamental rule; but that has not yet been added.,Add edge to chart
chart (Chart) – The chart being used to parse the text. This chart can be used to provide extra information for sorting the queue.,"Provide extra information for sorting
Sort queue"
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"Sort the given queue of Edge objects, placing the edge that should be tried first at the beginning of the queue. This method will be called after each Edge is added to the queue.","Sort given queue of Edge objects
Add edge to queue"
queue (list(Edge)) – The queue of Edge objects to sort. Each edge in this queue is an edge that could be added to the chart by the fundamental rule; but that has not yet been added.,Add edge to chart
chart (Chart) – The chart being used to parse the text. This chart can be used to provide extra information for sorting the queue.,"Provide extra information for sorting
sort queue"
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.","Add edges to chart
Add new edge"
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Specify number of edges
"Sort the given queue of Edge objects, placing the edge that should be tried first at the beginning of the queue. This method will be called after each Edge is added to the queue.","Sort given queue of Edge objects
Add edge to queue"
queue (list(Edge)) – The queue of Edge objects to sort. Each edge in this queue is an edge that could be added to the chart by the fundamental rule; but that has not yet been added.,Add edge to chart
chart (Chart) – The chart being used to parse the text. This chart can be used to provide extra information for sorting the queue.,"Provide extra information for sorting
Sort queue"
"A demonstration of the probabilistic parsers. The user is prompted to select which demo to run, and how many parses should be found; and then each parser is run on the same demo, and a summary of the results are displayed.",
"A cell from the parse chart formed when performing the CYK algorithm. Each cell keeps track of its x and y coordinates (though this will probably be discarded), and a list of spans serving as the cell’s entries.",Perform CYK algorithm
Appends the given span to the list of spans representing the chart cell’s entries.,Append given span to list
"This parser returns the most probable projective parse derived from the probabilistic dependency grammar derived from the train() method. The probabilistic model is an implementation of Eisner’s (1996) Model C, which conditions on head-word, head-tag, child-word, and child-tag. The decoding uses a bottom-up chart-based span concatenation algorithm that’s identical to the one utilized by the rule-based projective parser.","Return probable projective parse
Use bottom-up chart based span concatentation algorithm"
Computes the probability of a dependency graph based on the parser’s probability model (defined by the parser’s statistical dependency grammar).,Compute probability of dependency graph
"Concatenates the two spans in whichever way possible. This includes rightward concatenation (from the leftmost word of the leftmost span to the rightmost word of the rightmost span) and leftward concatenation (vice-versa) between adjacent spans. Unlike Eisner’s presentation of span concatenation, these spans do not share or pivot on a particular word/word-index.",Concatenate spans
Parses the list of tokens subject to the projectivity constraint and the productions in the parser’s grammar. This uses a method similar to the span-concatenation algorithm defined in Eisner (1996). It returns the most probable parse derived from the parser’s probabilistic dependency grammar.,Retrun probable parse
"A projective, rule-based, dependency parser. A ProjectiveDependencyParser is created with a DependencyGrammar, a set of productions specifying word-to-word dependency relations. The parse() method will then return the set of all parses, in tree representation, for a given input sequence of tokens. Each parse must meet the requirements of the both the grammar and the projectivity constraint which specifies that the branches of the dependency tree are not allowed to cross. Alternatively, this can be understood as stating that each parent node and its children in the parse tree form a continuous substring of the input sequence.","Return set in tree representation
Return set of parses
Return set for given input sequence"
"Concatenates the two spans in whichever way possible. This includes rightward concatenation (from the leftmost word of the leftmost span to the rightmost word of the rightmost span) and leftward concatenation (vice-versa) between adjacent spans. Unlike Eisner’s presentation of span concatenation, these spans do not share or pivot on a particular word/word-index.",Concatenate spans
"Performs a projective dependency parse on the list of tokens using a chart-based, span-concatenation algorithm similar to Eisner (1996).",Use chart-based span-concatenation algorithm
A demonstration showing the creation of a DependencyGrammar in which a specific number of modifiers is listed for a given head. This can further constrain the number of possible parses created by a ProjectiveDependencyParser.,List specific number of modifiers
A demo showing the training and use of a projective dependency parser.,Use projective dependency parser
A demonstration showing the creation and use of a DependencyGrammar to perform a projective dependency parse.,"Use of DependencyGrammer
Perform projective dependency parse"
"A simple top-down CFG parser that parses texts by recursively expanding the fringe of a Tree, and matching it against a text.","Expand fringe of tree
Match against text"
RecursiveDescentParser uses a list of tree locations called a “frontier” to remember which subtrees have not yet been expanded and which leaves have not yet been matched against the text. Each tree location consists of a list of child indices specifying the path from the root of the tree to a subtree or a leaf; see the reference documentation for Tree for more information about tree locations.,
"When the parser begins parsing a text, it constructs a tree containing only the start symbol, and a frontier containing the location of the tree’s root node. It then extends the tree to cover the text, using the following recursive procedure:",Extend tree
"If the frontier is empty, and the text is covered by the tree, then return the tree as a possible parse.",Return tree as possible parse
"If the frontier is empty, and the text is not covered by the tree, then return no parses.",
"If the first element of the frontier is a subtree, then use CFG productions to “expand” it. For each applicable production, add the expanded subtree’s children to the frontier, and recursively find all parses that can be generated by the new tree and frontier.",Generate parses
"If the first element of the frontier is a token, then “match” it against the next token from the text. Remove the token from the frontier, and recursively find all parses that can be generated by the new tree and frontier.","Find parses
Generate parses"
The grammar used by this parser.,
An iterator that generates parse trees for the sentence.,
When possible this list is sorted from most likely to least likely.,Sort list
Set the level of tracing output that should be generated when parsing a text.,Set level of tracing
trace (int) – The trace level. A trace level of 0 will generate no tracing output; and higher trace levels will produce more verbose tracing output.,"Generate tracing output
Produce more verbose"
"A RecursiveDescentParser that allows you to step through the parsing process, performing a single operation at a time.",
"The initialize method is used to start parsing a text. expand expands the first element on the frontier using a single CFG production, and match matches the first element on the frontier against the next text token. backtrack undoes the most recent expand or match operation. step performs a single expand, match, or backtrack operation. parses returns the set of parses that have been found by the parser.",Use single CFG production
"_history – A list of (rtext, tree, frontier) tripples, containing the previous states of the parser. This history is used to implement the backtrack operation.",
_tried_e – A record of all productions that have been tried for a given tree. This record is used by expand to perform the next untried production.,
_tried_m – A record of what tokens have been matched for a given tree. This record is used by step to decide whether or not to match a token.,
"Return the parser to its state before the most recent match or expand operation. Calling undo repeatedly return the parser to successively earlier states. If no match or expand operations have been performed, undo will make no changes.",Return parser before most recent match
"Expand the first element of the frontier. In particular, if the first element of the frontier is a subtree whose node type is equal to production’s left hand side, then add a child to that subtree for each element of production’s right hand side. If production is not specified, then use the first untried expandable production. If all expandable productions have been tried, do nothing.",Expand first element of frontier 
"The production used to expand the frontier, if an expansion was performed. If no expansion was performed, return None.","Expand frontier
Perform expansion"
"Start parsing a given text. This sets the parser’s tree to the start symbol, its frontier to the root node, and its remaining text to token['SUBTOKENS'].",
"The token matched, if a match operation was performed. If no match was performed, return None",Perform match operation
An iterator that generates parse trees for the sentence.,
When possible this list is sorted from most likely to least likely.,Sort list
An iterator of the parses that have been found by this parser so far.,
"Perform a single parsing operation. If an untried match is possible, then perform the match, and return the matched token. If an untried expansion is possible, then perform the expansion, and return the production that it is based on. If backtracking is possible, then backtrack, and return True. Otherwise, return None.","Perform single parsing operation
Perform match
Return matched token
Perform expansion
Return production"
None if no operation was performed; a token if a match was performed; a production if an expansion was performed; and True if a backtrack operation was performed.,
A partial structure for the text that is currently being parsed. The elements specified by the frontier have not yet been expanded or matched.,
"A simple bottom-up CFG parser that uses two operations, “shift” and “reduce”, to find a single parse for a text.",Find single parse for text
"ShiftReduceParser maintains a stack, which records the structure of a portion of the text. This stack is a list of strings and Trees that collectively cover a portion of the text. For example, while parsing the sentence “the dog saw the man” with a typical grammar, ShiftReduceParser will produce the following stack, which covers “the dog saw”:",
"ShiftReduceParser attempts to extend the stack to cover the entire text, and to combine the stack elements into a single tree, producing a complete parse for the sentence.","Extend stack 
Combine stack elements into single tree
Produce complete parse for sentence"
"Initially, the stack is empty. It is extended to cover the text, from left to right, by repeatedly applying two operations:",
“shift” moves a token from the beginning of the text to the end of the stack.,
"Often, more than one operation can be performed on a given stack. In this case, ShiftReduceParser uses the following heuristics to decide which operation to perform:",
"If multiple reductions are available, then apply the reduction whose CFG production is listed earliest in the grammar.",
"Note that these heuristics are not guaranteed to choose an operation that leads to a parse of the text. Also, if multiple parses exists, ShiftReduceParser will return at most one of them.",
The grammar used by this parser.,
An iterator that generates parse trees for the sentence.,Generate parse trees
When possible this list is sorted from most likely to least likely.,Sort list
Set the level of tracing output that should be generated when parsing a text.,Set level of tracing
trace (int) – The trace level. A trace level of 0 will generate no tracing output; and higher trace levels will produce more verbose tracing output.,"Generate tracing output
Produce more verbose"
"A ShiftReduceParser that allows you to setp through the parsing process, performing a single operation at a time. It also allows you to change the parser’s grammar midway through parsing a text.",Change grammar
"The initialize method is used to start parsing a text. shift performs a single shift operation, and reduce performs a single reduce operation. step will perform a single reduce operation if possible; otherwise, it will perform a single shift operation. parses returns the set of parses that have been found by the parser.",Perform single shift operation
"_history – A list of (stack, remaining_text) pairs, containing all of the previous states of the parser. This history is used to implement the undo operation.",
Start parsing a given text. This sets the parser’s stack to [] and sets its remaining text to tokens.,
An iterator that generates parse trees for the sentence.,Generate parse trees
When possible this list is sorted from most likely to least likely.,Sort list
An iterator of the parses that have been found by this parser so far.,
"Use production to combine the rightmost stack elements into a single Tree. If production does not match the rightmost stack elements, then do nothing.",
"The production used to reduce the stack, if a reduction was performed. If no reduction was performed, return None.",
"Move a token from the beginning of the remaining text to the end of the stack. If there are no more tokens in the remaining text, then do nothing.",
"Perform a single parsing operation. If a reduction is possible, then perform that reduction, and return the production that it is based on. Otherwise, if a shift is possible, then perform it, and return True. Otherwise, return False.","Perform single parsing operation
Perform reduction"
False if no operation was performed; True if a shift was performed; and the CFG production used to reduce if a reduction was performed.,Perform shift
"Return the parser to its state before the most recent shift or reduce operation. Calling undo repeatedly return the parser to successively earlier states. If no shift or reduce operations have been performed, undo will make no changes.","Return parser before most recent shift
Return parser to state"
"Use StanfordParser to parse multiple sentences. Takes multiple sentences as a list where each sentence is a list of words. Each sentence will be automatically tagged with this StanfordParser instance’s tagger. If whitespaces exists inside a token, then the token will be treated as separate tokens.",['use StanfordParser']
"Use StanfordParser to parse a sentence. Takes a sentence as a string; before parsing, it will be automatically tokenized and tagged by the Stanford Parser.",['use StanfordParser']
Use StanfordParser to parse multiple sentences. Takes multiple sentences as a list of strings. Each sentence will be automatically tokenized and tagged by the Stanford Parser.,['use StanfordParser']
"Use StanfordParser to parse a sentence. Takes a sentence as a list of (word, tag) tuples; the sentence must have already been tokenized and tagged.",['use StanfordParser']
"Use StanfordParser to parse multiple sentences. Takes multiple sentences where each sentence is a list of (word, tag) tuples. The sentences must have already been tokenized and tagged.",['use StanfordParser']
Currently unimplemented because the neural dependency parser (and the StanfordCoreNLP pipeline class) doesn’t support passing in pre- tagged tokens.,
Class for holding configuration which is the partial analysis of the input sentence. The transition based parser aims at finding set of operators that transfer the initial configuration to the terminal configuration.,
Buffer: for storing remaining input words,
Set of arcs: for storing partially built dependency tree,Store build dependency tree
This class also provides a method to represent a configuration as list of features.,
"Extract the set of features for the current configuration. Implement standard features as describe in Table 3.2 (page 31) in Dependency Parsing book by Sandra Kubler, Ryan McDonal, Joakim Nivre. Please note that these features are very basic. :return: list(str)",Extract set of features
"This class defines a set of transition which is applied to a configuration to get another configuration Note that for different parsing algorithm, the transition is different.","Apply set of transition
Apply set to configuration"
Class for transition based parser. Implement 2 algorithms which are “arc-standard” and “arc-eager”,
:param depgraphs : list of DependencyGraph as the training data :type depgraphs : DependencyGraph :param modelfile : file name to save the trained model :type modelfile : str,Save trained model
"###################### Check The Transition ####################### Check the Initialized Configuration >>> print(conf) Stack : [0] Buffer : [1, 2, 3, 4, 5, 6, 7, 8, 9] Arcs : []",
"A. Check the ARC-STANDARD training >>> import tempfile >>> import os >>> input_file = tempfile.NamedTemporaryFile(prefix=’transition_parse.train’, dir=tempfile.gettempdir(), delete=False)",
Check the ARC-EAGER training,
Check the ARC-STANDARD parser,
Unit tests for CFG.,
"The result information is followed by a colon, and then the sentence. Empty lines and lines beginning with a comment char are ignored.",Ignore empty lines
"Load a grammar from a file, and build a parser based on that grammar. The parser depends on the grammar format, and might also depend on properties of the grammar itself.","Build parser
Load grammar from file"
trace (int) – The level of tracing that should be used when parsing a text. 0 will generate no tracing output; and higher numbers will produce more verbose tracing output.,"Generate tracing output
Produce more verbose"
"parser – The class used for parsing; should be ChartParser or a subclass. If None, the class depends on the grammar format.",
"chart_class – The class used for storing the chart; should be Chart or a subclass. Only used for CFGs and feature CFGs. If None, the chart class depends on the grammar format.",Store chart
beam_size (int) – The maximum length for the parser’s edge queue. Only used for probabilistic CFGs.,
load_args – Keyword parameters used when loading the grammar. See data.load for more information.,Load grammar
A module to convert a single POS tagged sentence into CONLL format.,Convert single POS
"A module to convert the a POS tagged document stream (i.e. list of list of tuples, a list of sentences) and yield lines in CONLL format. This module yields one line per word and two newlines for end of sentence.",Convert POS
"A bottom-up PCFG parser that uses dynamic programming to find the single most likely parse for a text. The ViterbiParser parser parses texts by filling in a “most likely constituent table”. This table records the most probable tree representation for any given span and node value. In particular, it has an entry for every start index, end index, and node value, recording the most likely subtree that spans from the start index to the end index, and has the given node value.","Find single likely parse for text
Fill in likely constituent table"
"The ViterbiParser parser fills in this table incrementally. It starts by filling in all entries for constituents that span one element of text (i.e., entries where the end index is one greater than the start index). After it has filled in all table entries for constituents that span one element of text, it fills in the entries for constitutants that span two elements of text. It continues filling in the entries for constituents spanning larger and larger portions of the text, until the entire table has been filled. Finally, it returns the table entry for a constituent spanning the entire text, whose node value is the grammar’s start symbol.",Retrun table entry for constituent
"In order to find the most likely constituent with a given span and node value, the ViterbiParser parser considers all productions that could produce that node value. For each production, it finds all children that collectively cover the span and have the node values specified by the production’s right hand side. If the probability of the tree formed by applying the production to the children is greater than the probability of the current entry in the table, then the table is updated with this new tree.","Find likely consitituent with given span
Find likely consitituent with node value
Apply production to children
Update table with new tree"
_trace – The level of tracing output that should be generated when parsing a text.,
The grammar used by this parser.,
An iterator that generates parse trees for the sentence.,Generate parse trees
When possible this list is sorted from most likely to least likely.,Sort list
Set the level of tracing output that should be generated when parsing a text.,Set level of tracing
trace (int) – The trace level. A trace level of 0 will generate no tracing output; and higher trace levels will produce more verbose tracing output.,"Generate tracing output
Produce more verbose"
"A demonstration of the probabilistic parsers. The user is prompted to select which demo to run, and how many parses should be found; and then each parser is run on the same demo, and a summary of the results are displayed.",
"Classes and interfaces for producing tree structures that represent the internal organization of a text. This task is known as “parsing” the text, and the resulting tree structures are called the text’s “parses”. Typically, the text is a single sentence, and the tree structure represents the syntactic structure of the sentence. However, parsers can also be used in other domains. For example, parsers can be used to derive the morphological structure of the morphemes that make up a word, or to derive the discourse structure for a set of utterances.",
"Sometimes, a single piece of text can be represented by more than one tree structure. Texts represented by more than one tree structure are called “ambiguous” texts. Note that there are actually two ways in which a text can be ambiguous:",
"The parser module defines ParserI, a standard interface for parsing texts; and two simple implementations of that interface, ShiftReduceParser and RecursiveDescentParser. It also contains three sub-modules for specialized kinds of parsing:",
"nltk.parser.chart defines chart parsing, which uses dynamic programming to efficiently parse texts.",Define chart parsing
"nltk.parser.probabilistic defines probabilistic parsing, which associates a probability with each parse.",Define probabilistic parsing
Bases: object,
"at least one of: parse(), parse_sents().",
grammar(),
sent (list(str)) – The sentence to be parsed,
iter(Tree),
list(Tree),
Tree or None,
Apply self.parse() to each element of sents. :rtype: iter(iter(Tree)),
Bases: nltk.parse.api.ParserI,
models in the model directory.,
model_dir (str) – Path to the unified model directory.,
"parser_options – optional dictionary of parser options, see",
"bllipparser.RerankingParser.RerankingParser.load_parser_options() for more information. :type parser_options: dict(str) :param reranker_options: optional dictionary of reranker options, see bllipparser.RerankingParser.RerankingParser.load_reranker_model() for more information. :type reranker_options: dict(str) :rtype: BllipParser",
Use BLLIP Parser to parse a sentence. Takes a sentence as a list of words; it will be automatically tagged with this BLLIP Parser instance’s tagger.,Use BLLIP
from most likely to least likely.,
sentence (list(str)) – The sentence to be parsed,
iter(Tree),
from most likely to least likely.,
"sentence (list(tuple(str, str))) – Input sentence to parse as (word, tag) pairs",
iter(Tree),
Bases: nltk.parse.chart.ChartRuleI,
An abstract base class for chart rules. AbstractChartRule provides:,
A default implementation for apply.,
"A default implementation for apply_everywhere, (Currently, this implementation assumes that ``NUM_EDGES``<=3.)",
iter(EdgeI),
iter(EdgeI),
Bases: nltk.parse.chart.ChartParser,
Bases: nltk.parse.chart.ChartParser,
Bases: nltk.parse.chart.BottomUpPredictRule,
"A rule licensing any edge corresponding to a production whose right-hand side begins with a complete edge’s left-hand side. In particular, this rule specifies that [A -> alpha \*] licenses the edge [B -> A \* beta] for each grammar production B -> A beta.",
iter(EdgeI),
Bases: nltk.parse.chart.AbstractChartRule,
"A rule licensing any edge corresponding to a production whose right-hand side begins with a complete edge’s left-hand side. In particular, this rule specifies that [A -> alpha \*] licenses the edge [B -> \* A beta] for each grammar production B -> A beta.",
iter(EdgeI),
Bases: nltk.parse.chart.TopDownPredictRule,
iter(EdgeI),
Bases: object,
"In order to reconstruct the trees that are represented by an edge, the chart associates each edge with a set of child pointer lists. A child pointer list is a list of the edges that license an edge’s right-hand side.",
_tokens – The sentence that the chart covers.,
_num_leaves – The number of tokens.,
_edges – A list of the edges in the chart,
_edge_to_cpls – A dictionary mapping each edge to a set of child pointer lists that are associated with that edge.,
"_indexes – A dictionary mapping tuples of edge attributes to indices, where each index maps the corresponding edge attribute values to lists of edges.",
list(list(EdgeI)),
list(EdgeI),
"iteredges, select",
Clear the chart.,Clear chart
edge (EdgeI) – The new edge,
bool,
iter(EdgeI),
"edges, select",
str,
Return a list of the leaf values of each word in the chart’s sentence.,Return list of leaf values
list(str),
int,
Return the number of words in this chart’s sentence.,
int,
"Return an iterator of the complete tree structures that span the entire chart, and whose root node is root.",Return iterator of tree structure
Return a pretty-printed string representation of this chart.,Return pretty-print representation of chart
width – The number of characters allotted to each index in the sentence.,
str,
str,
width – The number of characters allotted to each index in the sentence.,
iter(EdgeI),
list(Tree),
Bases: nltk.parse.api.ParserI,
tokens (list(str)) – The sentence to be parsed,
Chart,
sent (list(str)) – The sentence to be parsed,
iter(Tree),
Bases: object,
A chart rule with NUM_EDGES=1 specifies what new edges are licensed by a single existing edge.,Specify by single edge
A chart rule with NUM_EDGES=2 specifies what new edges are licensed by a pair of existing edges.,Specify by pair of edges
"NUM_EDGES – The number of existing edges that this rule uses to license new edges. Typically, this number ranges from zero to two.",
iter(EdgeI),
iter(EdgeI),
Bases: object,
A hypothesis about the structure of part of a sentence. Each edge records the fact that a structure is (partially) consistent with the sentence. An edge contains:,
"A span, indicating what part of the sentence is consistent with the hypothesized structure.",
"A dot position, indicating how much of the hypothesized structure is consistent with the sentence.",
Every edge is either complete or incomplete:,
An edge is complete if its structure is fully consistent with the sentence.,
There are two kinds of edge:,
A LeafEdge records the tokens occurring in the text.,
int,
Return the end index of this edge’s span.,Return end index
int,
Return True if this edge’s structure is fully consistent with the text.,
bool,
Return True if this edge’s structure is partially consistent with the text.,
bool,
Return the length of this edge’s span.,Return edge span length
int,
TreeEdge and LeafEdge for a description of the left-hand side values for each edge type.,
Nonterminal or terminal or None,
TreeEdge and LeafEdge for a description of the right-hand side values for each edge type.,
"tuple(int, int)",
Return the start index of this edge’s span.,Return start index
int,
Bases: nltk.parse.chart.AbstractChartRule,
"A rule that inserts all empty productions as passive edges, in every position in the chart.",
iter(EdgeI),
Bases: nltk.parse.chart.BottomUpPredictCombineRule,
iter(EdgeI),
Bases: nltk.parse.chart.SingleEdgeFundamentalRule,
Bases: nltk.parse.chart.AbstractChartRule,
"A rule that joins two adjacent edges to form a single combined edge. In particular, this rule specifies that any pair of edges",
[A -> alpha \* B beta][i:j],
[B -> gamma \*][j:k],
licenses the edge:,
[A -> alpha B * beta][i:j],
iter(EdgeI),
Bases: nltk.parse.chart.EdgeI,
An edge that records the fact that a leaf value is consistent with a word in the sentence. A leaf edge consists of:,
"An index, indicating the position of the word.",
"A leaf edge’s left-hand side is its leaf value, and its right hand side is (). Its span is [index, index+1], and its dot position is 0.",
int,
Return the end index of this edge’s span.,Return end index
int,
Return True if this edge’s structure is fully consistent with the text.,
bool,
Return True if this edge’s structure is partially consistent with the text.,
bool,
Return the length of this edge’s span.,Return edge span length
int,
TreeEdge and LeafEdge for a description of the left-hand side values for each edge type.,
Nonterminal or terminal or None,
TreeEdge and LeafEdge for a description of the right-hand side values for each edge type.,
"tuple(int, int)",
Return the start index of this edge’s span.,Return start index
int,
Bases: nltk.parse.chart.AbstractChartRule,
iter(EdgeI),
Bases: nltk.parse.chart.ChartParser,
Bases: nltk.parse.chart.FundamentalRule,
[A -> alpha \* B beta][i:j],
[B -> gamma \*][j:k],
licenses the edge:,
[A -> alpha B * beta][i:j],
if the other edge is already in the chart.,
"This is basically FundamentalRule, with one edge left unspecified.",
iter(EdgeI),
Bases: nltk.parse.chart.ChartParser,
Return the chart that is used by this parser.,
Begin parsing the given tokens.,
sent (list(str)) – The sentence to be parsed,
iter(Tree),
Return the parse trees currently contained in the chart.,
Return the strategy used by this parser.,
Bases: nltk.parse.chart.ChartParser,
Bases: nltk.parse.chart.AbstractChartRule,
"A rule licensing edges corresponding to the grammar productions for the grammar’s start symbol. In particular, this rule specifies that [S -> \* alpha][0:i] is licensed for each grammar production S -> alpha, where S is the grammar’s start symbol.",
iter(EdgeI),
Bases: nltk.parse.chart.AbstractChartRule,
"A rule licensing edges corresponding to the grammar productions for the nonterminal following an incomplete edge’s dot. In particular, this rule specifies that [A -> alpha \* B beta][i:j] licenses the edge [B -> \* gamma][j:j] for each grammar production B -> gamma.",
This rule corresponds to the Predictor Rule in Earley parsing.,
iter(EdgeI),
Bases: nltk.parse.chart.EdgeI,
An edge that records the fact that a tree is (partially) consistent with the sentence. A tree edge consists of:,
"A span, indicating what part of the sentence is consistent with the hypothesized tree.",
"A dot position, indicating which children are consistent with part of the sentence. In particular, if dot is the dot position, rhs is the right-hand size, (start,end) is the span, and sentence is the list of tokens in the sentence, then tokens[start:end] can be spanned by the children specified by rhs[:dot].",
"For more information about edges, see the EdgeI interface.",
int,
Return the end index of this edge’s span.,Return end index
int,
"Return a new TreeEdge formed from the given production. The new edge’s left-hand side and right-hand side will be taken from production; its span will be (index,index); and its dot position will be 0.",
TreeEdge,
Return True if this edge’s structure is fully consistent with the text.,
bool,
Return True if this edge’s structure is partially consistent with the text.,
bool,
Return the length of this edge’s span.,Return edge span length
int,
TreeEdge and LeafEdge for a description of the left-hand side values for each edge type.,
new_end (int) – The new end index.,
TreeEdge,
Nonterminal or terminal or None,
TreeEdge and LeafEdge for a description of the right-hand side values for each edge type.,
"tuple(int, int)",
Return the start index of this edge’s span.,Return start index
int,
A demonstration of the chart parsers.,
Bases: nltk.parse.corenlp.GenericCoreNLPParser,
Dependency parser.,
Non-breaking space inside of a token.,
Phone numbers.,
Bases: nltk.parse.corenlp.GenericCoreNLPParser,
Bases: object,
Starts the CoreNLP server,
Bases: OSError,
Exceptions associated with the Core NLP server.,
"Bases: nltk.parse.api.ParserI, nltk.tokenize.api.TokenizerI, nltk.tag.api.TaggerI",
Interface to the CoreNLP Parser.,
Parse multiple sentences.,
Takes multiple sentences as a list where each sentence is a list of words. Each sentence will be automatically tagged with this CoreNLPParser instance’s tagger.,
"If a whitespace exists inside a token, then the token will be treated as several tokens.",
sentences (list(list(str))) – Input sentences to parse,
iter(iter(Tree)),
Parse a piece of text.,
text (str) – text to be split.,
an iterable of syntactic structures. # TODO: should it be an iterable of iterables?,
Parse a sentence.,
"Takes a sentence as a string; before parsing, it will be automatically tokenized and tagged by the CoreNLP Parser.","Tokenize sentences
Tag sentence"
sentence (str) – Input sentence to parse,
iter(Tree),
Parse multiple sentences.,
Takes multiple sentences as a list of strings. Each sentence will be automatically tokenized and tagged.,"Tokenize sentences
Tag sentence"
sentences (list(str)) – Input sentences to parse.,
iter(iter(Tree)),
Tag multiple sentences.,
Takes multiple sentences as a list where each sentence is a string.,
sentences (list(str)) – Input sentences to tag,
"list(list(list(tuple(str, str)))",
Tag a list of tokens.,
"list(tuple(str, str))",
Tag multiple sentences.,
Takes multiple sentences as a list where each sentence is a list of tokens.,
sentences (list(list(str))) – Input sentences to tag,
"list(list(tuple(str, str))",
Tokenize a string of text.,
Bases: object,
A container for the nodes and labelled edges of a dependency structure.,
Check whether there are cycles.,Check cycles
filename – a name of a file in Malt-TAB format,
zero_based – nodes in the input file are numbered starting from 0,
a list of DependencyGraphs,
Redirects arcs to any of the nodes in the originals list to the redirect node address.,Redirect node arcs
The dependency graph in CoNLL format.,
str,
"Extract dependency triples of the form: ((head word, head tag), rel, (dep word, dep tag))",Extract dependency triples
Bases: Exception,
Dependency graph exception.,
"A parser is “incremental”, if it guarantees that for all i, j where i < j, all edges ending at i are built before any edges ending at j. This is appealing for, say, speech recognizer hypothesis filtering.",
"The main parser class is EarleyChartParser, which is a top-down algorithm, originally formulated by Jay Earley (1970).",
Bases: nltk.parse.chart.SingleEdgeFundamentalRule,
Bases: nltk.parse.earleychart.CompleteFundamentalRule,
iter(EdgeI),
Bases: nltk.parse.earleychart.IncrementalChartParser,
Bases: nltk.parse.featurechart.FeatureSingleEdgeFundamentalRule,
Bases: nltk.parse.earleychart.CompleterRule,
Bases: nltk.parse.earleychart.FeatureIncrementalChartParser,
Bases: nltk.parse.earleychart.FeatureIncrementalChartParser,
Bases: nltk.parse.earleychart.FeatureIncrementalChartParser,
"Bases: nltk.parse.earleychart.IncrementalChart, nltk.parse.featurechart.FeatureChart",
"Bases: nltk.parse.earleychart.IncrementalChartParser, nltk.parse.featurechart.FeatureChartParser",
Bases: nltk.parse.earleychart.FeatureIncrementalChartParser,
Bases: nltk.parse.featurechart.FeatureTopDownPredictRule,
Bases: nltk.parse.earleychart.ScannerRule,
Bases: nltk.parse.chart.FilteredSingleEdgeFundamentalRule,
iter(EdgeI),
Bases: nltk.parse.earleychart.IncrementalChartParser,
Bases: nltk.parse.earleychart.IncrementalChartParser,
Bases: nltk.parse.chart.Chart,
list(EdgeI),
"iteredges, select",
Clear the chart.,Clear chart
iter(EdgeI),
"edges, select",
iter(EdgeI),
Bases: nltk.parse.chart.ChartParser,
tokens (list(str)) – The sentence to be parsed,
Chart,
Bases: nltk.parse.earleychart.IncrementalChartParser,
Bases: nltk.parse.earleychart.IncrementalChartParser,
Bases: nltk.parse.chart.CachedTopDownPredictRule,
