When possible this list is sorted from most likely to least likely.,nltk.parse.api.
"A. Check the ARC-STANDARD training
>>> import tempfile
>>> import os
>>> input_file = tempfile.NamedTemporaryFile(prefix=’transition_parse.train’, dir=tempfile.gettempdir(), delete=False)",Configuration
"Extract the set of features for the current configuration. Implement standard features as describe in
Table 3.2 (page 31) in Dependency Parsing book by Sandra Kubler, Ryan McDonal, Joakim Nivre.
Please note that these features are very basic.
:return: list(str)",extract_features
"A. Check the ARC-STANDARD training
>>> import tempfile
>>> import os
>>> input_file = tempfile.NamedTemporaryFile(prefix=’transition_parse.train’, dir=tempfile.gettempdir(), delete=False)",Transition
"This class defines a set of transition which is applied to a configuration to get another configuration
Note that for different parsing algorithm, the transition is different.",LEFT_ARC
"This class defines a set of transition which is applied to a configuration to get another configuration
Note that for different parsing algorithm, the transition is different.",REDUCE
"This class defines a set of transition which is applied to a configuration to get another configuration
Note that for different parsing algorithm, the transition is different.",RIGHT_ARC
"This class defines a set of transition which is applied to a configuration to get another configuration
Note that for different parsing algorithm, the transition is different.",SHIFT
"This class defines a set of transition which is applied to a configuration to get another configuration
Note that for different parsing algorithm, the transition is different.",left_arc
"This class defines a set of transition which is applied to a configuration to get another configuration
Note that for different parsing algorithm, the transition is different.",right_arc
"A. Check the ARC-STANDARD training
>>> import tempfile
>>> import os
>>> input_file = tempfile.NamedTemporaryFile(prefix=’transition_parse.train’, dir=tempfile.gettempdir(), delete=False)",TransitionParser
Class for transition based parser. Implement 2 algorithms which are “arc-standard” and “arc-eager”,ARC_EAGER
Class for transition based parser. Implement 2 algorithms which are “arc-standard” and “arc-eager”,ARC_STANDARD
Unit tests for  CFG.,nltk.parse.util.
Unit tests for  CFG.,TestGrammar
Unit tests for  CFG.,run
"The result information is followed by a colon, and then the sentence.
Empty lines and lines beginning with a comment char are ignored.",extract_test_sentences
"load_args – Keyword parameters used when loading the grammar.
See data.load for more information.",load_parser
A module to convert a single POS tagged sentence into CONLL format.,taggedsent_to_conll
"A module to convert the a POS tagged document stream
(i.e. list of list of tuples, a list of sentences) and yield lines
in CONLL format. This module yields one line per word and two newlines
for end of sentence.",taggedsents_to_conll
"A demonstration of the probabilistic parsers.  The user is
prompted to select which demo to run, and how many parses should
be found; and then each parser is run on the same demo, and a
summary of the results are displayed.",nltk.parse.viterbi.
"A demonstration of the probabilistic parsers.  The user is
prompted to select which demo to run, and how many parses should
be found; and then each parser is run on the same demo, and a
summary of the results are displayed.",ViterbiParser
