Paragraphs,Tasks (Old),Henry's mechanical tasks,Henry's library tasks,Henry's library tasks (updated),Sarah's mechanical tasks,Sarah's library tasks,Sarah's library tasks (updated),Agree?,Library task conflict?,Resolved mechanical tasks,Resolved library tasks,Resolved library tasks (updated),Program (Original verb list),Program (Domain specific list),Program (domain specific + filter),Mechanical count,Library count,Mechanical correct,Program count,Library correct,Dom spec program count,Dom spec library correct,dom spec filter count,dom spec filter correct,Code example,Program paragraph linked,Updated links
"Passthrough datetime.datetime, datetime.date, and datetime.time instances to default. This allows serializing datetimes to a custom format, e.g., HTTP dates:",Serialize datetimes to a custom format,"Passthrough datetime.datetime
Passthrough datetime.date
Passthrough datetime.time
Serialize datetimes",Serialize datetimes,Serialize datetimes,Serialize datetimes,Serialize datetimes,Serialize datetimes to custom format,1,0,"Passthrough datetime.datetime
Passthrough datetime.date
Passthrough datetime.time
Serialize datetimes",Serialize datetimes,Serialize datetimes to custom format,,serialize datetimes to custom format,serialize datetimes to custom format,4,1,0,0,,1,1,1,1,">>> import orjson, datetime
>>>
def default(obj):
    if isinstance(obj, datetime.datetime):
        return obj.strftime(""%a, %d %b %Y %H:%M:%S GMT"")
    raise TypeError

>>> orjson.dumps({""created_at"": datetime.datetime(1970, 1, 1)})
b'{""created_at"":""1970-01-01T00:00:00""}'
>>> orjson.dumps({""created_at"": datetime.datetime(1970, 1, 1)}, option=orjson.OPT_PASSTHROUGH_DATETIME)
TypeError: Type is not JSON serializable: datetime.datetime
>>> orjson.dumps(
        {""created_at"": datetime.datetime(1970, 1, 1)},
        option=orjson.OPT_PASSTHROUGH_DATETIME,
        default=default,
    )
b'{""created_at"":""Thu, 01 Jan 1970 00:00:00 GMT""}'
",No paragraph linked,
This does not affect datetimes in dict keys if using OPT_NON_STR_KEYS.,,,,,,,,1,,,,,use OPT_NON_STR_KEYS,use OPT_NON_STR_KEYS,,0,0,0,1,0,1,0,0,0,,,
Passthrough subclasses of builtin types to default.,Passthrough subclasses of builtin types to default,,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,">>> import orjson
>>>
class Secret(str):
    pass

def default(obj):
    if isinstance(obj, Secret):
        return ""******""
    raise TypeError

>>> orjson.dumps(Secret(""zxc""))
b'""zxc""'
>>> orjson.dumps(Secret(""zxc""), option=orjson.OPT_PASSTHROUGH_SUBCLASS)
TypeError: Type is not JSON serializable: Secret
>>> orjson.dumps(Secret(""zxc""), option=orjson.OPT_PASSTHROUGH_SUBCLASS, default=default)
b'""******""'",No paragraph linked,
This does not affect serializing subclasses as dict keys if using OPT_NON_STR_KEYS.,,,,,,,,1,,,,,use OPT_NON_STR_KEYS,use OPT_NON_STR_KEYS,,0,0,0,1,0,1,0,0,0,,,
"This is deprecated and has no effect in version 3. In version 2 this was required to serialize dataclasses.dataclass instances. For more, see dataclass.",,,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,,,
"Serialize numpy.ndarray instances. For more, see numpy.",Serialize numpy.ndarray instances,Serialize numpy.ndarray,Serialize numpy.ndarray,Serialize numpy.ndarray,Serialize numpy.ndarray instance,Serialize numpy.ndarray instance,Serialize numpy.ndarray instance,1,0,Serialize numpy.ndarray instance,,Serialize numpy.ndarray instance,,serialize numpy.ndarray instances,serialize numpy.ndarray instances,1,1,,0,,1,1,1,1,,,
"This is deprecated and has no effect in version 3. In version 2 this was required to serialize uuid.UUID instances. For more, see UUID.",Serialize uuid.UUID instances,Serialize uuid.UUID,Serialize uuid.UUID,Serialize uuid.UUID,,,Serialize uuid.UUID,1,,Serialize uuid.UUID,Serialize uuid.UUID,Serialize uuid.UUID,,serialize uuid.UUID instances,serialize uuid.UUID instances,1,1,0,0,,1,1,1,1,,,
Serialize dict keys in sorted order. The default is to serialize in an unspecified order. This is equivalent to sort_keys=True in the standard library.,Serialize dict keys in sorted order,Serialize dict keys,Serialize dict keys,Serialize dict keys,Serialize dict keys,Serialize dict keys,Serialize dict keys,1,,Serialize dict keys,,Serialize dict keys,,serialize dict keys,serialize dict keys,1,1,,0,,1,1,1,1,">>> import orjson
>>> orjson.dumps({""b"": 1, ""c"": 2, ""a"": 3})
b'{""b"":1,""c"":2,""a"":3}'
>>> orjson.dumps({""b"": 1, ""c"": 2, ""a"": 3}, option=orjson.OPT_SORT_KEYS)
b'{""a"":3,""b"":1,""c"":2}'
",No paragraph linked,
This can be used to ensure the order is deterministic for hashing or tests. It has a substantial performance penalty and is not recommended in general.,Ensure order is deterministic for hashing or tests,Ensure deterministic order,Ensure deterministic order,Ensure deterministic order,Ensure deterministic order,Ensure deterministic order,Ensure deterministic order,1,,Ensure deterministic order,Ensure deterministic order,,,,,1,0,,0,0,0,,0,0,,,
This measures serializing the twitter.json fixture unsorted and sorted:,Measures serializing the twitter.json fixture,"Measures twitter.json fixture
Serialize twitter.json ","Measures twitter.json fixture
Serialize twitter.json ",Serialize twitter.json,,,Serialize twitter.json,1,,"Measures twitter.json fixture
Serialize twitter.json ",,Serialize twitter.json,,serialize twitter.json fixture,serialize twitter.json fixture,2,1,0,0,,1,1,1,1,,,
The benchmark can be reproduced using the pysort script.,,,,,,,,1,,,,,use pysort script,use pysort script,,0,0,0,1,0,1,0,0,0,,,
The sorting is not collation/locale-aware:,,,,,,,,1,,,,,,,,0,0,,0,,0,,0,0,">>> import orjson
>>> orjson.dumps({""a"": 1, ""ä"": 2, ""A"": 3}, option=orjson.OPT_SORT_KEYS)
b'{""A"":3,""a"":1,""\xc3\xa4"":2}'",The benchmark can be reproduced using the pysort script.,
"This is the same sorting behavior as the standard library, rapidjson, simplejson, and ujson.",,,,,,,,1,,,,,,,,0,0,,0,,0,,0,0,,,
dataclass also serialize as maps but this has no effect on them.,,,,,,,,1,,,,,,serialize  as maps,serialize  as maps,0,0,,0,,1,0,1,0,,,
"Enforce 53-bit limit on integers. The limit is otherwise 64 bits, the same as the Python standard library. For more, see int.",Enforce 53-bit limit of integers,Limit integers,,,Limit integers,Limit integers,Enforce integer limit,0,1,Enforce integer limit,Enforce integer limit,Enforce integer limit,,,,1,1,0,0,0,0,,0,0,,,
Serialize a UTC timezone on datetime.datetime instances as Z instead of +00:00.,Serialize UTC timezone as Z instead of +00:00,Serialize datetime.datetime,Serialize datetime.datetime,Serialize datetime.datetime,Serialize UTC timezone on datetime.datetime instance,Serialize UTC timezone on datetime.datetime instance,Serialize UTC timezone on datetime.datetime instance,1,0,Serialize UTC timezone on datetime.datetime instance,,Serialize UTC timezone on datetime.datetime instance,,serialize UTC timezone on datetime.datetime instances,serialize UTC timezone on datetime.datetime instances,1,1,,0,,1,1,1,1,">>> import orjson, datetime
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0, tzinfo=datetime.timezone.utc),
    )
b'""1970-01-01T00:00:00+00:00""'
>>> orjson.dumps(
        datetime.datetime(1970, 1, 1, 0, 0, 0, tzinfo=datetime.timezone.utc),
        option=orjson.OPT_UTC_Z
    )
b'""1970-01-01T00:00:00Z""'",No paragraph linked,
"loads() deserializes JSON to Python objects. It deserializes to dict, list, int, float, str, bool, and None objects.",Deserialize JSON to Python objects,Deserialize JSON to Python,Deserialize JSON to Python,Deserialize JSON to Python,Deserialize JSON to Python object,Deserialize JSON to Python object,Deserialize JSON to Python objects,1,0,Deserialize JSON to Python object,,Deserialize JSON to Python objects,,"deserialize JSON to Python objects
deserialize  to none objects
deserialize  to dict bool","deserialize JSON to Python objects
deserialize  to none objects
deserialize  to dict bool",1,1,,0,,3,1,3,1,"def loads(__obj: Union[bytes, bytearray, memoryview, str]) -> Any: ...",No paragraph linked,
"bytes, bytearray, memoryview, and str input are accepted. If the input exists as a memoryview, bytearray, or bytes object, it is recommended to pass these directly rather than creating an unnecessary str object. This has lower memory usage and lower latency.",,,,,,,,1,,,,,"pass  than creating
create unnecessary str object",pass  than creating,,0,0,0,2,0,1,0,0,0,,,
The input must be valid UTF-8.,,,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,,,
orjson maintains a cache of map keys for the duration of the process. This causes a net reduction in memory usage by avoiding duplicate strings. The keys must be at most 64 bytes to be cached and 512 entries are stored.,,,,,,,,1,,,,,store entries,,,0,0,0,1,0,0,0,0,0,,,
The global interpreter lock (GIL) is held for the duration of the call.,,,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,,,
"It raises JSONDecodeError if given an invalid type or invalid JSON. This includes if the input contains NaN, Infinity, or -Infinity, which the standard library allows, but is not valid JSON.",,,,,,,,1,,,,,raise JSONDecodeError,raise JSONDecodeError,,0,0,0,1,0,1,0,0,0,,,
JSONDecodeError is a subclass of json.JSONDecodeError and ValueError. This is for compatibility with the standard library.,,,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,,,
orjson serializes instances of dataclasses.dataclass natively. It serializes instances 40-50x as fast as other libraries and avoids a severe slowdown seen in other libraries compared to serializing dict.,,,,,Serialize dataclasses.dataclass,,Serialize dataclasses.dataclass natively,0,1,Serialize dataclasses.dataclass natively,Serialize dataclasses.dataclass,Serialize dataclasses.dataclass natively,,"serialize instances of dataclasses.dataclass natively
serialize instances","serialize instances of dataclasses.dataclass natively
serialize instances",1,1,0,0,0,2,1,2,1,,,
"It is supported to pass all variants of dataclasses, including dataclasses using __slots__, frozen dataclasses, those with optional or default attributes, and subclasses. There is a performance benefit to not using __slots__.",Pass all variants of dataclasses,Pass dataclasses,,,,,Pass variants of dataclasses,0,1,Pass variants of dataclasses,, ,"pass variants of dataclasses
use subclasses
use __slots__
support  including dataclasses","pass variants of dataclasses
use subclasses
use __slots__
support  including dataclasses",,1,1,1,4,0,4,0,0,0,,,
"This measures serializing 555KiB of JSON, orjson natively and other libraries using default to serialize the output of dataclasses.asdict(). This can be reproduced using the pydataclass script.",Measures serializing 555KiB of JSON,Serialize dataclasses.asdict(),Serialize dataclasses.asdict(),Serialize dataclasses.asdict(),,,Serialize dataclasses.asdict(),1,,Serialize dataclasses.asdict(),Serialize dataclasses.asdict(),Serialize dataclasses.asdict(),"use default
use pydataclass script","serialize 555KiB of JSON natively
serialize 555KiB of other libraries
use default
serialize output of dataclasses.asdict()
use pydataclass script","serialize 555KiB of JSON natively
serialize 555KiB of other libraries
serialize output of dataclasses.asdict()",1,1,0,2,0,5,1,3,1,,,
"Dataclasses are serialized as maps, with every attribute serialized and in the order given on class definition:",,Serialize dataclasses,Serialize dataclasses,Serialize dataclasses,Serialize Dataclasses as maps,,Serialize Dataclasses as maps,1,0,Serialize Dataclasses as maps,,Serialize Dataclasses as maps,,"serialize dataclasses with attribute
serialize dataclasses as maps","serialize dataclasses with attribute
serialize dataclasses as maps",1,1,,0,,2,1,2,1,">>> import dataclasses, orjson, typing

@dataclasses.dataclass
class Member:
    id: int
    active: bool = dataclasses.field(default=False)

@dataclasses.dataclass
class Object:
    id: int
    name: str
    members: typing.List[Member]

>>> orjson.dumps(Object(1, ""a"", [Member(1, True), Member(2)]))
b'{""id"":1,""name"":""a"",""members"":[{""id"":1,""active"":true},{""id"":2,""active"":false}]}'
",No paragraph linked,
"Users may wish to control how dataclass instances are serialized, e.g., to not serialize an attribute or to change the name of an attribute when serialized. orjson may implement support using the metadata mapping on field attributes, e.g., field(metadata={json_serialize: False}), if use cases are clear.",Control how dataclass instances are serialized,Control dataclass instance serialization ,Control dataclass instance serialization ,Control dataclass instance serialization ,"Do not serialize attribute
Change attribute name when serialized","Do not serialize attribute
Change attribute name when serialized","Control dataclass instance serialization 
Do not serialize attribute
Change attribute name when serialized",0,1,"Control dataclass instance serialization 
Change attribute name when serialized","Control dataclass instance serialization 
Do not serialize attribute
Change attribute name when serialized","Control dataclass instance serialization 
Change attribute name when serialized",,,,2,2,0,0,0,0,0,0,0,,,
"orjson serializes datetime.datetime objects to RFC 3339 format, e.g., 1970-01-01T00:00:00+00:00. This is a subset of ISO 8601 and compatible with isoformat() in the standard library.",,,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,">>> import orjson, datetime, zoneinfo
>>> orjson.dumps(
    datetime.datetime(2018, 12, 1, 2, 3, 4, 9, tzinfo=zoneinfo.ZoneInfo('Australia/Adelaide'))
)
b'""2018-12-01T02:03:04.000009+10:30""'
>>> orjson.dumps(
    datetime.datetime.fromtimestamp(4123518902).replace(tzinfo=datetime.timezone.utc)
)
b'""2100-09-01T21:55:02+00:00""'
>>> orjson.dumps(
    datetime.datetime.fromtimestamp(4123518902)
)
b'""2100-09-01T21:55:02""'",No paragraph linked,
"datetime.datetime supports instances with a tzinfo that is None, datetime.timezone.utc, a timezone instance from the python3.9+ zoneinfo module, or a timezone instance from the third-party pendulum, pytz, or dateutil/arrow libraries.",,,,,,,,1,,,,,support instances with tzinfo,support instances with tzinfo,,0,0,0,1,0,1,0,0,0,,,
datetime.time objects must not have a tzinfo.,,,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,">>> import orjson, datetime
>>> orjson.dumps(datetime.time(12, 0, 15, 290))
b'""12:00:15.000290""'","datetime.datetime supports instances with a tzinfo that is None,
datetime.timezone.utc, a timezone instance from the python3.9+ zoneinfo
module, or a timezone instance from the third-party pendulum, pytz, or
dateutil/arrow libraries.",
datetime.date objects will always serialize.,,,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,">>> import orjson, datetime
>>> orjson.dumps(datetime.date(1900, 1, 2))
b'""1900-01-02""'","datetime.datetime supports instances with a tzinfo that is None,
datetime.timezone.utc, a timezone instance from the python3.9+ zoneinfo
module, or a timezone instance from the third-party pendulum, pytz, or
dateutil/arrow libraries.",
Errors with tzinfo result in JSONEncodeError being raised.,,,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,,,
"It is faster to have orjson serialize datetime objects than to do so before calling dumps(). If using an unsupported type such as pendulum.datetime, use default.",,,,,,,,1,,,,,"call dumps()
use unsupported type such_as pendulum.datetime
use default","call dumps()
use unsupported type such_as pendulum.datetime
use default",call dumps(),0,0,0,3,0,3,0,1,0,,,
To disable serialization of datetime objects specify the option orjson.OPT_PASSTHROUGH_DATETIME.,Disable serialization of datetime objects,"Specify option orjson.OPT_PASSTHROUGH_DATETIME
Disable serialization of datetime objects ",Disable serialization of datetime objects ,,Disable serialization of datetime objects,Disable serialization of datetime objects,"Specify option orjson.OPT_PASSTHROUGH_DATETIME
Disable serialization of datetime objects ",0,1,"Specify option orjson.OPT_PASSTHROUGH_DATETIME
Disable serialization of datetime objects ",Disable serialization of datetime objects,Disable serialization of datetime objects,specify option orjson.OPT_PASSTHROUGH_DATETIME,specify option orjson.OPT_PASSTHROUGH_DATETIME,specify option orjson.OPT_PASSTHROUGH_DATETIME,2,1,1,1,0,1,0,1,0,,,
"To use Z suffix instead of +00:00 to indicate UTC (Zulu) time, use the option orjson.OPT_UTC_Z.",Use Z suffix instead of +00:00,"Use option orjson.OPT_UTC_Z
Use Z suffix instead of +00:00",Use Z suffix instead of +00:00,Use Z suffix instead of +00:00,Use Z suffix for UTC (Zulu) time,Use Z suffix for UTC (Zulu) time,"Use option orjson.OPT_UTC_Z
Use Z suffix instead of +00:00",0,1,"Use option orjson.OPT_UTC_Z
Use Z suffix instead of +00:00",Use Z suffix to indicate UTC,Use Z suffix instead of +00:00,,,,2,1,0,0,0,0,0,0,0,,,
"To assume datetimes without timezone are UTC, se the option orjson.OPT_NAIVE_UTC.",Assume datetimes without timezone as UTC,Use option orjson.OPT_NAIVE_UTC,,,Assume datetimes without timezone are UTC,,Assume datetimes without timezone are UTC,0,1,Assume datetimes without timezone are UTC,Assume datetimes without timezone are UTC,Assume datetimes without timezone are UTC,,,,1,1,0,0,0,0,0,0,0,,,
orjson serializes enums natively. Options apply to their values.,,,,,Serialize enums natively,,Serialize enums natively,0,1,Serialize enums natively,,Serialize enums natively,apply  to values,,,1,1,0,1,0,0,0,0,0,">>> import enum, datetime, orjson
>>>
class DatetimeEnum(enum.Enum):
    EPOCH = datetime.datetime(1970, 1, 1, 0, 0, 0)
>>> orjson.dumps(DatetimeEnum.EPOCH)
b'""1970-01-01T00:00:00""'
>>> orjson.dumps(DatetimeEnum.EPOCH, option=orjson.OPT_NAIVE_UTC)
b'""1970-01-01T00:00:00+00:00""'",,
Enums with members that are not supported types can be serialized using default:,,,,,,,,1,,,,,use default,"use default
serialize types",serialize types,0,0,0,1,0,2,0,1,0,">>> import enum, orjson
>>>
class Custom:
    def __init__(self, val):
        self.val = val

def default(obj):
    if isinstance(obj, Custom):
        return obj.val
    raise TypeError

class CustomEnum(enum.Enum):
    ONE = Custom(1)

>>> orjson.dumps(CustomEnum.ONE, default=default)
b'1'",,
"orjson serializes and deserializes double precision floats with no loss of precision and consistent rounding. The same behavior is observed in rapidjson, simplejson, and json. ujson 1.35 was inaccurate in both serialization and deserialization, i.e., it modifies the data, and the recent 2.0 release is accurate.",,,,,,,,1,,,,,modify data,modify data,modify data,0,0,0,1,0,1,0,1,0,,,
"orjson.dumps() serializes Nan, Infinity, and -Infinity, which are not compliant JSON, as null:","Serialize Nan, Infinity and -Infinity","Serialize Nan
Serialize infinity
Serialize -Infinity","Serialize Nan
Serialize infinity
Serialize -Infinity","Serialize Nan
Serialize infinity
Serialize -Infinity",,,"Serialize Nan
Serialize infinity
Serialize -Infinity",1,,"Serialize Nan
Serialize infinity
Serialize -Infinity","Serialize Nan
Serialize infinity
Serialize -Infinity",,,,,3,0,0,0,0,0,0,0,0,">>> import orjson, ujson, rapidjson, json
>>> orjson.dumps([float(""NaN""), float(""Infinity""), float(""-Infinity"")])
b'[null,null,null]'
>>> ujson.dumps([float(""NaN""), float(""Infinity""), float(""-Infinity"")])
OverflowError: Invalid Inf value when encoding double
>>> rapidjson.dumps([float(""NaN""), float(""Infinity""), float(""-Infinity"")])
'[NaN,Infinity,-Infinity]'
>>> json.dumps([float(""NaN""), float(""Infinity""), float(""-Infinity"")])
'[NaN, Infinity, -Infinity]'","orjson serializes and deserializes double precision floats with no loss of
precision and consistent rounding. The same behavior is observed in rapidjson,
simplejson, and json. ujson 1.35 was inaccurate in both serialization and
deserialization, i.e., it modifies the data, and the recent 2.0 release is
accurate.",
"orjson serializes and deserializes 64-bit integers by default. The range supported is a signed 64-bit integer's minimum (-9223372036854775807) to an unsigned 64-bit integer's maximum (18446744073709551615). This is widely compatible, but there are implementations that only support 53-bits for integers, e.g., web browsers. For those implementations, dumps() can be configured to raise a JSONEncodeError on values exceeding the 53-bit range.",,,,,"Serialize 64-bit integers
Deserialize 64-bit integers",,"Serialize 64-bit integers
Deserialize 64-bit integers",0,1,"Serialize 64-bit integers
Deserialize 64-bit integers",, ,"support 53-bits web browsers
support implementations
raise JSONEncodeError on values
configure dumps() for implementations","serialize 64-bit integers by default
deserialize 64-bit integers by default
support 53-bits web browsers
support implementations
raise JSONEncodeError on values
configure dumps() for implementations","serialize 64-bit integers by default
deserialize 64-bit integers by default
configure dumps() for implementations",2,1,0,4,0,6,0,3,0,">>> import orjson
>>> orjson.dumps(9007199254740992)
b'9007199254740992'
>>> orjson.dumps(9007199254740992, option=orjson.OPT_STRICT_INTEGER)
JSONEncodeError: Integer exceeds 53-bit range
>>> orjson.dumps(-9007199254740992, option=orjson.OPT_STRICT_INTEGER)
JSONEncodeError: Integer exceeds 53-bit range",,
"orjson natively serializes numpy.ndarray and individual numpy.float64, numpy.float32, numpy.int64, numpy.int32, numpy.int8, numpy.uint64, numpy.uint32, numpy.uint8, numpy.uintp, or numpy.intp, and numpy.datetime64 instances.",,,,,"Serialize numpy.ndarray
Serialize individual numpy.float64
Serialize numpy.float32
Serialize numpy.int64
Serialize numpy.int32
Serialize numpy.int8
Serialize numpy.uint64
Serialize numpy.uint32
Serialize numpy.uint8
Serialize numpy.uintp
Serialize numpy.intp
Serialize numpy.datetime64 instances",,"Serialize numpy.ndarray
Serialize individual numpy.float64
Serialize numpy.float32
Serialize numpy.int64
Serialize numpy.int32
Serialize numpy.int8
Serialize numpy.uint64
Serialize numpy.uint32
Serialize numpy.uint8
Serialize numpy.uintp
Serialize numpy.intp
Serialize numpy.datetime64 instances",0,1,"Serialize numpy.ndarray
Serialize individual numpy.float64
Serialize numpy.float32
Serialize numpy.int64
Serialize numpy.int32
Serialize numpy.int8
Serialize numpy.uint64
Serialize numpy.uint32
Serialize numpy.uint8
Serialize numpy.uintp
Serialize numpy.intp
Serialize numpy.datetime64 instances",,"Serialize numpy.ndarray
Serialize individual numpy.float64
Serialize numpy.float32
Serialize numpy.int64
Serialize numpy.int32
Serialize numpy.int8
Serialize numpy.uint64
Serialize numpy.uint32
Serialize numpy.uint8
Serialize numpy.uintp
Serialize numpy.intp
Serialize numpy.datetime64 instances",,"serialize numpy.ndarray individual numpy.float64
serialize numpy.float32 numpy.uintp
serialize numpy.intp
serialize numpy.datetime64 instances","serialize numpy.ndarray individual numpy.float64
serialize numpy.float32 numpy.uintp
serialize numpy.intp
serialize numpy.datetime64 instances",12,12,0,0,,4,4,4,4,,,
orjson is faster than all compared libraries at serializing numpy instances. Serializing numpy data requires specifying option=orjson.OPT_SERIALIZE_NUMPY.,,,,,,,,1,,,,,"compare libraries at serializing
compare orjson at serializing",serialize numpy instances,serialize numpy instances,0,0,0,2,0,1,0,1,0,">>> import orjson, numpy
>>> orjson.dumps(
        numpy.array([[1, 2, 3], [4, 5, 6]]),
        option=orjson.OPT_SERIALIZE_NUMPY,
)
b'[[1,2,3],[4,5,6]]'",,
The array must be a contiguous C array (C_CONTIGUOUS) and one of the supported datatypes.,,,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,,,
numpy.datetime64 instances are serialized as RFC 3339 strings and datetime options affect them.,,,,,,,,1,,,,,,serialize numpy.datetime64 instances as RFC,serialize numpy.datetime64 instances as RFC,0,0,,0,,1,0,1,0,">>> import orjson, numpy
>>> orjson.dumps(
        numpy.datetime64(""2021-01-01T00:00:00.172""),
        option=orjson.OPT_SERIALIZE_NUMPY,
)
b'""2021-01-01T00:00:00.172000""'
>>> orjson.dumps(
        numpy.datetime64(""2021-01-01T00:00:00.172""),
        option=(
            orjson.OPT_SERIALIZE_NUMPY |
            orjson.OPT_NAIVE_UTC |
            orjson.OPT_OMIT_MICROSECONDS
        ),
)
b'""2021-01-01T00:00:00+00:00""'",orjson is faster than all compared libraries at serializing numpy instances. Serializing numpy data requires specifying option=orjson.OPT_SERIALIZE_NUMPY.,
"If an array is not a contiguous C array, contains an supported datatype, or contains a numpy.datetime64 using an unsupported representation (e.g., picoseconds), orjson falls through to default. In default, obj.tolist() can be specified. If an array is malformed, which is not expected, orjson.JSONEncodeError is raised.",,,,,,,,1,,,,,"use unsupported representation
specify obj.tolist() in default
raise orjson.JSONEncodeError","use unsupported representation
specify obj.tolist() in default
raise orjson.JSONEncodeError",specify obj.tolist() in default,0,0,0,3,0,3,0,1,0,,,
"This measures serializing 92MiB of JSON from an numpy.ndarray with dimensions of (50000, 100) and numpy.float64 values:",Measures serializing JSON from an numpy.ndarray,Serialize numpy.ndarray,Serialize numpy.ndarray,Serialize numpy.ndarray,,,Serialize numpy.ndarray,1,,Serialize numpy.ndarray,,Serialize numpy.ndarray,,"serialize 92MiB of JSON
serialize 92MiB from numpy.ndarray","serialize 92MiB of JSON
serialize 92MiB from numpy.ndarray",1,1,0,0,0,2,1,2,1,,,
"This measures serializing 100MiB of JSON from an numpy.ndarray with dimensions of (100000, 100) and numpy.int32 values:",Measures serializing JSON from an numpy.ndarray,Serialize numpy.ndarray,Serialize numpy.ndarray,Serialize numpy.ndarray,,,Serialize numpy.ndarray,1,,Serialize numpy.ndarray,,Serialize numpy.ndarray,,"serialize 100MiB of JSON
serialize 100MiB from numpy.ndarray","serialize 100MiB of JSON
serialize 100MiB from numpy.ndarray",1,1,0,0,0,2,1,2,1,,,
"This measures serializing 105MiB of JSON from an numpy.ndarray with dimensions of (100000, 200) and numpy.bool values:",Measures serializing JSON from an numpy.ndarray,Serialize numpy.ndarray,Serialize numpy.ndarray,Serialize numpy.ndarray,,,Serialize numpy.ndarray,1,,Serialize numpy.ndarray,,Serialize numpy.ndarray,,"serialize 105MiB of JSON
serialize 105MiB from numpy.ndarray","serialize 105MiB of JSON
serialize 105MiB from numpy.ndarray",1,1,0,0,0,2,1,2,1,,,
"In these benchmarks, orjson serializes natively, ujson is blank because it does not support a default parameter, and the other libraries serialize ndarray.tolist() via default. The RSS column measures peak memory usage during serialization. This can be reproduced using the pynumpy script.",,,,,,,,1,,,,,use pynumpy script,"serialize ndarray.tolist() via default
use pynumpy script",serialize ndarray.tolist() via default,0,0,0,1,0,2,0,1,0,,,
"orjson does not have an installation or compilation dependency on numpy. The implementation is independent, reading numpy.ndarray using PyArrayInterface.",,,,,,,,1,,,,,use PyArrayInterface,use PyArrayInterface,,0,0,0,1,0,1,0,0,0,,,
"orjson is strict about UTF-8 conformance. This is stricter than the standard library's json module, which will serialize and deserialize UTF-16 surrogates, e.g., \ud800, that are invalid UTF-8.",,,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,,,
"If orjson.dumps() is given a str that does not contain valid UTF-8, orjson.JSONEncodeError is raised. If loads() receives invalid UTF-8, orjson.JSONDecodeError is raised.",,,,,,,,1,,,,,"raise orjson.JSONEncodeError
raise orjson.JSONDecodeError","raise orjson.JSONEncodeError
raise orjson.JSONDecodeError",,0,0,0,2,0,2,0,0,0,,,
orjson and rapidjson are the only compared JSON libraries to consistently error on bad input.,,,,,,,,1,,,,,,,,0,0,,0,,0,0,0,0,">>> import orjson, ujson, rapidjson, json
>>> orjson.dumps('\ud800')
JSONEncodeError: str is not valid UTF-8: surrogates not allowed
>>> ujson.dumps('\ud800')
UnicodeEncodeError: 'utf-8' codec ...
>>> rapidjson.dumps('\ud800')
UnicodeEncodeError: 'utf-8' codec ...
>>> json.dumps('\ud800')
'""\\ud800""'
>>> orjson.loads('""\\ud800""')
JSONDecodeError: unexpected end of hex escape at line 1 column 8: line 1 column 1 (char 0)
>>> ujson.loads('""\\ud800""')
''
>>> rapidjson.loads('""\\ud800""')
ValueError: Parse error at offset 1: The surrogate pair in string is invalid.
>>> json.loads('""\\ud800""')
'\ud800'","If orjson.dumps() is given a str that does not contain valid UTF-8,
orjson.JSONEncodeError is raised. If loads() receives invalid UTF-8,
orjson.JSONDecodeError is raised.",
"To make a best effort at deserializing bad input, first decode bytes using the replace or lossy argument for errors:",Deserialize bad input,Deserialize input,Deserialize input,Deserialize input,Deserialize bad input,Deserialize bad input,Deserialize bad input,1,0,Deserialize bad input,Deserialize bad input,Deserialize bad input,use replace lossy argument for errors,"deserialize bad input
use replace lossy argument for errors",deserialize bad input,1,1,0,1,0,2,1,1,1,">>> import orjson
>>> orjson.loads(b'""\xed\xa0\x80""')
JSONDecodeError: str is not valid UTF-8: surrogates not allowed
>>> orjson.loads(b'""\xed\xa0\x80""'.decode(""utf-8"", ""replace""))
'���'",,
"orjson serializes uuid.UUID instances to RFC 4122 format, e.g., ""f81d4fae-7dec-11d0-a765-00a0c91e6bf6"".",,,,,,,,1,,,,,,serialize uuid.UUID instances to RFC,serialize uuid.UUID instances to RFC,0,0,,1,0,1,0,1,0,">>> import orjson, uuid
>>> orjson.dumps(uuid.UUID('f81d4fae-7dec-11d0-a765-00a0c91e6bf6'))
b'""f81d4fae-7dec-11d0-a765-00a0c91e6bf6""'
>>> orjson.dumps(uuid.uuid5(uuid.NAMESPACE_DNS, ""python.org""))
b'""886313e1-3b8a-5372-9b90-0c9aee199e5d""'",No paragraph linked,
