Paragraph,Tasks (Old),Henry's mechanical tasks,Henry's library tasks,Henry's library tasks (updated),Sarah's mechanical tasks,Sarah's library tasks,Sarah's library tasks (updated),Conflict,Resolved mechanical tasks,Resolved library tasks,Program,Updated program,,,,,
kwargs – additional arguments to pass to the training methods,,,,,,,,,,,pass  to training methods,pass  to training methods,,,,,
"Supervised training maximising the joint probability of the symbol and state sequences. This is done via collecting frequencies of transitions between states, symbol observations while within each state and which states start a sentence. These frequency distributions are then normalised into probability estimates, which can be smoothed if desired.",,,,,,Train supervised,,1,,,,,,,,,
the trained model,,,,,,,,,,,,,,,,,
HiddenMarkovModelTagger,,,,,,,,,,,,,,,,,
"labelled_sequences (list) – the training data, a set of labelled sequences of observations",Get labelled sequence of observations,,,,,,,,,,,,,,,,
estimator – a function taking a FreqDist and a number of bins and returning a CProbDistI; otherwise a MLE estimate is used,Estimate the CProbDistl,"Return CProbDistl
Use MLE estimate",,,,,,1,,,"return cprobdisti
use MLE estimate",return cprobdisti,,,,,
"Trains the HMM using the Baum-Welch algorithm to maximise the probability of the data sequence. This is a variant of the EM algorithm, and is unsupervised in that it doesn’t need the state sequences for the symbols. The code is based on ‘A Tutorial on Hidden Markov Models and Selected Applications in Speech Recognition’, Lawrence Rabiner, IEEE, 1989.",Train HMM using Baum-Welch algorithm,Use Baum-Welch algorithm,Use Baum-Welch algorithm,Use Baum-Welch algorithm,"Train HMM using Baum-Welch algorithm
Maximize the probability of the data sequence","Train HMM using Baum-Welch algorithm
Maximize the probabiliyof the data sequence",Train HMM using Baum-Welch algorithm,1,,,use baum-welch algorithm,,,,,,
the trained model,,,,,,,,,,,,,,,,,
HiddenMarkovModelTagger,,,,,,,,,,,,,,,,,
"unlabeled_sequences (list) – the training data, a set of sequences of observations",Get training data of set of sequences of observations,,,,,,,,,,,,,,,,
kwargs may include following parameters:,,,,,,,,,,,include following parameters,include following parameters,,,,,
model – a HiddenMarkovModelTagger instance used to begin the Baum-Welch algorithm,,,,,Begin the Baum-Welch algorithm,,Begin the Baum-Welch algorithm,1,,,,,,,,,
max_iterations – the maximum number of EM iterations,,,,,,,,,,,,,,,,,
convergence_logprob – the maximum change in log probability to allow convergence,,,,,,,,,,,,,,,,,
A module for interfacing with the HunPos open-source POS-tagger.,,,,,,,,,,,,,,,,,
Bases: nltk.tag.api.TaggerI,,,,,,,,,,,,,,,,,
a model trained on training data,,,,,Train model on training data,,Train model on training data,1,,,,,,,,,
(optionally) the path to the hunpos-tag binary,,,,,,,,,,,,,,,,,
(optionally) the encoding of the training data (default: ISO-8859-1),,,,,,,,,,,,,,,,,
Example:,,,,,,,,,,,,,,,,,
"This class communicates with the hunpos-tag binary via pipes. When the tagger object is no longer needed, the close() method should be called to free system resources. The class supports the context manager interface; if used in a with statement, the close() method is invoked automatically:",,,,,Communicate with the hunpos-tag binary via pipes,,,,,,"call close() method to free system resources
support context manager interface","call close() method to free system resources
support context manager interface",,,,,
Closes the pipe to the hunpos executable.,Close pipe to hunpos executable,Close pipe ,,,Close the pipe to the hunpos executable,,,1,,,,,,,,,
Tags a single sentence: a list of words. The tokens should not contain any newline characters.,Tag a single sentence,Tag sentence,Tag sentence,Tag sentence,Tag a single sentence,Tag a single sentence,Tag a single sentence,1,,,,,,,,,
"Interface for converting POS tags from various treebanks to the universal tagset of Petrov, Das, & McDonald.",,,,,,,,,,,"convert POS tags from various treebanks
convert POS tags to universal tagset","convert POS tags from various treebanks
convert POS tags to universal tagset",,,,,
The tagset consists of the following 12 coarse tags:,,,,,,,,,,,,,,,,,
"VERB - verbs (all tenses and modes) NOUN - nouns (common and proper) PRON - pronouns ADJ - adjectives ADV - adverbs ADP - adpositions (prepositions and postpositions) CONJ - conjunctions DET - determiners NUM - cardinal numbers PRT - particles or other function words X - other: foreign words, typos, abbreviations . - punctuation",,,,,,,,,,,,,,,,,
@see: http://arxiv.org/abs/1104.2086 and http://code.google.com/p/universal-pos-tags/,,,,,,,,,,,,,,,,,
Maps the tag from the source tagset to the target tagset.,Map tag from source to target,,,,Map the tag from the source tagset to the target tagset,Map the tag from the source tagset to the target tagset,,1,,,,,,,,,
Retrieve the mapping dictionary between tagsets.,Get mapping dictionary between tagsets,Retrieve mapping dictionary between tagsets,,,Retrieve the mapping dictionary between tagsets,Retrieve the mapping dictionary between tagsets,,1,,,retrieve mapping dictionary between tagsets,retrieve mapping dictionary between tagsets,,,,,
Bases: object,,,,,,,,,,,,,,,,,
"An averaged perceptron, as implemented by Matthew Honnibal.",,,,,,,,,,,implement  by Matthew honnibal,implement  by Matthew honnibal,,,,,
https://explosion.ai/blog/part-of-speech-pos-tagger-in-python,,,,,,,,,,,,,,,,,
Average weights from all iterations.,,,,,,,,,,,,,,,,,
Load the pickled model weights.,Load pickled model weights,Pickle model weights,,,Load the pickled model weights,,Load the pickled model weights,1,,,,,,,,,
Dot-product the features and current weights and return the best label.,Dot-product the features and current weights,Return best label,,,Dot-product the features and current weights,,,1,,,return best label,return best label,,,,,
Save the pickled model weights.,Save pickled model weights,Save pickled model weights,Save pickled model weights,Save pickled model weights,Save the picked model weights,,,1,,,save pickled model weights,save pickled model weights,,,,,
Update the feature weights.,,,,,Update the feature weights,,Update the feature weights,1,,,update feature weights,update feature weights,,,,,
Bases: nltk.tag.api.TaggerI,,,,,,,,,,,,,,,,,
"Greedy Averaged Perceptron tagger, as implemented by Matthew Honnibal. See more implementation details here:",,,,,,,,,,,implement  by Matthew honnibal,implement  by Matthew honnibal,,,,,
https://explosion.ai/blog/part-of-speech-pos-tagger-in-python,,,,,,,,,,,,,,,,,
Train the model,Train the model,Train model,Train model,Train model,Train the model,,Train the model,1,,,,,,,,,
Use the pretrain model (the default constructor),Use pretrained model,Use pretrain model,Use pretrain model,Use pretrain model,,,,1,,,use pretrain model,,,,,,
loc (str) – Load a pickled model at location.,Load a pickled model,Pickle model,,,Load a pickled model at location,,,1,,,,,,,,,
Normalization used in pre-processing. - All words are lower cased - Groups of digits of length 4 are represented as !YEAR; - Other digits are represented as !DIGITS,,,,,,,,,,,use  in pre-processing,,,,,,
str,,,,,,,,,,,,,,,,,
Tag tokenized sentences. :params tokens: list of word :type tokens: list(str),,,,,Tag tokenized sentences,Tag tokenized sentences,Tag tokenized sentences,1,,,,,,,,,
"Train a model from sentences, and save it at save_loc. nr_iter controls the number of Perceptron training iterations.",Train a model and save it,Save at save_loc,,,Train a model from sentences,Train a model from sentences,Train a model from sentences,1,,,save  at save_loc,save  at save_loc,,,,,
"sentences – A list or iterator of sentences, where each sentence is a list of (words, tags) tuples.",,,,,,,,,,,,,,,,,
"save_loc – If not None, saves a pickled model in this location.",,,,,Save pickled model in this location,,,1,,,save pickled model in location,save pickled model in location,,,,,
nr_iter – Number of training iterations.,,,,,,,,,,,,,,,,,
"Senna POS tagger, NER Tagger, Chunk Tagger",,,,,,,,,,,,,,,,,
"The input is: - path to the directory that contains SENNA executables. If the path is incorrect,",,,,,,,,,,,,,,,,,
SennaTagger will automatically search for executable file specified in SENNA environment variable,,,,,Search for executable file specified in SENNA environment variable,,,1,,,"search  for executable file
specify  in SENNA environment variable",specify  in SENNA environment variable,,,,,
(optionally) the encoding of the input data (default:utf-8),,,,,,,,,,,,,,,,,
Note: Unit tests for this module can be found in test/unit/test_senna.py,,,,,,,,,,,"find unit tests in test/unit/test_senna.py
find unit tests for module","find unit tests in test/unit/test_senna.py
find unit tests for module",,,,,
Bases: nltk.classify.senna.Senna,,,,,,,,,,,,,,,,,
Extracts the chunks in a BIO chunk-tagged sentence.,Extract chunks in BIO chunk-tagged sentence,,,,Extract the chunks in the BIO chunk-tagged sentence,Extract the chunks in the BIO chunk-tagged sentence,,1,,,,,,,,,
tagged_sent (str) – A list of tuples of word and BIO chunk tag.,Get list of tuples of words and BIO chunk tag,,,,,,,,,,,,,,,,
"tagged_sent – The chunk tag that users want to extract, e.g. ‘NP’ or ‘VP’",The chunk tag to extract,Extract chunk tag,,,,,,1,,,,,,,,,
An iterable of tuples of chunks that users want to extract and their corresponding indices.,Get an iterable of tuples of chunks,"Extract chunk tuples
Extract corresponding indices",,,,,,1,,,,,,,,,
iter(tuple(str)),,,,,,,,,,,,,,,,,
"Applies the tag method over a list of sentences. This method will return for each sentence a list of tuples of (word, tag).",Apply tag method over list of sentences,"Return list of tuples
Return list for sentence",,,Apply the tag method over a list of sentences,,Apply the tag method over a list of sentences,1,,,"return list of tuples
return list for sentence","return list of tuples
return list for sentence",,,,,
Bases: nltk.classify.senna.Senna,,,,,,,,,,,,,,,,,
"Applies the tag method over a list of sentences. This method will return for each sentence a list of tuples of (word, tag).",Apply tag method over list of sentences,"Return list of types,
Return list for sentence",,,Apply the tag method over a list of sentences,,Apply the tag method over a list of sentences,1,,,"return list of tuples
return list for sentence","return list of tuples
return list for sentence",,,,,
Bases: nltk.classify.senna.Senna,,,,,,,,,,,,,,,,,
"Applies the tag method over a list of sentences. This method will return for each sentence a list of tuples of (word, tag).",Apply tag method over list of sentences,"Return list of types
Return list for sentence",,,Apply the tag method over a list of sentences,,,1,,,"return list of tuples
return list for sentence","return list of tuples
return list for sentence",,,,,
"Classes for tagging sentences sequentially, left to right. The abstract base class SequentialBackoffTagger serves as the base class for all the taggers in this module. Tagging of individual words is performed by the method choose_tag(), which is defined by subclasses of SequentialBackoffTagger. If a tagger is unable to determine a tag for the specified token, then its backoff tagger is consulted instead. Any SequentialBackoffTagger may serve as a backoff tagger for any other SequentialBackoffTagger.",,,,,"Tag sentences sequentially, left to right","Tag sentences sequentially, left to right","Tag sentences sequentially, left to right",1,,,,,,,,,
Bases: nltk.tag.sequential.ContextTagger,,,,,,,,,,,,,,,,,
"A tagger that chooses a token’s tag based on a leading or trailing substring of its word string. (It is important to note that these substrings are not necessarily “true” morphological affixes). In particular, a fixed-length substring of the word is looked up in a table, and the corresponding tag is returned. Affix taggers are typically constructed by training them on a tagged corpus.",,,,,Choose a token's tag,,,,,,,,,,,,
Construct a new affix tagger.,Make new affix tagger,Construct affix tagger,Construct affix tagger,Construct affix tagger,Construct a new affix tagger.,,,1,,,,,,,,,
affix_length – The length of the affixes that should be considered during training and tagging. Use negative numbers for suffixes.,Get length of affixes considered during training and tagging,Use negative numbers for suffixes,,,Consider length of the affixes during training and tagging,,,1,,,,,,,,,
min_stem_length – Any words whose length is less than min_stem_length+abs(affix_length) will be assigned a tag of None by this tagger.,Define minimum stem length,"Assign tag of None, Assign min_stem_length+abs(affix_length) of None",,,,,,1,,,"assign tag of None
assign min_stem_length + abs(affix_length) of None","assign tag of None
assign min_stem_length + abs(affix_length) of None",,,,,
the context that should be used to look up the tag for the specified token; or None if the specified token should not be handled by this tagger.,Define context to use when looking at tag for specified token,,,,,,,,,,,,,,,,
(hashable),,,,,,,,,,,,,,,,,
Bases: nltk.tag.sequential.NgramTagger,,,,,,,,,,,,,,,,,
"A tagger that chooses a token’s tag based its word string and on the preceding words’ tag. In particular, a tuple consisting of the previous tag and the word is looked up in a table, and the corresponding tag is returned.",,,,,Choose a token's tag,,,1,,,,,,,,,
"train (list(list(tuple(str, str)))) – The corpus of training data, a list of tagged sentences",Train on training data,,,,,,,,,,,,,,,,
model (dict) – The tagger model,Get the tagger model,,,,,,,,,,,,,,,,
backoff (TaggerI) – Another tagger which this tagger will consult when it is unable to tag a word,Specify a backoff tagger,,,,,,,,,,,,,,,,
cutoff (int) – The number of instances of training data the tagger must see in order not to use the backoff tagger,Specify number of instances the tagger must see to not use backoff tagger,Use backoff tagger,,,,,,1,,,,,,,,,
Bases: nltk.tag.sequential.ClassifierBasedTagger,,,,,,,,,,,,,,,,,
A classifier based part of speech tagger.,,,,,,,,,,,,,,,,,
Return the feature detector that this tagger uses to generate featuresets for its classifier. The feature detector is a function with the signature:,Get the feature detector for this tagger,"Return feature detector
Generate futuresets for classifier ",,,Return the feature detector that this tagger uses,,,1,,,,,,,,,
See classifier(),,,,,,,,,,,,,,,,,
"Bases: nltk.tag.sequential.SequentialBackoffTagger, nltk.tag.api.FeaturesetTaggerI",,,,,,,,,,,,,,,,,
A sequential tagger that uses a classifier to choose the tag for each token in a sentence. The featureset input for the classifier is generated by a feature detector function:,,,,,Choose the tag for each token in a sentence,,Choose the tag for each token in a sentence,1,,,,,,,,,
Where tokens is the list of unlabeled tokens in the sentence; index is the index of the token for which feature detection should be performed; and history is list of the tags for all tokens before index.,,,,,,,,,,,"perform detection of tags
perform index of tags
perform list of tags","perform detection of tags
perform index of tags
perform list of tags",,,,,
Construct a new classifier-based sequential tagger.,,,,,Construct a new classifier-based sequential tagger,Construct a new classifier-based sequential tagger,Construct a new classifier-based sequential tagger,1,,,,,,,,,
"feature_detector – A function used to generate the featureset input for the classifier:: feature_detector(tokens, index, history) -> featureset",Generate featureset input for classifier,Generate featureset input for classifier,,,Generate the featureset input for the classified,,,1,,,generate featureset input for classifier,generate featureset input for classifier,,,,,
"train – A tagged corpus consisting of a list of tagged sentences, where each sentence is a list of (word, tag) tuples.",Train tagger on tagged sentences,,,,,,,,,,,,,,,,
"backoff – A backoff tagger, to be used by the new tagger if it encounters an unknown context.",Specify backoff tagger,,,,,,,,,,,,,,,,
"classifier_builder – A function used to train a new classifier based on the data in train. It should take one argument, a list of labeled featuresets (i.e., (featureset, label) tuples).",Function to train a new classifier based on old training data,Train classifier,Train classifier,Train classifier,Train a new classifier based on the data in train,Train a new classifier based on the data in train,Train a new classifier based on the data in train,0,,,,,,,,,
"classifier – The classifier that should be used by the tagger. This is only useful if you want to manually construct the classifier; normally, you would use train instead.",Specify classifier that should be used by the tagger,"Use classifier
Use train",,,Manually construct the classiefier,,Manually construct the classiefier,1,,,,,,,,,
"backoff – A backoff tagger, used if this tagger is unable to determine a tag for a given token.",Specify a backoff tagger,Determine tag for given token,,,,,,1,,,determine tag for given token,determine tag for given token,,,,,
"cutoff_prob – If specified, then this tagger will fall back on its backoff tagger if the probability of the most likely tag is less than cutoff_prob.",Specify a cutoff probability where the backoff tagger will be used,,,,,,,,,,,,,,,,
"Decide which tag should be used for the specified token, and return that tag. If this tagger is unable to determine a tag for the specified token, return None – do not consult the backoff tagger. This method should be overridden by subclasses of SequentialBackoffTagger.",,,,,Decide which tag should be used for the specified token,,,1,,,,,,,,,
str,,,,,,,,,,,,,,,,,
tokens (list) – The list of words that are being tagged.,Get list of tagged words,,,,,,,,,,,,,,,,
index (int) – The index of the word whose tag should be returned.,Get index of word whose tag should be returned,"Return index
Return word",,,,,,1,,,"return tag
return word","return tag
return word",,,,,
history (list(str)) – A list of the tags for all words before index.,list of tags for all words before index,,,,,,,,,,,,,,,,
Return the classifier that this tagger uses to choose a tag for each word in a sentence. The input for this classifier is generated using this tagger’s feature detector. See feature_detector(),Get classifier for the tagger,"Return classifier
Choose tag for word
Use feature detector
Generate input for classifier",,,Return the classifier that this tagger uses,,,1,,,,,,,,,
Return the feature detector that this tagger uses to generate featuresets for its classifier. The feature detector is a function with the signature:,Get feature detector that the tagger uses,"Return classifier
Generate featuresets for classifier",,,Return the classifier that this tagger uses,,,1,,,,,,,,,
See classifier(),,,,,,,,,,,,,,,,,
Bases: nltk.tag.sequential.SequentialBackoffTagger,,,,,,,,,,,,,,,,,
An abstract base class for sequential backoff taggers that choose a tag for a token based on the value of its “context”. Different subclasses are used to define different contexts.,,,,,Choose a tag for a token based on its value,,,1,,,,,,,,,
"A ContextTagger chooses the tag for a token by calculating the token’s context, and looking up the corresponding tag in a table. This table can be constructed manually; or it can be automatically constructed based on a training corpus, using the _train() factory method.",,,,,"Choose the tag for a token by calculating the token's context, and looking up the corresponding tag in a table",,,1,,,"choose tag by looking
choose tag by calculating
calculate context
use _ train() factory method","choose tag by looking
choose tag by calculating
calculate context",,,,,
_context_to_tag – Dictionary mapping contexts to tags.,,,,,,,,,,,,,,,,,
"Decide which tag should be used for the specified token, and return that tag. If this tagger is unable to determine a tag for the specified token, return None – do not consult the backoff tagger. This method should be overridden by subclasses of SequentialBackoffTagger.",,,,,Decide which tag should be used for the specified token,,,,,,,,,,,,
str,,,,,,,,,,,,,,,,,
tokens (list) – The list of words that are being tagged.,Get list of tagged words,,,,,,,,,,,,,,,,
index (int) – The index of the word whose tag should be returned.,Get index of word whose tag should be returned,"Return index
Return word",,,,,,1,,,"return tag
return word","return tag
return word",,,,,
history (list(str)) – A list of the tags for all words before index.,,,,,,,,,,,,,,,,,
the context that should be used to look up the tag for the specified token; or None if the specified token should not be handled by this tagger.,,,,,,,,,,,,,,,,,
(hashable),,,,,,,,,,,,,,,,,
The number of entries in the table used by this tagger to map from contexts to tags.,,,,,,,,,,,"use  by tagger
use  from contexts",,,,,,
Bases: nltk.tag.sequential.SequentialBackoffTagger,,,,,,,,,,,,,,,,,
A tagger that assigns the same tag to every token.,,,,,,,,,,,assign same tag,assign same tag,,,,,
"This tagger is recommended as a backoff tagger, in cases where a more powerful tagger is unable to assign a tag to the word (e.g. because the word was not seen during training).",,,,,,,,,,,assign tag to word,assign tag to word,,,,,
tag (str) – The tag to assign to each token,The tag to give each token,Assign tag to token,Assign tag to token,Assign tag to token,,,,1,,,,,,,,,
"Decide which tag should be used for the specified token, and return that tag. If this tagger is unable to determine a tag for the specified token, return None – do not consult the backoff tagger. This method should be overridden by subclasses of SequentialBackoffTagger.",,,,,"Decide which tag should be used for the specified token
Return that tag",,,1,,,,,,,,,
str,,,,,,,,,,,,,,,,,
tokens (list) – The list of words that are being tagged.,Get list of tagged words,,,,,,,,,,,,,,,,
index (int) – The index of the word whose tag should be returned.,Get index of word whose tag should be returned,,,,,,,,,,"return tag
return word","return tag
return word",,,,,
history (list(str)) – A list of the tags for all words before index.,list of tags for all words before index,,,,,,,,,,,,,,,,
Bases: nltk.tag.sequential.ContextTagger,,,,,,,,,,,,,,,,,
"A tagger that chooses a token’s tag based on its word string and on the preceding n word’s tags. In particular, a tuple (tags[i-n:i-1], words[i]) is looked up in a table, and the corresponding tag is returned. N-gram taggers are typically trained on a tagged corpus.",,,,,Choose a token's tag based on its word string,,,1,,,,,,,,,
"Train a new NgramTagger using the given training data or the supplied model. In particular, construct a new tagger whose table maps from each context (tag[i-n:i-1], word[i]) to the most frequent tag for that context. But exclude any contexts that are already tagged perfectly by the backoff tagger.",,,,,Train a new NgramTagger using the given training data or the supplied model,Train a new NgramTagger using the given training data or the supplied model,Train a new NgramTagger using the given training data or the supplied model,1,,,,,,,,,
"train – A tagged corpus consisting of a list of tagged sentences, where each sentence is a list of (word, tag) tuples.",Train on tagged sentences,,,,,,,,,,,,,,,,
"backoff – A backoff tagger, to be used by the new tagger if it encounters an unknown context.",Specify a backoff tagger,,,,,,,,,,,,,,,,
"cutoff – If the most likely tag for a context occurs fewer than cutoff times, then exclude it from the context-to-tag table for the new tagger.",Define a cutoff to use the backoff,Exclude from context-to-tag table,,,,,,1,,,exclude  from context-to-tag table,exclude  from context-to-tag table,,,,,
the context that should be used to look up the tag for the specified token; or None if the specified token should not be handled by this tagger.,,,,,,,,,,,,,,,,,
(hashable),,,,,,,,,,,,,,,,,
Bases: nltk.tag.sequential.SequentialBackoffTagger,,,,,,,,,,,,,,,,,
Regular Expression Tagger,,,,,,,,,,,,,,,,,
The RegexpTagger assigns tags to tokens by comparing their word strings to a series of regular expressions. The following tagger uses word suffixes to make guesses about the correct Brown Corpus part of speech tag:,,,,,Assign tags to tokens by comparing their word strings,,,1,,,,,,,,,
"regexps (list(tuple(str, str))) – A list of (regexp, tag) pairs, each of which indicates that a word matching regexp should be tagged with tag. The pairs will be evalutated in order. If none of the regexps match a word, then the optional backoff tagger is invoked, else it is assigned the tag None.",,,,,Evaluate pairs in order,,,1,,,,,,,,,
"Decide which tag should be used for the specified token, and return that tag. If this tagger is unable to determine a tag for the specified token, return None – do not consult the backoff tagger. This method should be overridden by subclasses of SequentialBackoffTagger.",,,,,"Decide which tag should be used for the specified token
Return that tag
Do not consult the backoff tagger",,,1,,,,,,,,,
str,,,,,,,,,,,,,,,,,
tokens (list) – The list of words that are being tagged.,Get list of tagged words,,,,,,,,,,,,,,,,
index (int) – The index of the word whose tag should be returned.,Get index of word whose tag should be returned,"Return index
Return word",,,,,,1,,,"return tag
return word","return tag
return word",,,,,
history (list(str)) – A list of the tags for all words before index.,list of tags for all words before index,,,,,,,,,,,,,,,,
Bases: nltk.tag.api.TaggerI,,,,,,,,,,,,,,,,,
"An abstract base class for taggers that tags words sequentially, left to right. Tagging of individual words is performed by the choose_tag() method, which should be defined by subclasses. If a tagger is unable to determine a tag for the specified token, then its backoff tagger is consulted.",,,,,"Tag words sequentually, left to right","Tag words sequentually, left to right",,1,,,,,,,,,
"_taggers – A list of all the taggers that should be tried to tag a token (i.e., self and its backoff taggers).",,,,,,,,,,,,,,,,,
The backoff tagger for this tagger.,,,,,,,,,,,,,,,,,
"Decide which tag should be used for the specified token, and return that tag. If this tagger is unable to determine a tag for the specified token, return None – do not consult the backoff tagger. This method should be overridden by subclasses of SequentialBackoffTagger.",,,,,"Decide which tag should be used for the specified token
Return that tag",,,1,,,,,,,,,
str,,,,,,,,,,,,,,,,,
tokens (list) – The list of words that are being tagged.,Get list of tagged words,,,,,,,,,,,,,,,,
index (int) – The index of the word whose tag should be returned.,Get index of word whose tag should be returned,"Return index
Return word",,,,,,1,,,"return tag
return word","return tag
return word",,,,,
history (list(str)) – A list of the tags for all words before index.,list of tags for all words before index,,,,,,,,,,,,,,,,
"Determine the most appropriate tag sequence for the given token sequence, and return a corresponding list of tagged tokens. A tagged token is encoded as a tuple (token, tag).",,,,,Determine the most appropriate tag sequence for the given token sequence,,,1,,,,,,,,,
"list(tuple(str, str))",,,,,,,,,,,,,,,,,
"Determine an appropriate tag for the specified token, and return that tag. If this tagger is unable to determine a tag for the specified token, then its backoff tagger is consulted.",,,,,Determine an appropriate tag for the specified token,,,1,,,,,,,,,
str,,,,,,,,,,,,,,,,,
tokens (list) – The list of words that are being tagged.,Get list of tagged words,,,,,,,,,,,,,,,,
index (int) – The index of the word whose tag should be returned.,Get index of word whose tag should be returned,"Return index
Return word",,,,,,1,,,"return tag
return word","return tag
return word",,,,,
history (list(str)) – A list of the tags for all words before index.,list of tags for all words before index,,,,,,,,,,,,,,,,
Bases: nltk.tag.sequential.NgramTagger,,,,,,,,,,,,,,,,,
"A tagger that chooses a token’s tag based its word string and on the preceding two words’ tags. In particular, a tuple consisting of the previous two tags and the word is looked up in a table, and the corresponding tag is returned.",,,,,Chosoe a token's tag based on its word string,,,1,,,,,,,,,
"train (list(list(tuple(str, str)))) – The corpus of training data, a list of tagged sentences",Train on tagged sentences,,,,,,,,,,,,,,,,
model (dict) – The tagger model,Get the tagger model,,,,,,,,,,,,,,,,
backoff (TaggerI) – Another tagger which this tagger will consult when it is unable to tag a word,Specify a backoff tagger,,,,Consult tagger,,,1,,,,,,,,,
cutoff (int) – The number of instances of training data the tagger must see in order not to use the backoff tagger,Define a cutoff to use the backoff,,,,,,,,,,,,,,,,
Bases: nltk.tag.sequential.NgramTagger,,,,,,,,,,,,,,,,,
Unigram Tagger,,,,,,,,,,,,,,,,,
"The UnigramTagger finds the most likely tag for each word in a training corpus, and then uses that information to assign tags to new tokens.",,Find most likely tag,,,Find most likely tag for each word in the training corpus,,,1,,,"find likely tag for word
use information
assign tags to new tokens","find likely tag for word
assign tags to new tokens",,,,,
"train (list(list(tuple(str, str)))) – The corpus of training data, a list of tagged sentences",Train on tagged sentences,,,,,,,,,,,,,,,,
model (dict) – The tagger model,Get the tagger model,,,,,,,,,,,,,,,,
backoff (TaggerI) – Another tagger which this tagger will consult when it is unable to tag a word,Specify a backoff tagger,,,,Consult tagger,,,1,,,,,,,,,
cutoff (int) – The number of instances of training data the tagger must see in order not to use the backoff tagger,Define a cutoff to use the backoff,,,,,,,,,,,,,,,,
the context that should be used to look up the tag for the specified token; or None if the specified token should not be handled by this tagger.,,,,,,,,,,,,,,,,,
(hashable),,,,,,,,,,,,,,,,,
A module for interfacing with the Stanford taggers.,,,,,Interface with the Stanford taggers,,Interface with the Stanford taggers,,,,,,,,,,
Tagger models need to be downloaded from https://nlp.stanford.edu/software and the STANFORD_MODELS environment variable set (a colon-separated list of paths).,,,,,Download tagger models,,Download tagger models,,,,"download  from https://nlp.stanford.edu/software
download  from STANFORD_MODELS environment variable set","download  from https://nlp.stanford.edu/software
download  from STANFORD_MODELS environment variable set",,,,,
For more details see the documentation for StanfordPOSTagger and StanfordNERTagger.,,,,,See the documentation,,,1,,,,,,,,,
Bases: nltk.tag.stanford.StanfordTagger,,,,,,,,,,,,,,,,,
A class for Named-Entity Tagging with Stanford Tagger. The input is the paths to:,,,,,,,,,,,,,,,,,
a model trained on training data,,,,,,,,,,,,,,,,,
"(optionally) the path to the stanford tagger jar file. If not specified here, then this jar file must be specified in the CLASSPATH envinroment variable.",,,,,,,,,,,specify jar file in CLASSPATH envinroment variable,specify jar file in CLASSPATH envinroment variable,,,,,
(optionally) the encoding of the training data (default: UTF-8),,,,,,,,,,,,,,,,,
Example:,,,,,,,,,,,,,,,,,
Bases: nltk.tag.stanford.StanfordTagger,,,,,,,,,,,,,,,,,
a model trained on training data,,,,,,,,,,,,,,,,,
"(optionally) the path to the stanford tagger jar file. If not specified here, then this jar file must be specified in the CLASSPATH envinroment variable.",,,,,Specify jar file in the CLASSPATH environment variable,,,,,,specify jar file in CLASSPATH envinroment variable,specify jar file in CLASSPATH envinroment variable,,,,,
(optionally) the encoding of the training data (default: UTF-8),,,,,,,,,,,,,,,,,
Example:,,,,,,,,,,,,,,,,,
Bases: nltk.tag.api.TaggerI,,,,,,,,,,,,,,,,,
An interface to Stanford taggers. Subclasses must define:,,,,,,,,,,,,,,,,,
_cmd property: A property that returns the command that will be executed.,,,,,,,,,,,"return command
return property
execute command","return command
return property
execute command",,,,,
_SEPARATOR: Class constant that represents that character that is used to separate the tokens from their tags.,,,,,Represent that character that is used to separate the tokens,,,1,,,"separate tokens from tags
use character",separate tokens from tags,,,,,
_JAR file: Class constant that represents the jar file name.,,,,,,,,,,,,,,,,,
"Determine the most appropriate tag sequence for the given token sequence, and return a corresponding list of tagged tokens. A tagged token is encoded as a tuple (token, tag).",,Determine tag sequence,,,Determine the most appropriate tag sequence for the given token sequence,,,1,,,,,,,,,
"list(tuple(str, str))",,,,,,,,,,,,,,,,,
Apply self.tag() to each element of sentences. I.e.:,,,,,,,,,,,,,,,,,
return [self.tag(sent) for sent in sentences],,,,,,,,,,,"return [ self.tag(sent)
send  in sentences ]","return [ self.tag(sent)
send  in sentences ]",,,,,
Implementation of ‘TnT - A Statisical Part of Speech Tagger’ by Thorsten Brants,,,,,,,,,,,,,,,,,
http://acl.ldc.upenn.edu/A/A00/A00-1031.pdf,,,,,,,,,,,,,,,,,
Bases: nltk.tag.api.TaggerI,,,,,,,,,,,,,,,,,
TnT - Statistical POS tagger,,,,,,,,,,,,,,,,,
IMPORTANT NOTES:,,,,,,,,,,,,,,,,,
DOES NOT AUTOMATICALLY DEAL WITH UNSEEN WORDS,,,,,Deal with unseen words,,Deal with unseen words,1,,,,,,,,,
"It is possible to provide an untrained POS tagger to create tags for unknown words, see __init__ function",,Create tags for unknown words,Create tags for unknown words,,Provide an untrained POS tagger to create tags for unknown words,Provide an untrained POS tagger to create tags for unknown words,,1,,,"provide untrained POS tagger
create tags for unknown words","provide untrained POS tagger
create tags for unknown words",,,,,
SHOULD BE USED WITH SENTENCE-DELIMITED INPUT,,,,,,,,,,,,,,,,,
"Due to the nature of this tagger, it works best when trained over sentence delimited input.",,,,,Train over sentence delimited input,,Train over sentence delimited input,,,,,,,,,,
