Paragraph,Tasks (Old),Henry's mechanical tasks,Henry's library tasks,Henry's library tasks (updated),Sarah's mechanical tasks,Sarah's library tasks,Sarah's library tasks (updated),Conflict,Resolved mechanical tasks,Resolved library tasks,Program,
TreeEdge and LeafEdge for a description of the left-hand side values for each edge type.,,,,,,,,,,,,
Return the element of this edge’s right-hand side that immediately follows its dot.,Get the edge right hand side that follows the dot,Return element of right-hand side,,,Return the element of this edge’s right-hand side that immediately follows its dot,,,0,,,return element of right-hand side,return element of right-hand side
Nonterminal or terminal or None,,,,,,,,,,,,
"Return this edge’s right-hand side, which specifies the content of the structure hypothesized by this edge.",Get edge right hand side,"Return right-hand side
Specify content of structure",,,Return this edge’s right-hand side,,,1,,,"return right-hand side
specify content of structure
specify right-hand side of structure","return right-hand side
specify content of structure
specify right-hand side of structure"
TreeEdge and LeafEdge for a description of the right-hand side values for each edge type.,,,,,,,,,,,,
"Return a tuple (s, e), where tokens[s:e] is the portion of the sentence that is consistent with this edge’s structure.",Get tuple of tokens that indicate consistency of edge structure,"Return tuple (s, e)",,,Return a tuple,,,1,,,return tuple,return tuple
"tuple(int, int)",,,,,,,,,,,,
Return the start index of this edge’s span.,Get start index of edge span,Return start index,Return start index,,Return the start index of this edge’s span,,,1,,,,
int,,,,,,,,,,,,
Bases: nltk.parse.chart.AbstractChartRule,,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time.",,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.ChartParser,,,,,,,,,,,,
Bases: nltk.parse.chart.FundamentalRule,,,,,,,,,,,,
"A rule that joins a given edge with adjacent edges in the chart, to form combined edges. In particular, this rule specifies that either of the edges:",,,,,Join a given edge with adjacent edges in the chart,,,1,,,,
[A -> alpha \* B beta][i:j],,,,,,,,,,,,
[B -> gamma \*][j:k],,,,,,,,,,,,
licenses the edge:,,,,,,,,,,,,
[A -> alpha B * beta][i:j],,,,,,,,,,,,
if the other edge is already in the chart.,,,,,,,,,,,,
"This is basically FundamentalRule, with one edge left unspecified.",,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,Return a generator that will add edges licensed by this rule,,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.ChartParser,,,,,,,,,,,,
"A ChartParser that allows you to step through the parsing process, adding a single edge at a time. It also allows you to change the parser’s strategy or grammar midway through parsing a text.",,"Step through parsing
Add single edge at time
Change parser strategy
Change parser grammar",,,"Step through the parsing process
Change the parser's strategy or grammar midway through parsing a text",,Change the parser's strategy or grammar midway through parsing a text,1,,,,
The initialize method is used to start parsing a text. step adds a single edge to the chart. set_strategy changes the strategy used by the chart parser. parses returns the set of parses that has been found by the chart parser.,,Start parsing text,,,Start parsing a text,,Start parsing a text,0,,,,
"_restart – Records whether the parser’s strategy, grammar, or chart has been changed. If so, then step must restart the parsing algorithm.",,"Record parser strategy
Record parser grammar
Record parser chart",,,"Record whether the parser's strategy, grammar, or chart has been changed",,,1,,,,
Return the chart that is used by this parser.,,Return chart,,,Return the chart that is used by this parser,,,0,,,,
Return the chart rule used to generate the most recent edge.,,Return chart rule,,,Return the chart rule used to generate the most recent edge,,,0,,,generate recent edge,generate recent edge
Return the grammar used by this parser.,,Return grammar,,,Return the grammar used by this parser,,,0,,,use  by parser,
Begin parsing the given tokens.,,Parse tokens,,,Begin parsing the given tokens,,Begin parsing the given tokens,0,,,,parse given tokens
An iterator that generates parse trees for the sentence.,,,,,,,,,,,generate iterator,"parse trees for sentence
generate iterator"
When possible this list is sorted from most likely to least likely.,,Sort list,,,Sort list from most likely to least likely,,,0,,,sort list,sort list
sent (list(str)) – The sentence to be parsed,,,,,,,,,,,,parse sentence
iter(Tree),,,,,,,,,,,,
Return the parse trees currently contained in the chart.,,Return parse trees,,,Return the parse trees currently contained in the chart.,,,0,,,,
Load a given chart into the chart parser.,,Load chart ,,,Load a given chart into the chart parser,,,0,,,load given chart into chart parser,
Change the grammar used by the parser.,,Change grammar,,,Change the grammar used by the parser,,Change the grammar used by the parser,0,,,use  by parser,
Change the strategy that the parser uses to decide which edges to add to the chart.,,Change strategy,,,Change the strategy that the parser uses ,,Change the strategy that the parser uses ,0,,,"change strategy
add  to chart",add  to chart
strategy (list(ChartRuleI)) – A list of rules that should be used to decide what edges to add to the chart.,,,,,Decide what edges to add to the chart,,,1,,,"add  to chart
use rules",add  to chart
"Return a generator that adds edges to the chart, one at a time. Each time the generator is resumed, it adds a single edge and yields that edge. If no more edges can be added, then it yields None.",,"Return generator
Add edges one at at time
Add new edge",,,"Return a generator that adds edges to the chart, one at a time.",,,1,,,,
"If the parser’s strategy, grammar, or chart is changed, then the generator will continue adding edges using the new strategy, grammar, or chart.",,,,,Continue adding edges,,,,,,"add edges
use new strategy
use grammar
use chart
change strategy
change chart",add edges
"Note that this generator never terminates, since the grammar or strategy might be changed to values that would add new edges. Instead, it yields None when no more edges can be added with the current strategy and grammar.",,,,,,,,,,,,
Return the strategy used by this parser.,,Return strategy,,,Return the strategy used by this parser,,,0,,,,
Bases: nltk.parse.chart.ChartParser,,,,,,,,,,,,
A ChartParser using a top-down parsing strategy. See ChartParser for more information.,,Use top-down parsing strategy,Use top-down parsing strategy,,Use a top-down parsing strategy,Use a top-down parsing strategy,Use a top-down parsing strategy,0,,,use top-down parsing strategy,
Bases: nltk.parse.chart.AbstractChartRule,,,,,,,,,,,,
"A rule licensing edges corresponding to the grammar productions for the grammar’s start symbol. In particular, this rule specifies that [S -> \* alpha][0:i] is licensed for each grammar production S -> alpha, where S is the grammar’s start symbol.",,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,Return a generator that will add edges licensed by this rule ,,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.AbstractChartRule,,,,,,,,,,,,
"A rule licensing edges corresponding to the grammar productions for the nonterminal following an incomplete edge’s dot. In particular, this rule specifies that [A -> alpha \* B beta][i:j] licenses the edge [B -> \* gamma][j:j] for each grammar production B -> gamma.",,,,,Return a generator that will add edges licensed by this rule ,,,1,,,,
This rule corresponds to the Predictor Rule in Earley parsing.,,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,Return a generator that will add edges licensed by this rule ,,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.EdgeI,,,,,,,,,,,,
An edge that records the fact that a tree is (partially) consistent with the sentence. A tree edge consists of:,,,,,Record the fact that a tree is (partially) consistent with the sentence,,Record the fact that a tree is (partially) consistent with the sentence,1,,,,
"A span, indicating what part of the sentence is consistent with the hypothesized tree.",,,,,Indicate what part of the sentence is consistent with the hypothesized tree,,Indicate what part of the sentence is consistent with the hypothesized tree,1,,,,
"A left-hand side, specifying the hypothesized tree’s node value.",,Specify tree's node value,,,Specify the hypothesized tree's ndoe value,,,0,,,specify hypothesized tree,specify hypothesized tree
"A right-hand side, specifying the hypothesized tree’s children. Each element of the right-hand side is either a terminal, specifying a token with that terminal as its leaf value; or a nonterminal, specifying a subtree with that nonterminal’s symbol as its node value.",,Specify tree's children,,,Specify the hypothesized tree's children,,,0,,,,
"A dot position, indicating which children are consistent with part of the sentence. In particular, if dot is the dot position, rhs is the right-hand size, (start,end) is the span, and sentence is the list of tokens in the sentence, then tokens[start:end] can be spanned by the children specified by rhs[:dot].",,,,,Indicate which children are consistent with part of the sentence,,,1,,,,
"For more information about edges, see the EdgeI interface.",,,,,,,,,,,,
"Return this edge’s dot position, which indicates how much of the hypothesized structure is consistent with the sentence. In particular, self.rhs[:dot] is consistent with tokens[self.start():self.end()].",Get edge dot position,Return dot position,,,Return this edge's dot position,,,0,,,,
int,,,,,,,,,,,,
Return the end index of this edge’s span.,Get end index of edge span,Return end index,,,Return the end index of this edge’s span,,,0,,,,
int,,,,,,,,,,,,
"Return a new TreeEdge formed from the given production. The new edge’s left-hand side and right-hand side will be taken from production; its span will be (index,index); and its dot position will be 0.",,Return TreeEdge,,,Return a new TreeEdge formed from the given production,,,0,,,,
TreeEdge,,,,,,,,,,,,
Return True if this edge’s structure is fully consistent with the text.,Check if edge structure is fully consistent with text ,,,,Return True if this edge’s structure is fully consistent with the text,,,1,,,,
bool,,,,,,,,,,,,
Return True if this edge’s structure is partially consistent with the text.,Check if edge structure is partially consistent with text,,,,Return True if this edge’s structure is partially consistent with the text,,,1,,,,
bool,,,,,,,,,,,,
Return the length of this edge’s span.,Get edge span length,Return edge span length,,,Return the length of this edge’s span,,,0,,,,
int,,,,,,,,,,,,
"Return this edge’s left-hand side, which specifies what kind of structure is hypothesized by this edge.",Get the edge left hand side,"Return left-hand side
Specify kind of structure",,,Return this edge’s left-hand side,,,1,,,"return left-hand side
specify kind of structure
specify left-hand side of structure","return left-hand side
specify kind of structure
specify left-hand side of structure"
TreeEdge and LeafEdge for a description of the left-hand side values for each edge type.,,,,,,,,,,,,
"Return a new TreeEdge formed from this edge. The new edge’s dot position is increased by 1, and its end index will be replaced by new_end.",,Return Tree edge,,,Return a new TreeEdge formed from this edge.,,,0,,,replace end index,replace end index
new_end (int) – The new end index.,,,,,,,,,,,,
TreeEdge,,,,,,,,,,,,
Return the element of this edge’s right-hand side that immediately follows its dot.,Get the edge right hand side that follows the dot,Return element of right-hand side,,,Return the element of this edge’s right-hand side,,,0,,,return element of right-hand side,return element of right-hand side
Nonterminal or terminal or None,,,,,,,,,,,,
"Return this edge’s right-hand side, which specifies the content of the structure hypothesized by this edge.",Get edge right hand side,"Return right-hand side
Specify content of structure",,,Return this edge’s right-hand side,,,1,,,"return right-hand side
specify content of structure
specify right-hand side of structure","return right-hand side
specify content of structure
specify right-hand side of structure"
TreeEdge and LeafEdge for a description of the right-hand side values for each edge type.,,,,,,,,,,,,
"Return a tuple (s, e), where tokens[s:e] is the portion of the sentence that is consistent with this edge’s structure.",Get tuple of tokens that indicate consistency of edge structure,"Return tuple (s, e)",,,Return a tuple ,,,0,,,return tuple,return tuple
"tuple(int, int)",,,,,,,,,,,,
Return the start index of this edge’s span.,Get start index of edge span,Return start index,,,Return the start index of this edge’s span,,,0,,,,
int,,,,,,,,,,,,
A demonstration of the chart parsers.,,,,,,,,,,,,
Bases: nltk.parse.corenlp.GenericCoreNLPParser,,,,,,,,,,,,
Dependency parser.,,,,,,,,,,,,
Non-breaking space inside of a token.,,,,,,,,,,,,
Phone numbers.,,,,,,,,,,,,
Bases: nltk.parse.corenlp.GenericCoreNLPParser,,,,,,,,,,,,
Bases: object,,,,,,,,,,,,
Starts the CoreNLP server,,Start CoreNLP server,Start CoreNLP server,Start CoreNLP server,Start the CoreNLP server,Start the CoreNLP server,Start the CoreNLP server,1,,,,
"stderr (stdout,) – Specifies where CoreNLP output is redirected. Valid values are ‘devnull’, ‘stdout’, ‘pipe’",,,,,,,,,,,"redirect CoreNLP output
redirect specifies","redirect CoreNLP output
redirect specifies"
Bases: OSError,,,,,,,,,,,,
Exceptions associated with the Core NLP server.,,,,,,,,,,,,
"Bases: nltk.parse.api.ParserI, nltk.tokenize.api.TokenizerI, nltk.tag.api.TaggerI",,,,,,,,,,,,
Interface to the CoreNLP Parser.,,,,,Interface to the CoreNLP Parser,,Interface to the CoreNLP Parser,,,,,
Parse multiple sentences.,,,,,Parse multiple sentences.,,Parse multiple sentences.,,,,,parse multiple sentences
Takes multiple sentences as a list where each sentence is a list of words. Each sentence will be automatically tagged with this CoreNLPParser instance’s tagger.,,,,,Tag sentence with CoreNLPParser tagger,,Tag sentence with CoreNLPParser tagger,,,,,
"If a whitespace exists inside a token, then the token will be treated as several tokens.",,,,,,,,,,,,
sentences (list(list(str))) – Input sentences to parse,,,,,,,,,,,,
iter(iter(Tree)),,,,,,,,,,,,
Parse a piece of text.,,,,,,,,,,,,parse piece of text
The text might contain several sentences which will be split by CoreNLP.,,,,,,,,,,,split several sentences,split several sentences
text (str) – text to be split.,,,,,,,,,,,,
an iterable of syntactic structures. # TODO: should it be an iterable of iterables?,,,,,,,,,,,,
Parse a sentence.,,Parse sentence,Parse sentence,,Parse a sentence,Parse a sentence,Parse a sentence,0,,,,parse sentence
"Takes a sentence as a string; before parsing, it will be automatically tokenized and tagged by the CoreNLP Parser.",Single sentence as input,"Tokenize sentences
Tag sentence",,,Take a sentence as a string,,Take a sentence as a string,1,,,,
sentence (str) – Input sentence to parse,,,,,,,,1,,,,
iter(Tree),,,,,,,,,,,,
Parse multiple sentences.,,Parse multiple sentences,Parse multiple sentences,Parse multiple sentences,Parse multiple sentences,Parse multiple sentences,Parse multiple sentences,,,,,parse multiple sentences
Takes multiple sentences as a list of strings. Each sentence will be automatically tokenized and tagged.,Multiple sentences as input,"Tokenize sentence
Tag sentence",,,Automatically tokenize and tag sentence,Automatically tokenize and tag sentence,Automatically tokenize and tag sentence,1,,,,
sentences (list(str)) – Input sentences to parse.,,,,,,,,,,,,
iter(iter(Tree)),,,,,,,,,,,,
Tag multiple sentences.,Tag multiple sentences,Tag multiple sentences,Tag multiple sentences,Tag multiple sentences,Tag multiple sentences,Tag multiple sentences,,,,,,
Takes multiple sentences as a list where each sentence is a string.,,,,,Take multiple sentences as a list,,,,,,,
sentences (list(str)) – Input sentences to tag,,,,,,,,,,,,
"list(list(list(tuple(str, str)))",,,,,,,,,,,,
Tag a list of tokens.,,,,,Tag a list of tokens.,,Tag a list of tokens.,,,,,
"list(tuple(str, str))",,,,,,,,,,,,
Tag multiple sentences.,,,,,Tag multiple sentences.,,Tag multiple sentences.,,,,,
Takes multiple sentences as a list where each sentence is a list of tokens.,,,,,Take multiple sentences as a list,,Take multiple sentences as a list,1,,,,
sentences (list(list(str))) – Input sentences to tag,,,,,,,,,,,,
"list(list(tuple(str, str))",,,,,,,,,,,,
Tokenize a string of text.,Tokenize string of text,Tokenize string of text,Tokenize string of text,Tokenize string of text,Tokenize a string of text,Tokenize a string of text,Tokenize a string of text,0,,,,
Tools for reading and writing dependency trees. The input is assumed to be in Malt-TAB format (http://stp.lingfil.uu.se/~nivre/research/MaltXML.html).,,,,,,,,,,,"read dependency trees
write dependency trees","read dependency trees
write dependency trees"
Bases: object,,,,,,,,,,,,
A container for the nodes and labelled edges of a dependency structure.,,,,,,,,,,,,
Adds an arc from the node specified by head_address to the node specified by the mod address.,Add arc from head node to target node,"Add arc from node
Specify to node","Add arc from node
Specify to node",,Add an arc from the node specified by head_address to the node specified by the mod address,,,1,,,"add arc from node
specify  to node","add arc from node
specify  to node"
Fully connects all non-root nodes. All nodes are set to be dependents of the root node.,Connect all non-root nodes,Set nodes,,,,,,1,,,,
"Returns true if the graph contains a node with the given node address, false otherwise.",Check if graph contains specific node,,,,,,,,,,return true,return true
Check whether there are cycles.,Check if graph has cycles,Check cycles,Check cycles,Check cycles,Check whether there are cycles,,,1,,,,
Return the node with the given address.,Get specific node,Return node with given address,,,Return the node with the given address,,,0,,,return node with given address,return node with given address
Returns the number of left children under the node specified by the given address.,Get number of children of node,"Return number of left children
Return number under node",,,Return the number of left children under the node specified by the given address,,,1,,,"return number of left children
return number under node","return number of left children
return number under node"
filename – a name of a file in Malt-TAB format,,,,,,,,,,,,
zero_based – nodes in the input file are numbered starting from 0,,,,,,,,,,,,
"rather than 1 (as produced by, e.g., zpar) :param str cell_separator: the cell separator. If not provided, cells are split by whitespace. :param str top_relation_label: the label by which the top relation is identified, for examlple, ROOT, null or TOP.",,,,,,,,,,,"split cells
identify top relation for examlple
identify top relation for ROOT
identify top relation for null
identify top relation for TOP
identify label for examlple
identify label for ROOT
identify label for null
identify label for TOP","split cells
identify top relation for examlple
identify top relation for ROOT
identify top relation for null
identify top relation for TOP
identify label for examlple
identify label for ROOT
identify label for null
identify label for TOP"
a list of DependencyGraphs,,,,,,,,,,,,
Convert the data in a nodelist into a networkx labeled directed graph.,Convert nodelist to networkx labeled directed graph,"Convert data into networkx
Convert data in nodelist","Convert data into networkx
Convert data in nodelist","Convert data into networkx
Convert data in nodelist",Convert the data in a nodelist into a networkx labeled directed graph,,Convert the data in a nodelist into a networkx labeled directed graph,1,,,convert data in nodelist graph,convert data in nodelist graph
Redirects arcs to any of the nodes in the originals list to the redirect node address.,Redirect node arcs,Redirect node arcs,Redirect node arcs,Redirect node arcs,Redirect arcs to any of the nodels in the originals list,,,1,,,,
Removes the node with the given address. References to this node in others will still exist.,Remove specific node,Remove node with given address,Remove node with given address,Remove node with given address,Remove the node with the given address,,,1,,,,
Returns the number of right children under the node specified by the given address.,Get number of right children under node,"Return number of right children
Return number under node",,,Return the number of right children under the node specified by the given address,,,1,,,"return number of right children
return number under node","return number of right children
return number under node"
The dependency graph in CoNLL format.,,,,,,,,,,,,
"style (int) – the style to use for the format (3, 4, 10 columns)",,,,,,,,,,,use  for format,
str,,,,,,,,,,,,
Return a dot representation suitable for using with Graphviz.,Get dot representation ,Use with Graphviz,Use with Graphviz,Use with Graphviz,Return a dot representation suitable for using with Graphviz,Return a dot representation suitable for using with Graphviz,Return a dot representation suitable for using with Graphviz,1,,,use  with graphviz,
"Starting with the root node, build a dependency tree using the NLTK Tree constructor. Dependency labels are omitted.",,,,,Build a dependency tree using the NLTK Tree constructor,Build a dependency tree using the NLTK Tree constructor,Build a dependency tree using the NLTK Tree constructor,1,,,"use NLTK tree constructor
omit dependency labels","build dependency tree
omit dependency labels"
"Extract dependency triples of the form: ((head word, head tag), rel, (dep word, dep tag))",Get dependency triples,Extract dependency triples,Extract dependency triples,,Extract dependency triples,Extract dependency triples,Extract dependency triples,,,,,
Bases: Exception,,,,,,,,,,,,
Dependency graph exception.,,,,,,,,,,,,
A demonstration of how to read a string representation of a CoNLL format dependency tree.,,Read string representation of CoNLL format,,,Read a string representatino of a CoNLL format dependency tree,Read a string representatino of a CoNLL format dependency tree,Read a string representatino of a CoNLL format dependency tree,1,,,read string representation of CoNLL format,read string representation of CoNLL format
A demonstration of the result of reading a dependency version of the first sentence of the Penn Treebank.,,,,,,,,,,,read dependency version of first sentence,read dependency version of first sentence
"Data classes and parser implementations for incremental chart parsers, which use dynamic programming to efficiently parse a text. A “chart parser” derives parse trees for a text by iteratively adding “edges” to a “chart”. Each “edge” represents a hypothesis about the tree structure for a subsequence of the text. The “chart” is a “blackboard” for composing and combining these hypotheses.",,Use dynamic programming to parse text,,,Use dynamic programming to efficiently parse a tree,Use dynamic programming to efficiently parse a tree,Use dynamic programming to efficiently parse a tree,1,,,,
"A parser is “incremental”, if it guarantees that for all i, j where i < j, all edges ending at i are built before any edges ending at j. This is appealing for, say, speech recognizer hypothesis filtering.",,,,,,,,,,,,"build edges before edges
build j before edges"
"The main parser class is EarleyChartParser, which is a top-down algorithm, originally formulated by Jay Earley (1970).",,,,,,,,,,,,
Bases: nltk.parse.chart.SingleEdgeFundamentalRule,,,,,,,,,,,,
Bases: nltk.parse.earleychart.CompleteFundamentalRule,,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,"Return a generator that will add edges licensed by this rule and the given edges to the chart,",,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.earleychart.IncrementalChartParser,,,,,,,,,,,,
Bases: nltk.parse.featurechart.FeatureSingleEdgeFundamentalRule,,,,,,,,,,,,
Bases: nltk.parse.earleychart.CompleterRule,,,,,,,,,,,,
Bases: nltk.parse.earleychart.FeatureIncrementalChartParser,,,,,,,,,,,,
Bases: nltk.parse.earleychart.FeatureIncrementalChartParser,,,,,,,,,,,,
Bases: nltk.parse.earleychart.FeatureIncrementalChartParser,,,,,,,,,,,,
"Bases: nltk.parse.earleychart.IncrementalChart, nltk.parse.featurechart.FeatureChart",,,,,,,,,,,,
Returns an iterator over the edges in this chart. See Chart.select for more information about the restrictions on the edges.,Get iterator over edges of chart,Return iterator over edges,,,Returns an iterator over the edges in this chart,,,0,Returns an iterator over the edges in this chart,Returns an iterator over the edges in this chart,return iterator over edges,return iterator over edges
"Bases: nltk.parse.earleychart.IncrementalChartParser, nltk.parse.featurechart.FeatureChartParser",,,,,,,,,,,,
Bases: nltk.parse.earleychart.FeatureIncrementalChartParser,,,,,,,,,,,,
Bases: nltk.parse.featurechart.FeatureTopDownPredictRule,,,,,,,,,,,,
Bases: nltk.parse.earleychart.ScannerRule,,,,,,,,,,,,
Bases: nltk.parse.chart.FilteredSingleEdgeFundamentalRule,,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,Return a generator,,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.earleychart.IncrementalChartParser,,,,,,,,,,,,
Bases: nltk.parse.earleychart.IncrementalChartParser,,,,,,,,,,,,
Bases: nltk.parse.chart.Chart,,,,,,,,,,,,
Return a list of all edges in this chart. New edges that are added to the chart after the call to edges() will not be contained in this list.,Get list of edges in chart,Return list of edges in chart,,,Return a list of all edges in this chart,,,1,,,,
list(EdgeI),,,,,,,,,,,,
"iteredges, select",,,,,,,,,,,,
Clear the chart.,Clear chart,Clear chart ,Clear chart ,Clear chart ,Clear the chart,,,1,,,,
Return an iterator over the edges in this chart. It is not guaranteed that new edges which are added to the chart before the iterator is exhausted will also be generated.,Get iterator over edges of chart,Return iterator over chart,,,Return an iterator over the edges in this chart,,,0,,,,
iter(EdgeI),,,,,,,,,,,,
"edges, select",,,,,,,,,,,,
Return an iterator over the edges in this chart. Any new edges that are added to the chart before the iterator is exahusted will also be generated. restrictions can be used to restrict the set of edges that will be generated.,Get iterator over edges of chart,"Return iterator over edges
Use restrictions",,,Return an iterator over the edges in this chart,,,1,,,,
span – Only generate edges e where e.span()==span,Generate edges where span == span,Generate edges e,,,,,,1,,,,
start – Only generate edges e where e.start()==start,Generate edges where start == start,Generate edges e,,,,,,1,,,,
end – Only generate edges e where e.end()==end,Generate edges where end == end,Generate edges e,,,,,,1,,,,
length – Only generate edges e where e.length()==length,Generate edges where length == length,Generate edges e,,,,,,1,,,,
lhs – Only generate edges e where e.lhs()==lhs,Generate edges where lhs == lhs,Generate edges e,,,,,,1,,,,
rhs – Only generate edges e where e.rhs()==rhs,Generate edges where rhs == rhs,Generate edges e,,,,,,1,,,,
nextsym – Only generate edges e where e.nextsym()==nextsym,Generate edges where nextsym == nextsym,Generate edges e,,,,,,1,,,,
dot – Only generate edges e where e.dot()==dot,Generate edges where dot == dot,Generate edges e,,,,,,1,,,,
is_complete – Only generate edges e where e.is_complete()==is_complete,Generate edges where is_complete == is_complete,Generate edges e,,,,,,1,,,,
is_incomplete – Only generate edges e where e.is_incomplete()==is_incomplete,Generate edges where is_incomplete == is_incomplete,Generate edges e,,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.ChartParser,,,,,,,,,,,,
An incremental chart parser implementing Jay Earley’s parsing algorithm:,,,,,,,,,,,implement parsing algorithm,implement parsing algorithm
Return the final parse Chart from which all possible parse trees can be extracted.,Get final parse chart,Return final parse Chart,,,Return the final parse Chart from which all possible parse trees can be extracted,,,0,,,return final parse chart,return final parse chart
tokens (list(str)) – The sentence to be parsed,,,,,,,,,,,,parse sentence
Chart,,,,,,,,,,,,
Bases: nltk.parse.earleychart.IncrementalChartParser,,,,,,,,,,,,
Bases: nltk.parse.earleychart.IncrementalChartParser,,,,,,,,,,,,
Bases: nltk.parse.chart.CachedTopDownPredictRule,,,,,,,,,,,,
Bases: nltk.parse.earleychart.CompleteFundamentalRule,,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,"Return a generator that will add edges licensed by this rule and the given edges to the chart,",,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
A demonstration of the Earley parsers.,,,,,,,,,,,,
Bases: object,,,,,,,,,,,,
Class for measuring labelled and unlabelled attachment score for dependency parsing. Note that the evaluation ignores punctuation.,,,,,,,,,,,ignore punctuation,ignore punctuation
Return the Labeled Attachment Score (LAS) and Unlabeled Attachment Score (UAS),Get LAS and UAS,"Return Labeled attachment score
Return Unlabeled attachment score",,,Return the Labeled Attachment Score (LAS) and Unlabeled Attachment Score (UAS),,,0,,,,
":return : tuple(float,float)",,,,,,,,,,,,
Extension of chart parsing implementation to handle grammars with feature structures as nodes.,,,,,,,,,,,handle grammars with feature structures,handle grammars with feature structures
Bases: nltk.parse.featurechart.FeatureChartParser,,,,,,,,,,,,
Bases: nltk.parse.featurechart.FeatureChartParser,,,,,,,,,,,,
Bases: nltk.parse.chart.BottomUpPredictCombineRule,,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,Return a generator that will add edges licensed by this rule and the given edges to the chart,,,1,,,,
edges (list(EdgeI)) – A set of existing edges. The number of edges that should be passed to apply() is specified by the NUM_EDGES class variable.,Get set of existing edges,"Pass edges to apply()
Specify number of edges",,,,,,1,,,,
iter(EdgeI),,,,,,,,,,,,
Bases: nltk.parse.chart.BottomUpPredictRule,,,,,,,,,,,,
"Return a generator that will add edges licensed by this rule and the given edges to the chart, one at a time. Each time the generator is resumed, it will either add a new edge and yield that edge; or return.",Get generator that will add all edges licensed by rule,"Return generator
Add edges one at at time
Add new edge",,,Return a generator that will add edges licensed by this rule and the given edges to the chart,,,1,,,,
