Paragraph,Ground Truth link,Program link,Partial ratio
We can now simplify Comment a tiny bit:,"function comment(props) {
  return (
    <div classname=""comment"">
      <div classname=""userinfo"">
        <avatar user={props.author} />        <div classname=""userinfo-name"">
          {props.author.name}
        </div>
      </div>
      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function welcome(props) { return <h1>hello, {props.name}h1>; } const element = <welcome name=""sara"" />;reactdom.render( element, document.getelementbyid('root') );",N/A
We can now simplify Comment a tiny bit:,"function comment(props) {
  return (
    <div classname=""comment"">
      <div classname=""userinfo"">
        <avatar user={props.author} />        <div classname=""userinfo-name"">
          {props.author.name}
        </div>
      </div>
      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function welcome(props) { return <h1>hello, {props.name}h1>; } function app() { return ( <div> <welcome name=""sara"" /> <welcome name=""cahal"" /> <welcome name=""edite"" /> div> ); } reactdom.render( <app />, document.getelementbyid('root') );",N/A
We can now simplify Comment a tiny bit:,"function comment(props) {
  return (
    <div classname=""comment"">
      <div classname=""userinfo"">
        <avatar user={props.author} />        <div classname=""userinfo-name"">
          {props.author.name}
        </div>
      </div>
      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function comment(props) { return ( <div classname=""comment""> <div classname=""userinfo""> <img classname=""avatar"" src={props.author.avatarurl} alt={props.author.name} /> <div classname=""userinfo-name""> {props.author.name} div> div> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
We can now simplify Comment a tiny bit:,"function comment(props) {
  return (
    <div classname=""comment"">
      <div classname=""userinfo"">
        <avatar user={props.author} />        <div classname=""userinfo-name"">
          {props.author.name}
        </div>
      </div>
      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function avatar(props) { return ( <img classname=""avatar"" src={props.user.avatarurl} alt={props.user.name} /> ); }",N/A
We can now simplify Comment a tiny bit:,"function comment(props) {
  return (
    <div classname=""comment"">
      <div classname=""userinfo"">
        <avatar user={props.author} />        <div classname=""userinfo-name"">
          {props.author.name}
        </div>
      </div>
      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function comment(props) { return ( <div classname=""comment""> <div classname=""userinfo""> <avatar user={props.author} /> <div classname=""userinfo-name""> {props.author.name} div> div> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
We can now simplify Comment a tiny bit:,"function comment(props) {
  return (
    <div classname=""comment"">
      <div classname=""userinfo"">
        <avatar user={props.author} />        <div classname=""userinfo-name"">
          {props.author.name}
        </div>
      </div>
      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function userinfo(props) { return ( <div classname=""userinfo""> <avatar user={props.user} /> <div classname=""userinfo-name""> {props.user.name} div> div> ); }",N/A
We can now simplify Comment a tiny bit:,"function comment(props) {
  return (
    <div classname=""comment"">
      <div classname=""userinfo"">
        <avatar user={props.author} />        <div classname=""userinfo-name"">
          {props.author.name}
        </div>
      </div>
      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function comment(props) { return ( <div classname=""comment""> <userinfo user={props.author} /> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
We can now simplify Comment a tiny bit:,"function comment(props) {
  return (
    <div classname=""comment"">
      <div classname=""userinfo"">
        <avatar user={props.author} />        <div classname=""userinfo-name"">
          {props.author.name}
        </div>
      </div>
      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function withdraw(account, amount) { account.total -= amount; }",N/A
"Next, we will extract a UserInfo component that renders an Avatar next to the user’s name:","function userinfo(props) {
  return (
    <div classname=""userinfo"">      <avatar user={props.user} />      <div classname=""userinfo-name"">        {props.user.name}      </div>    </div>  );
}","function welcome(props) { return <h1>hello, {props.name}h1>; }",N/A
"Next, we will extract a UserInfo component that renders an Avatar next to the user’s name:","function userinfo(props) {
  return (
    <div classname=""userinfo"">      <avatar user={props.user} />      <div classname=""userinfo-name"">        {props.user.name}      </div>    </div>  );
}","class welcome extends react.component { render() { return <h1>hello, {this.props.name}h1>; } }",N/A
"Next, we will extract a UserInfo component that renders an Avatar next to the user’s name:","function userinfo(props) {
  return (
    <div classname=""userinfo"">      <avatar user={props.user} />      <div classname=""userinfo-name"">        {props.user.name}      </div>    </div>  );
}","function welcome(props) { return <h1>hello, {props.name}h1>; } const element = <welcome name=""sara"" />;reactdom.render( element, document.getelementbyid('root') );",N/A
"Next, we will extract a UserInfo component that renders an Avatar next to the user’s name:","function userinfo(props) {
  return (
    <div classname=""userinfo"">      <avatar user={props.user} />      <div classname=""userinfo-name"">        {props.user.name}      </div>    </div>  );
}","function welcome(props) { return <h1>hello, {props.name}h1>; } function app() { return ( <div> <welcome name=""sara"" /> <welcome name=""cahal"" /> <welcome name=""edite"" /> div> ); } reactdom.render( <app />, document.getelementbyid('root') );",N/A
"Next, we will extract a UserInfo component that renders an Avatar next to the user’s name:","function userinfo(props) {
  return (
    <div classname=""userinfo"">      <avatar user={props.user} />      <div classname=""userinfo-name"">        {props.user.name}      </div>    </div>  );
}","function comment(props) { return ( <div classname=""comment""> <div classname=""userinfo""> <img classname=""avatar"" src={props.author.avatarurl} alt={props.author.name} /> <div classname=""userinfo-name""> {props.author.name} div> div> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
"Next, we will extract a UserInfo component that renders an Avatar next to the user’s name:","function userinfo(props) {
  return (
    <div classname=""userinfo"">      <avatar user={props.user} />      <div classname=""userinfo-name"">        {props.user.name}      </div>    </div>  );
}","function avatar(props) { return ( <img classname=""avatar"" src={props.user.avatarurl} alt={props.user.name} /> ); }",N/A
"Next, we will extract a UserInfo component that renders an Avatar next to the user’s name:","function userinfo(props) {
  return (
    <div classname=""userinfo"">      <avatar user={props.user} />      <div classname=""userinfo-name"">        {props.user.name}      </div>    </div>  );
}","function comment(props) { return ( <div classname=""comment""> <div classname=""userinfo""> <avatar user={props.author} /> <div classname=""userinfo-name""> {props.author.name} div> div> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
"Next, we will extract a UserInfo component that renders an Avatar next to the user’s name:","function userinfo(props) {
  return (
    <div classname=""userinfo"">      <avatar user={props.user} />      <div classname=""userinfo-name"">        {props.user.name}      </div>    </div>  );
}","function userinfo(props) { return ( <div classname=""userinfo""> <avatar user={props.user} /> <div classname=""userinfo-name""> {props.user.name} div> div> ); }",96
"Next, we will extract a UserInfo component that renders an Avatar next to the user’s name:","function userinfo(props) {
  return (
    <div classname=""userinfo"">      <avatar user={props.user} />      <div classname=""userinfo-name"">        {props.user.name}      </div>    </div>  );
}","function comment(props) { return ( <div classname=""comment""> <userinfo user={props.author} /> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",72
"Next, we will extract a UserInfo component that renders an Avatar next to the user’s name:","function userinfo(props) {
  return (
    <div classname=""userinfo"">      <avatar user={props.user} />      <div classname=""userinfo-name"">        {props.user.name}      </div>    </div>  );
}","function withdraw(account, amount) { account.total -= amount; }",N/A
This lets us simplify Comment even further:,"function comment(props) {
  return (
    <div classname=""comment"">
      <userinfo user={props.author} />      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function welcome(props) { return <h1>hello, {props.name}h1>; }",N/A
This lets us simplify Comment even further:,"function comment(props) {
  return (
    <div classname=""comment"">
      <userinfo user={props.author} />      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","class welcome extends react.component { render() { return <h1>hello, {this.props.name}h1>; } }",N/A
This lets us simplify Comment even further:,"function comment(props) {
  return (
    <div classname=""comment"">
      <userinfo user={props.author} />      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function welcome(props) { return <h1>hello, {props.name}h1>; } const element = <welcome name=""sara"" />;reactdom.render( element, document.getelementbyid('root') );",N/A
This lets us simplify Comment even further:,"function comment(props) {
  return (
    <div classname=""comment"">
      <userinfo user={props.author} />      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function welcome(props) { return <h1>hello, {props.name}h1>; } function app() { return ( <div> <welcome name=""sara"" /> <welcome name=""cahal"" /> <welcome name=""edite"" /> div> ); } reactdom.render( <app />, document.getelementbyid('root') );",N/A
This lets us simplify Comment even further:,"function comment(props) {
  return (
    <div classname=""comment"">
      <userinfo user={props.author} />      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function comment(props) { return ( <div classname=""comment""> <div classname=""userinfo""> <img classname=""avatar"" src={props.author.avatarurl} alt={props.author.name} /> <div classname=""userinfo-name""> {props.author.name} div> div> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
This lets us simplify Comment even further:,"function comment(props) {
  return (
    <div classname=""comment"">
      <userinfo user={props.author} />      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function avatar(props) { return ( <img classname=""avatar"" src={props.user.avatarurl} alt={props.user.name} /> ); }",N/A
This lets us simplify Comment even further:,"function comment(props) {
  return (
    <div classname=""comment"">
      <userinfo user={props.author} />      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function comment(props) { return ( <div classname=""comment""> <div classname=""userinfo""> <avatar user={props.author} /> <div classname=""userinfo-name""> {props.author.name} div> div> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
This lets us simplify Comment even further:,"function comment(props) {
  return (
    <div classname=""comment"">
      <userinfo user={props.author} />      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function userinfo(props) { return ( <div classname=""userinfo""> <avatar user={props.user} /> <div classname=""userinfo-name""> {props.user.name} div> div> ); }",N/A
This lets us simplify Comment even further:,"function comment(props) {
  return (
    <div classname=""comment"">
      <userinfo user={props.author} />      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function comment(props) { return ( <div classname=""comment""> <userinfo user={props.author} /> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
This lets us simplify Comment even further:,"function comment(props) {
  return (
    <div classname=""comment"">
      <userinfo user={props.author} />      <div classname=""comment-text"">
        {props.text}
      </div>
      <div classname=""comment-date"">
        {formatdate(props.date)}
      </div>
    </div>
  );
}","function withdraw(account, amount) { account.total -= amount; }",N/A
"Whether you declare a component as a function or a class, it must never modify its own props. Consider this sum function:","function sum(a, b) {
  return a + b;
}","function welcome(props) { return <h1>hello, {props.name}h1>; }",N/A
"Whether you declare a component as a function or a class, it must never modify its own props. Consider this sum function:","function sum(a, b) {
  return a + b;
}","class welcome extends react.component { render() { return <h1>hello, {this.props.name}h1>; } }",N/A
"Whether you declare a component as a function or a class, it must never modify its own props. Consider this sum function:","function sum(a, b) {
  return a + b;
}","function welcome(props) { return <h1>hello, {props.name}h1>; } const element = <welcome name=""sara"" />;reactdom.render( element, document.getelementbyid('root') );",N/A
"Whether you declare a component as a function or a class, it must never modify its own props. Consider this sum function:","function sum(a, b) {
  return a + b;
}","function welcome(props) { return <h1>hello, {props.name}h1>; } function app() { return ( <div> <welcome name=""sara"" /> <welcome name=""cahal"" /> <welcome name=""edite"" /> div> ); } reactdom.render( <app />, document.getelementbyid('root') );",N/A
"Whether you declare a component as a function or a class, it must never modify its own props. Consider this sum function:","function sum(a, b) {
  return a + b;
}","function comment(props) { return ( <div classname=""comment""> <div classname=""userinfo""> <img classname=""avatar"" src={props.author.avatarurl} alt={props.author.name} /> <div classname=""userinfo-name""> {props.author.name} div> div> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
"Whether you declare a component as a function or a class, it must never modify its own props. Consider this sum function:","function sum(a, b) {
  return a + b;
}","function avatar(props) { return ( <img classname=""avatar"" src={props.user.avatarurl} alt={props.user.name} /> ); }",N/A
"Whether you declare a component as a function or a class, it must never modify its own props. Consider this sum function:","function sum(a, b) {
  return a + b;
}","function comment(props) { return ( <div classname=""comment""> <div classname=""userinfo""> <avatar user={props.author} /> <div classname=""userinfo-name""> {props.author.name} div> div> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
"Whether you declare a component as a function or a class, it must never modify its own props. Consider this sum function:","function sum(a, b) {
  return a + b;
}","function userinfo(props) { return ( <div classname=""userinfo""> <avatar user={props.user} /> <div classname=""userinfo-name""> {props.user.name} div> div> ); }",N/A
"Whether you declare a component as a function or a class, it must never modify its own props. Consider this sum function:","function sum(a, b) {
  return a + b;
}","function comment(props) { return ( <div classname=""comment""> <userinfo user={props.author} /> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
"Whether you declare a component as a function or a class, it must never modify its own props. Consider this sum function:","function sum(a, b) {
  return a + b;
}","function withdraw(account, amount) { account.total -= amount; }",N/A
"In contrast, this function is impure because it changes its own input:","function withdraw(account, amount) {
  account.total -= amount;
}","function welcome(props) { return <h1>hello, {props.name}h1>; }",N/A
"In contrast, this function is impure because it changes its own input:","function withdraw(account, amount) {
  account.total -= amount;
}","class welcome extends react.component { render() { return <h1>hello, {this.props.name}h1>; } }",N/A
"In contrast, this function is impure because it changes its own input:","function withdraw(account, amount) {
  account.total -= amount;
}","function welcome(props) { return <h1>hello, {props.name}h1>; } const element = <welcome name=""sara"" />;reactdom.render( element, document.getelementbyid('root') );",N/A
"In contrast, this function is impure because it changes its own input:","function withdraw(account, amount) {
  account.total -= amount;
}","function welcome(props) { return <h1>hello, {props.name}h1>; } function app() { return ( <div> <welcome name=""sara"" /> <welcome name=""cahal"" /> <welcome name=""edite"" /> div> ); } reactdom.render( <app />, document.getelementbyid('root') );",N/A
"In contrast, this function is impure because it changes its own input:","function withdraw(account, amount) {
  account.total -= amount;
}","function comment(props) { return ( <div classname=""comment""> <div classname=""userinfo""> <img classname=""avatar"" src={props.author.avatarurl} alt={props.author.name} /> <div classname=""userinfo-name""> {props.author.name} div> div> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
"In contrast, this function is impure because it changes its own input:","function withdraw(account, amount) {
  account.total -= amount;
}","function avatar(props) { return ( <img classname=""avatar"" src={props.user.avatarurl} alt={props.user.name} /> ); }",N/A
"In contrast, this function is impure because it changes its own input:","function withdraw(account, amount) {
  account.total -= amount;
}","function comment(props) { return ( <div classname=""comment""> <div classname=""userinfo""> <avatar user={props.author} /> <div classname=""userinfo-name""> {props.author.name} div> div> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
"In contrast, this function is impure because it changes its own input:","function withdraw(account, amount) {
  account.total -= amount;
}","function userinfo(props) { return ( <div classname=""userinfo""> <avatar user={props.user} /> <div classname=""userinfo-name""> {props.user.name} div> div> ); }",N/A
"In contrast, this function is impure because it changes its own input:","function withdraw(account, amount) {
  account.total -= amount;
}","function comment(props) { return ( <div classname=""comment""> <userinfo user={props.author} /> <div classname=""comment-text""> {props.text} div> <div classname=""comment-date""> {formatdate(props.date)} div> div> ); }",N/A
"In contrast, this function is impure because it changes its own input:","function withdraw(account, amount) {
  account.total -= amount;
}","function withdraw(account, amount) { account.total -= amount; }",97
