Paragraph,Ground Truth link,Program link,Partial ratio
Return a dot representation suitable for using with Graphviz.,">>> dg = dependencygraph(
...     'john n 2\n'
...     'loves v 0\n'
...     'mary n 2'
... )
>>> print(dg.to_dot())
digraph g{
edge [dir=forward]
node [shape=plaintext]

0 [label=""0 (none)""]
0 -> 2 [label=""root""]
1 [label=""1 (john)""]
2 [label=""2 (loves)""]
2 -> 1 [label=""""]
2 -> 3 [label=""""]
3 [label=""3 (mary)""]
}",">>> dg = dependencygraph(
...     'john n 2\n'
...     'loves v 0\n'
...     'mary n 2'
... )
>>> print(dg.to_dot())
digraph g{
edge [dir=forward]
node [shape=plaintext]

0 [label=""0 (none)""]
0 -> 2 [label=""root""]
1 [label=""1 (john)""]
2 [label=""2 (loves)""]
2 -> 1 [label=""""]
2 -> 3 [label=""""]
3 [label=""3 (mary)""]
}",97
Class for measuring labelled and unlabelled attachment score for dependency parsing. Note that the evaluation ignores punctuation.,">>> from nltk.parse import dependencygraph, dependencyevaluator",eval,12
Class for measuring labelled and unlabelled attachment score for dependency parsing. Note that the evaluation ignores punctuation.,">>> from nltk.parse import dependencygraph, dependencyevaluator",">>> from nltk.parse import dependencygraph, dependencyevaluator",100
Class for measuring labelled and unlabelled attachment score for dependency parsing. Note that the evaluation ignores punctuation.,">>> from nltk.parse import dependencygraph, dependencyevaluator",">>> gold_sent = dependencygraph(""""""
... pierre  nnp     2       nmod
... vinken  nnp     8       sub
... ,       ,       2       p
... 61      cd      5       nmod
... years   nns     6       amod
... old     jj      2       nmod
... ,       ,       2       p
... will    md      0       root
"A. Check the ARC-STANDARD training >>> import tempfile >>> import os >>> input_file = tempfile.NamedTemporaryFile(prefix=’transition_parse.train’, dir=tempfile.gettempdir(), delete=False)",">>> parser_std.train([gold_sent],'temp.arcstd.model', verbose=false)
 number of training examples : 1
 number of valid (projective) examples : 1
>>> remove(input_file.name)",">>> input_file = tempfile.namedtemporaryfile(prefix='transition_parse.train', dir=tempfile.gettempdir(),delete=false)
>>> parser_eager = transitionparser('arc-eager')
>>> print(', '.join(parser_eager._create_training_examples_arc_eager([gold_sent], input_file)))
 number of training examples : 1
 number of valid (projective) examples : 1
shift, leftarc:att, shift, leftarc:sbj, rightarc:root, shift, leftarc:att, rightarc:obj, rightarc:att, shift, leftarc:att, rightarc:pc, reduce, reduce, reduce, rightarc:pu",39
"A. Check the ARC-STANDARD training >>> import tempfile >>> import os >>> input_file = tempfile.NamedTemporaryFile(prefix=’transition_parse.train’, dir=tempfile.gettempdir(), delete=False)",">>> parser_std.train([gold_sent],'temp.arcstd.model', verbose=false)
 number of training examples : 1
 number of valid (projective) examples : 1
>>> remove(input_file.name)",">>> parser_eager.train([gold_sent],'temp.arceager.model', verbose=false)
 number of training examples : 1
 number of valid (projective) examples : 1",85
"A. Check the ARC-STANDARD training >>> import tempfile >>> import os >>> input_file = tempfile.NamedTemporaryFile(prefix=’transition_parse.train’, dir=tempfile.gettempdir(), delete=False)",">>> parser_std.train([gold_sent],'temp.arcstd.model', verbose=false)
 number of training examples : 1
 number of valid (projective) examples : 1
>>> remove(input_file.name)",>>> remove(input_file.name),27
"A. Check the ARC-STANDARD training >>> import tempfile >>> import os >>> input_file = tempfile.NamedTemporaryFile(prefix=’transition_parse.train’, dir=tempfile.gettempdir(), delete=False)",">>> parser_std.train([gold_sent],'temp.arcstd.model', verbose=false)
 number of training examples : 1
 number of valid (projective) examples : 1
>>> remove(input_file.name)",">>> result = parser_std.parse([gold_sent], 'temp.arcstd.model')
>>> de = dependencyevaluator(result, [gold_sent])
>>> de.eval() >= (0, 0)
true",50
A module to convert a single POS tagged sentence into CONLL format.,">>> from nltk import word_tokenize, pos_tag
>>> text = ""this is a foobar sentence.""
>>> for line in taggedsent_to_conll(pos_tag(word_tokenize(text))):
...         print(line, end="""")
    1       this    _       dt      dt      _       0       a       _       _
    2       is      _       vbz     vbz     _       0       a       _       _
    3       a       _       dt      dt      _       0       a       _       _
    4       foobar  _       jj      jj      _       0       a       _       _
    5       sentence        _       nn      nn      _       0       a       _       _
    6       .               _       .       .       _       0       a       _       _",">>> from nltk import word_tokenize, pos_tag
>>> text = ""this is a foobar sentence.""
>>> for line in taggedsent_to_conll(pos_tag(word_tokenize(text))):
...         print(line, end="""")
    1       this    _       dt      dt      _       0       a       _       _
    2       is      _       vbz     vbz     _       0       a       _       _
    3       a       _       dt      dt      _       0       a       _       _
    4       foobar  _       jj      jj      _       0       a       _       _
    5       sentence        _       nn      nn      _       0       a       _       _
    6       .               _       .       .       _       0       a       _       _",99
"A module to convert the a POS tagged document stream (i.e. list of list of tuples, a list of sentences) and yield lines in CONLL format. This module yields one line per word and two newlines for end of sentence.",">>> from nltk import word_tokenize, sent_tokenize, pos_tag
>>> text = ""this is a foobar sentence. is that right?""
>>> sentences = [pos_tag(word_tokenize(sent)) for sent in sent_tokenize(text)]
>>> for line in taggedsents_to_conll(sentences):
...     if line:
...         print(line, end="""")
1   this    _       dt      dt      _       0       a       _       _
2   is      _       vbz     vbz     _       0       a       _       _
3   a       _       dt      dt      _       0       a       _       _
4   foobar  _       jj      jj      _       0       a       _       _
5   sentence        _       nn      nn      _       0       a       _       _
6   .               _       .       .       _       0       a       _       _


1   is      _       vbz     vbz     _       0       a       _       _
2   that    _       in      in      _       0       a       _       _
3   right   _       nn      nn      _       0       a       _       _
4   ?       _       .       .       _       0       a       _       _
",">>> from nltk import word_tokenize, sent_tokenize, pos_tag
>>> text = ""this is a foobar sentence. is that right?""
>>> sentences = [pos_tag(word_tokenize(sent)) for sent in sent_tokenize(text)]
>>> for line in taggedsents_to_conll(sentences):
...     if line:
...         print(line, end="""")
1   this    _       dt      dt      _       0       a       _       _
2   is      _       vbz     vbz     _       0       a       _       _
3   a       _       dt      dt      _       0       a       _       _
4   foobar  _       jj      jj      _       0       a       _       _
5   sentence        _       nn      nn      _       0       a       _       _
6   .               _       .       .       _       0       a       _       _


1   is      _       vbz     vbz     _       0       a       _       _
2   that    _       in      in      _       0       a       _       _
3   right   _       nn      nn      _       0       a       _       _
4   ?       _       .       .       _       0       a       _       _",98
Dependency parser.,>>> dep_parser = corenlpdependencyparser(url='http://localhost:9000')
Dependency parser.,">>> parse, = dep_parser.raw_parse(
...     'the quick brown fox jumps over the lazy dog.'
... )
>>> print(parse.to_conll(4))  
the     dt      4       det
quick   jj      4       amod
brown   jj      4       amod
fox     nn      5       nsubj
jumps   vbz     0       root
over    in      9       case
the     dt      9       det
lazy    jj      9       amod
dog     nn      5       nmod
.       .       5       punct"
Dependency parser.,">>> print(parse.tree())  
(jumps (fox the quick brown) (dog over the lazy) .)"
Dependency parser.,">>> for governor, dep, dependent in parse.triples():
...     print(governor, dep, dependent)  
    ('jumps', 'vbz') nsubj ('fox', 'nn')
    ('fox', 'nn') det ('the', 'dt')
    ('fox', 'nn') amod ('quick', 'jj')
    ('fox', 'nn') amod ('brown', 'jj')
    ('jumps', 'vbz') nmod ('dog', 'nn')
    ('dog', 'nn') case ('over', 'in')
    ('dog', 'nn') det ('the', 'dt')
    ('dog', 'nn') amod ('lazy', 'jj')
    ('jumps', 'vbz') punct ('.', '.')
"
Dependency parser.,">>> (parse_fox, ), (parse_dog, ) = dep_parser.raw_parse_sents(
...     [
...         'the quick brown fox jumps over the lazy dog.',
...         'the quick grey wolf jumps over the lazy fox.',
...     ]
... )
>>> print(parse_fox.to_conll(4))  
the dt      4       det
quick       jj      4       amod
brown       jj      4       amod
fox nn      5       nsubj
jumps       vbz     0       root
over        in      9       case
the dt      9       det
lazy        jj      9       amod
dog nn      5       nmod
.   .       5       punct"
Dependency parser.,">>> print(parse_dog.to_conll(4))  
the dt      4       det
quick       jj      4       amod
grey        jj      4       amod
wolf        nn      5       nsubj
jumps       vbz     0       root
over        in      9       case
the dt      9       det
lazy        jj      9       amod
fox nn      5       nmod
.   .       5       punct"
Dependency parser.,">>> (parse_dog, ), (parse_friends, ) = dep_parser.parse_sents(
...     [
...         ""i 'm a dog"".split(),
...         ""this is my friends ' cat ( the tabby )"".split(),
...     ]
... )
>>> print(parse_dog.to_conll(4))  
i   prp     4       nsubj
'm  vbp     4       cop
a   dt      4       det
dog nn      0       root"
Dependency parser.,">>> print(parse_friends.to_conll(4))  
this        dt      6       nsubj
is  vbz     6       cop
my  prp$    4       nmod:poss
friends     nns     6       nmod:poss
'   pos     4       case
cat nn      0       root
-lrb-       -lrb-   9       punct
the dt      9       det
tabby       nn      6       appos
-rrb-       -rrb-   9       punct"
Dependency parser.,">>> parse_john, parse_mary, = dep_parser.parse_text(
...     'john loves mary. mary walks.'
... )
"
Dependency parser.,">>> print(parse_john.to_conll(4))  
john        nnp     2       nsubj
loves       vbz     0       root
mary        nnp     2       dobj
.   .       2       punct"
Dependency parser.,">>> print(parse_mary.to_conll(4))  
mary        nnp     2       nsubj
walks       vbz     0       root
.   .       2       punct"
Non-breaking space inside of a token.,">>> len(
...     next(
...         dep_parser.raw_parse(
...             'anhalt said children typically treat a 20-ounce soda bottle as one '
...             'serving, while it actually contains 2 1/2 servings.'
...         )
...     ).nodes
... )
21"
Phone numbers.,">>> len(
...     next(
...         dep_parser.raw_parse('this is not going to crash: 01 111 555.')
...     ).nodes
... )
10"
Phone numbers.,">>> print(
...     next(
...         dep_parser.raw_parse('the underscore _ should not simply disappear.')
...     ).to_conll(4)
... )  
the         dt  3   det
underscore  vbp 3   amod
_           nn  7   nsubj
should      md  7   aux
not         rb  7   neg
simply      rb  7   advmod
disappear   vb  0   root
.           .   7   punct"
Phone numbers.,">>> print(
...     '\n'.join(
...         next(
...             dep_parser.raw_parse(
...                 'for all of its insights into the dream world of teen life , and its electronic expression through '
...                 'cyber culture , the film gives no quarter to anyone seeking to pull a cohesive story out of its 2 '
...                 '1/2-hour running time .'
...             )
...         ).to_conll(4).split('\n')[-8:]
...     )
... )
its prp$    40      nmod:poss
2 1/2       cd      40      nummod
-   :       40      punct
hour        nn      31      nmod
running     vbg     42      amod
time        nn      40      dep
.   .       24      punct"
Bases: nltk.parse.corenlp.GenericCoreNLPParser,>>> parser = corenlpparser(url='http://localhost:9000')
Bases: nltk.parse.corenlp.GenericCoreNLPParser,">>> next(
...     parser.raw_parse('the quick brown fox jumps over the lazy dog.')
... ).pretty_print()  
                     root
                         |
                        s
       _________|____________________________
      |                                                vp                      |
      |                               _________|___                   |
      |                              |                        pp               |
      |                              |         ________|___            |
      np                          |         |                     np        |
  __|__________          |         |       _______|____    |
 dt   jj    jj       nn  vbz   in   dt      jj          nn  .
 |        |      |          |        |         |    |           |            |    |
the quick brown fox jumps over the     lazy     dog  ."
Bases: nltk.parse.corenlp.GenericCoreNLPParser,">>> (parse_fox, ), (parse_wolf, ) = parser.raw_parse_sents(
...     [
...         'the quick brown fox jumps over the lazy dog.',
...         'the quick grey wolf jumps over the lazy fox.',
...     ]
... )"
Bases: nltk.parse.corenlp.GenericCoreNLPParser,">>> parse_fox.pretty_print()  
                     root
                      |
                      s
       _______________|__________________________
      |                         vp               |
      |                _________|___             |
      |               |             pp           |
      |               |     ________|___         |
      np              |    |            np       |
  ____|__________     |    |     _______|____    |
 dt   jj    jj   nn  vbz   in   dt      jj   nn  .
 |    |     |    |    |    |    |       |    |   |
the quick brown fox jumps over the     lazy dog  ."
Bases: nltk.parse.corenlp.GenericCoreNLPParser,">>> parse_wolf.pretty_print()  
                                  root
                                     |
                                    s
       _______________|__________________________
      |                         vp               |
      |                _________|___             |
      |               |             pp           |
      |               |     ________|___         |
      np              |    |            np       |
  ____|_________      |    |     _______|____    |
 dt   jj   jj        nn   vbz   in   dt      jj   nn  .
   |     |        |         |     |    |    |       |    |   |
the quick grey wolf jumps over the     lazy fox  ."
Bases: nltk.parse.corenlp.GenericCoreNLPParser,">>> (parse_dog, ), (parse_friends, ) = parser.parse_sents(
...     [
...         ""i 'm a dog"".split(),
...         ""this is my friends ' cat ( the tabby )"".split(),
...     ]
... )"
Bases: nltk.parse.corenlp.GenericCoreNLPParser,">>> parse_dog.pretty_print()  
        root
         |
         s
  _______|____
 |            vp
 |    ________|___
 np  |            np
 |   |         ___|___
prp vbp       dt      nn
 |   |        |       |
 i   'm       a      dog"
Bases: nltk.parse.corenlp.GenericCoreNLPParser,">>> parse_friends.pretty_print()  
     root
      |
      s
  ____|___________
 |                vp
 |     ___________|_____________
 |    |                         np
 |    |                  _______|_________
 |    |                 np               prn
 |    |            _____|_______      ____|______________
 np   |           np            |    |        np         |
 |    |     ______|_________    |    |     ___|____      |
 dt  vbz  prp$   nns       pos  nn -lrb-  dt       nn  -rrb-
 |    |    |      |         |   |    |    |        |     |
this  is   my  friends      '  cat -lrb- the     tabby -rrb-"
Bases: nltk.parse.corenlp.GenericCoreNLPParser,">>> parse_john, parse_mary, = parser.parse_text(
...     'john loves mary. mary walks.'
... )"
Bases: nltk.parse.corenlp.GenericCoreNLPParser,">>> parse_john.pretty_print()  
      root
       |
       s
  _____|_____________
 |          vp       |
 |      ____|___     |
 np    |        np   |
 |     |        |    |
nnp   vbz      nnp   .
 |     |        |    |
john loves     mary  ."
Bases: nltk.parse.corenlp.GenericCoreNLPParser,">>> parse_mary.pretty_print()  
      root
       |
       s
  _____|____
 np    vp   |
 |     |    |
nnp   vbz   .
 |     |    |
mary walks  ."
Bases: nltk.parse.corenlp.GenericCoreNLPParser,">>> next(
...     parser.raw_parse(
...         'nasiriya, iraq—iraqi doctors who treated former prisoner of war '
...         'jessica lynch have angrily dismissed claims made in her biography '
...         'that she was raped by her iraqi captors.'
...     )
... ).height()
20"
Bases: nltk.parse.corenlp.GenericCoreNLPParser,">>> next(
...     parser.raw_parse(
...         ""the broader standard & poor's 500 index <.spx> was 0.46 points lower, or ""
...         '0.05 percent, at 997.02.'
...     )
... ).height()
9"
Tag a list of tokens.,">>> parser = corenlpparser(url='http://localhost:9000', tagtype='ner')
>>> tokens = 'rami eid is studying at stony brook university in ny'.split()
>>> parser.tag(tokens)
[('rami', 'person'), ('eid', 'person'), ('is', 'o'), ('studying', 'o'), ('at', 'o'), ('stony', 'organization'),
('brook', 'organization'), ('university', 'organization'), ('in', 'o'), ('ny', 'o')]"
Tag a list of tokens.,">>> parser = corenlpparser(url='http://localhost:9000', tagtype='pos')
>>> tokens = ""what is the airspeed of an unladen swallow ?"".split()
>>> parser.tag(tokens)
[('what', 'wp'), ('is', 'vbz'), ('the', 'dt'),
('airspeed', 'nn'), ('of', 'in'), ('an', 'dt'),
('unladen', 'jj'), ('swallow', 'vb'), ('?', '.')]"
Tokenize a string of text.,>>> parser = corenlpparser(url='http://localhost:9000')
Tokenize a string of text.,">>> text = 'good muffins cost $3.88\nin new york.  please buy me\ntwo of them.\nthanks.'
>>> list(parser.tokenize(text))
['good', 'muffins', 'cost', '$', '3.88', 'in', 'new', 'york', '.', 'please', 'buy', 'me', 'two', 'of', 'them', '.', 'thanks', '.']"
Tokenize a string of text.,">>> s = ""the colour of the wall is blue.""
>>> list(
...     parser.tokenize(
...         'the colour of the wall is blue.',
...             properties={'tokenize.options': 'americanize=true'},
...     )
... )
['the', 'color', 'of', 'the', 'wall', 'is', 'blue', '.']"
Check whether there are cycles.,">>> dg = dependencygraph(treebank_data)
>>> dg.contains_cycle()
false"
Check whether there are cycles.,">>> cyclic_dg = dependencygraph()
>>> top = {'word': none, 'deps': [1], 'rel': 'top', 'address': 0}
>>> child1 = {'word': none, 'deps': [2], 'rel': 'ntop', 'address': 1}
>>> child2 = {'word': none, 'deps': [4], 'rel': 'ntop', 'address': 2}
>>> child3 = {'word': none, 'deps': [1], 'rel': 'ntop', 'address': 3}
>>> child4 = {'word': none, 'deps': [3], 'rel': 'ntop', 'address': 4}
>>> cyclic_dg.nodes = {
...     0: top,
...     1: child1,
...     2: child2,
...     3: child3,
...     4: child4,
... }
>>> cyclic_dg.root = top"
Check whether there are cycles.,">>> cyclic_dg.contains_cycle()
[3, 1, 2, 4]"
A probabilistic non-projective dependency parser.,">>> class scorer(dependencyscoreri):
...     def train(self, graphs):
...         pass
...
...     def score(self, graph):
...         return [
...             [[], [5],  [1],  [1]],
...             [[], [],   [11], [4]],
...             [[], [10], [],   [5]],
...             [[], [8],  [8],  []],
...         ]
"
A probabilistic non-projective dependency parser.,">>> npp = probabilisticnonprojectiveparser()
>>> npp.train([], scorer())"
A probabilistic non-projective dependency parser.,">>> parses = npp.parse(['v1', 'v2', 'v3'], [none, none, none])
>>> len(list(parses))
1"
A probabilistic non-projective dependency parser.,>>> from nltk.grammar import dependencygrammar
A probabilistic non-projective dependency parser.,">>> grammar = dependencygrammar.fromstring('''
... 'taught' -> 'play' | 'man'
... 'man' -> 'the' | 'in'
... 'in' -> 'corner'
... 'corner' -> 'the'
... 'play' -> 'golf' | 'dachshund' | 'to'
... 'dachshund' -> 'his'
... ''')"
A probabilistic non-projective dependency parser.,">>> ndp = nonprojectivedependencyparser(grammar)
>>> parses = ndp.parse(['the', 'man', 'in', 'the', 'corner', 'taught', 'his', 'dachshund', 'to', 'play', 'golf'])
>>> len(list(parses))
4"
"A probabilistic, projective dependency parser.",>>> from nltk.parse.dependencygraph import conll_data2
"A probabilistic, projective dependency parser.",">>> graphs = [
... dependencygraph(entry) for entry in conll_data2.split('\n\n') if entry
... ]"
"A probabilistic, projective dependency parser.",">>> ppdp = probabilisticprojectivedependencyparser()
>>> ppdp.train(graphs)"
"A probabilistic, projective dependency parser.",">>> sent = ['cathy', 'zag', 'hen', 'wild', 'zwaaien', '.']
>>> list(ppdp.parse(sent))
[tree('zag', ['cathy', 'hen', tree('zwaaien', ['wild', '.'])])]"
###################### Check the Initial Feature ########################,">>> print(', '.join(conf.extract_features()))
stk_0_pos_top, buf_0_form_economic, buf_0_lemma_economic, buf_0_pos_jj, buf_1_form_news, buf_1_pos_nn, buf_2_pos_vbd, buf_3_pos_jj"
Do some transition checks for ARC-STANDARD,">>> operation = transition('arc-standard')
>>> operation.shift(conf)
>>> operation.left_arc(conf, ""att"")
>>> operation.shift(conf)
>>> operation.left_arc(conf,""sbj"")
>>> operation.shift(conf)
>>> operation.shift(conf)
>>> operation.left_arc(conf, ""att"")
>>> operation.shift(conf)
>>> operation.shift(conf)
>>> operation.shift(conf)
>>> operation.left_arc(conf, ""att"")"
"Middle Configuration and Features Check >>> print(conf) Stack : [0, 3, 5, 6] Buffer : [8, 9] Arcs : [(2, ‘ATT’, 1), (3, ‘SBJ’, 2), (5, ‘ATT’, 4), (8, ‘ATT’, 7)]",">>> print(', '.join(conf.extract_features()))
stk_0_form_on, stk_0_lemma_on, stk_0_pos_in, stk_1_pos_nn, buf_0_form_markets, buf_0_lemma_markets, buf_0_pos_nns, buf_1_form_., buf_1_pos_., buf_0_ldep_att"
"Middle Configuration and Features Check >>> print(conf) Stack : [0, 3, 5, 6] Buffer : [8, 9] Arcs : [(2, ‘ATT’, 1), (3, ‘SBJ’, 2), (5, ‘ATT’, 4), (8, ‘ATT’, 7)]",">>> operation.right_arc(conf, ""pc"")
>>> operation.right_arc(conf, ""att"")
>>> operation.right_arc(conf, ""obj"")
>>> operation.shift(conf)
>>> operation.right_arc(conf, ""pu"")
>>> operation.right_arc(conf, ""root"")
>>> operation.shift(conf)"
Do some transition checks for ARC-EAGER,">>> conf = configuration(gold_sent)
>>> operation = transition('arc-eager')
>>> operation.shift(conf)
>>> operation.left_arc(conf,'att')
>>> operation.shift(conf)
>>> operation.left_arc(conf,'sbj')
>>> operation.right_arc(conf,'root')
>>> operation.shift(conf)
>>> operation.left_arc(conf,'att')
>>> operation.right_arc(conf,'obj')
>>> operation.right_arc(conf,'att')
>>> operation.shift(conf)
>>> operation.left_arc(conf,'att')
>>> operation.right_arc(conf,'pc')
>>> operation.reduce(conf)
>>> operation.reduce(conf)
>>> operation.reduce(conf)
>>> operation.right_arc(conf,'pu')
>>> print(conf)
stack : [0, 3, 9]  buffer : []   arcs : [(2, 'att', 1), (3, 'sbj', 2), (0, 'root', 3), (5, 'att', 4), (3, 'obj', 5), (5, 'att', 6), (8, 'att', 7), (6, 'pc', 8), (3, 'pu', 9)]
"
Check the ARC-EAGER training,">>> input_file = tempfile.namedtemporaryfile(prefix='transition_parse.train', dir=tempfile.gettempdir(),delete=false)
>>> parser_eager = transitionparser('arc-eager')
>>> print(', '.join(parser_eager._create_training_examples_arc_eager([gold_sent], input_file)))
 number of training examples : 1
 number of valid (projective) examples : 1
shift, leftarc:att, shift, leftarc:sbj, rightarc:root, shift, leftarc:att, rightarc:obj, rightarc:att, shift, leftarc:att, rightarc:pc, reduce, reduce, reduce, rightarc:pu
"
Check the ARC-EAGER training,">>> parser_eager.train([gold_sent],'temp.arceager.model', verbose=false)
 number of training examples : 1
 number of valid (projective) examples : 1"
Check the ARC-EAGER training,>>> remove(input_file.name)
Check the ARC-STANDARD parser,">>> result = parser_std.parse([gold_sent], 'temp.arcstd.model')
>>> de = dependencyevaluator(result, [gold_sent])
>>> de.eval() >= (0, 0)
true"
"A processing class for deriving trees that represent possible
structures for a sequence of tokens.  These tree structures are
known as “parses”.  Typically, parsers are used to derive syntax
trees for sentences.  But parsers can also be used to derive other
kinds of tree structure, such as morphological trees and discourse
structures.",,grammar
"A processing class for deriving trees that represent possible
structures for a sequence of tokens.  These tree structures are
known as “parses”.  Typically, parsers are used to derive syntax
trees for sentences.  But parsers can also be used to derive other
kinds of tree structure, such as morphological trees and discourse
structures.",,parse
"A processing class for deriving trees that represent possible
structures for a sequence of tokens.  These tree structures are
known as “parses”.  Typically, parsers are used to derive syntax
trees for sentences.  But parsers can also be used to derive other
kinds of tree structure, such as morphological trees and discourse
structures.",,parse_all
"A processing class for deriving trees that represent possible
structures for a sequence of tokens.  These tree structures are
known as “parses”.  Typically, parsers are used to derive syntax
trees for sentences.  But parsers can also be used to derive other
kinds of tree structure, such as morphological trees and discourse
structures.",,parse_one
"A processing class for deriving trees that represent possible
structures for a sequence of tokens.  These tree structures are
known as “parses”.  Typically, parsers are used to derive syntax
trees for sentences.  But parsers can also be used to derive other
kinds of tree structure, such as morphological trees and discourse
structures.",,parse_sents
"Interface for parsing with BLLIP Parser. BllipParser objects can be
constructed with the BllipParser.from_unified_model_dir class
method or manually using the BllipParser constructor.",,from_unified_model_dir
"Interface for parsing with BLLIP Parser. BllipParser objects can be
constructed with the BllipParser.from_unified_model_dir class
method or manually using the BllipParser constructor.",,tagged_parse
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,nltk.parse.chart.
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,abstractchartrule
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,bottomupchartparser
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,bottomupleftcornerchartparser
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,bottomuppredictcombinerule
"A rule licensing any edge corresponding to a production whose
right-hand side begins with a complete edge’s left-hand side.  In
particular, this rule specifies that [A -> alpha \*]
licenses the edge [B -> A \* beta] for each grammar
production B -> A beta.",,num_edges
"A rule licensing any edge corresponding to a production whose
right-hand side begins with a complete edge’s left-hand side.  In
particular, this rule specifies that [A -> alpha \*]
licenses the edge [B -> A \* beta] for each grammar
production B -> A beta.",,apply
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,bottomuppredictrule
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,cachedtopdownpredictrule
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,chart
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,child_pointer_lists
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,dot_digraph
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,edges
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,initialize
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,insert
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,insert_with_backpointer
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,iteredges
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,leaf
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,leaves
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,num_edges
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,num_leaves
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,parses
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,pretty_format
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,pretty_format_edge
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,pretty_format_leaves
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,select
"The select method can be used to select a specific collection
of edges.  For example chart.select(is_complete=True, start=0)
yields all complete edges whose start indices are 0.  To ensure
the efficiency of these selection operations, Chart dynamically
creates and maintains an index for each set of attributes that
have been selected on.",,trees
"Charts are encoded with the Chart class, and edges are encoded with
the TreeEdge and LeafEdge classes.  The chart parser module
defines three chart parsers:",,chartparser
